cancer	stage_id	run_id	analysis_version	relation_key	metabolite_key	metabolite_name	gene	mapping_status	status	origins	relationship_types	evidence_ids	source_urls	gene_in_original117	patient_analysis_this_round	functional_analysis_this_round
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00712|ACSL3	KEGG:C00712	oleate (18:1n9)	ACSL3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0225	https://www.uniprot.org/uniprotkb/O95573/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00712|ACSL5	KEGG:C00712	oleate (18:1n9)	ACSL5	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0226	https://www.uniprot.org/uniprotkb/Q9ULC5/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00712|LYPLA1	KEGG:C00712	oleate (18:1n9)	LYPLA1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0227	https://www.uniprot.org/uniprotkb/O75608/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00712|MGLL	KEGG:C00712	oleate (18:1n9)	MGLL	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0228;M190E0229	https://www.uniprot.org/uniprotkb/Q99685/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00751|FDFT1	KEGG:C00751	squalene	FDFT1	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0137	https://enzyme.expasy.org/EC/2.5.1.21 ; https://www.uniprot.org/uniprotkb/P37268/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00751|SQLE	KEGG:C00751	squalene	SQLE	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0138	https://enzyme.expasy.org/EC/1.14.14.17 ; https://www.uniprot.org/uniprotkb/Q14534/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00791|SLC22A2	KEGG:C00791	creatinine	SLC22A2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0190	https://www.uniprot.org/uniprotkb/O15244/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00791|SLC47A1	KEGG:C00791	creatinine	SLC47A1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0191	https://www.uniprot.org/uniprotkb/Q96FL8/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00791|SLC47A2	KEGG:C00791	creatinine	SLC47A2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0192	https://www.uniprot.org/uniprotkb/Q86VL8/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00794|SORD	KEGG:C00794	sorbitol	SORD	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0139	https://enzyme.expasy.org/EC/1.1.1.14 ; https://www.uniprot.org/uniprotkb/Q00796/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00864|PANK1	KEGG:C00864	pantothenate	PANK1	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0140	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q8TE04/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00864|PANK2	KEGG:C00864	pantothenate	PANK2	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0141	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q9BZ23/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00864|PANK3	KEGG:C00864	pantothenate	PANK3	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0142	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q9H999/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01157|PRODH2	KEGG:C01157	trans-4-hydroxyproline	PRODH2	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0143	https://enzyme.expasy.org/EC/1.5.5.3 ; https://www.uniprot.org/uniprotkb/Q9UF12/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01179|HPD	KEGG:C01179	4-hydroxyphenylpyruvate	HPD	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0144	https://enzyme.expasy.org/EC/1.13.11.27 ; https://www.uniprot.org/uniprotkb/P32754/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01179|TAT	KEGG:C01179	4-hydroxyphenylpyruvate	TAT	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0145	https://enzyme.expasy.org/EC/2.6.1.5 ; https://www.uniprot.org/uniprotkb/P17735/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01181|BBOX1	KEGG:C01181	deoxycarnitine	BBOX1	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0146	https://enzyme.expasy.org/EC/1.14.11.1 ; https://www.uniprot.org/uniprotkb/O75936/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01530|ABHD12	KEGG:C01530	stearate (18:0)	ABHD12	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0208;M190E0209	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01530|ACSL3	KEGG:C01530	stearate (18:0)	ACSL3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0210	https://www.uniprot.org/uniprotkb/O95573/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01530|LYPLA2	KEGG:C01530	stearate (18:0)	LYPLA2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0211	https://www.uniprot.org/uniprotkb/O95372/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01530|MGLL	KEGG:C01530	stearate (18:0)	MGLL	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0212	https://www.uniprot.org/uniprotkb/Q99685/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01762|NT5C2	KEGG:C01762	xanthosine	NT5C2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0305	https://www.uniprot.org/uniprotkb/P49902/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01835|MGAM	KEGG:C01835	maltotriose	MGAM	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0147	https://www.reactome.org/content/detail/R-HSA-191116 ; https://www.uniprot.org/uniprotkb/O43451/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01885|ABHD12	KEGG:C01885	1-palmitoylglycerol (1-monopalmitin)	ABHD12	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0301	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C01885|MGLL	KEGG:C01885	1-palmitoylglycerol (1-monopalmitin)	MGLL	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0302	https://www.uniprot.org/uniprotkb/Q99685/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02067|PUDP	KEGG:C02067	pseudouridine	PUDP	DIRECT_ACCEPTED	DONE	PREVIOUS_SUPPLEMENT_ACTIVATED	enzyme	M190E0163	https://www.uniprot.org/uniprotkb/Q08623/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02477|CYP4F2	KEGG:C02477	alpha-tocopherol	CYP4F2	DIRECT_ACCEPTED	DONE	PREVIOUS_SUPPLEMENT_ACTIVATED	enzyme	M190E0165	https://www.uniprot.org/uniprotkb/P78329/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02483|CYP4F2	KEGG:C02483	gamma-tocopherol	CYP4F2	DIRECT_ACCEPTED	DONE	PREVIOUS_SUPPLEMENT_ACTIVATED	enzyme	M190E0164	https://www.uniprot.org/uniprotkb/P78329/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02679|ABHD12	KEGG:C02679	laurate (12:0)	ABHD12	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0198	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02679|ABHD6	KEGG:C02679	laurate (12:0)	ABHD6	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0199	https://www.uniprot.org/uniprotkb/Q9BV23/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02679|ACSL3	KEGG:C02679	laurate (12:0)	ACSL3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0200	https://www.uniprot.org/uniprotkb/O95573/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02679|ACSM1	KEGG:C02679	laurate (12:0)	ACSM1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0201	https://www.uniprot.org/uniprotkb/Q08AH1/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02679|MGLL	KEGG:C02679	laurate (12:0)	MGLL	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0202	https://www.uniprot.org/uniprotkb/Q99685/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02862|CRAT	KEGG:C02862	butyrylcarnitine	CRAT	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0148	https://enzyme.expasy.org/EC/2.3.1.7 ; https://www.uniprot.org/uniprotkb/P43155/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02918|AOX1	KEGG:C02918	1-methylnicotinamide	AOX1	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0149	https://www.kegg.jp/entry/R04085 ; https://www.uniprot.org/uniprotkb/Q06278/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02918|NNMT	KEGG:C02918	1-methylnicotinamide	NNMT	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0150	https://enzyme.expasy.org/EC/2.1.1.1 ; https://www.uniprot.org/uniprotkb/P40261/entry	True	NOT_RUN	NOT_RUN
