gene	in_original117	n_direct_relations	metabolite_keys	metabolite_names	relation_keys	scope
IDNK	True	2	KEGG:C00257;KEGG:C00345	gluconate ; 6-phosphogluconate	KEGG:C00257|IDNK;KEGG:C00345|IDNK	Direct biochemical candidate; no new patient/function test
IMPA1	True	1	KEGG:C04006	inositol 1-phosphate (I1P)	KEGG:C04006|IMPA1	Direct biochemical candidate; no new patient/function test
IMPA2	True	1	KEGG:C04006	inositol 1-phosphate (I1P)	KEGG:C04006|IMPA2	Direct biochemical candidate; no new patient/function test
KHK	True	1	KEGG:C00095	fructose	KEGG:C00095|KHK	Direct biochemical candidate; no new patient/function test
KMO	True	1	KEGG:C00328	kynurenine	KEGG:C00328|KMO	Direct biochemical candidate; no new patient/function test
KYNU	True	1	KEGG:C00328	kynurenine	KEGG:C00328|KYNU	Direct biochemical candidate; no new patient/function test
LDHA	True	1	KEGG:C00186	lactate	KEGG:C00186|LDHA	Direct biochemical candidate; no new patient/function test
LDHB	True	1	KEGG:C00186	lactate	KEGG:C00186|LDHB	Direct biochemical candidate; no new patient/function test
LPCAT1	False	3	HMDB:HMDB10384;KEGG:C03916;KEGG:C04102	1-stearoyl-GPC (18:0) ; 1-oleoylglycerophosphocholine ; 1-palmitoyl-GPC (16:0)	HMDB:HMDB10384|LPCAT1;KEGG:C03916|LPCAT1;KEGG:C04102|LPCAT1	Direct biochemical candidate; no new patient/function test
LPCAT2	False	2	HMDB:HMDB10384;KEGG:C04102	1-stearoyl-GPC (18:0) ; 1-palmitoyl-GPC (16:0)	HMDB:HMDB10384|LPCAT2;KEGG:C04102|LPCAT2	Direct biochemical candidate; no new patient/function test
LPCAT3	False	3	HMDB:HMDB10384;KEGG:C03916;KEGG:C04102	1-stearoyl-GPC (18:0) ; 1-oleoylglycerophosphocholine ; 1-palmitoyl-GPC (16:0)	HMDB:HMDB10384|LPCAT3;KEGG:C03916|LPCAT3;KEGG:C04102|LPCAT3	Direct biochemical candidate; no new patient/function test
LPCAT4	False	4	HMDB:HMDB61702;KEGG:C03916;KEGG:C04102;NAME:2-oleoylglycerophosphoethanolamine	2-palmitoyl-GPC (16:0) ; 1-oleoylglycerophosphocholine ; 1-palmitoyl-GPC (16:0) ; 2-oleoylglycerophosphoethanolamine	HMDB:HMDB61702|LPCAT4;KEGG:C03916|LPCAT4;KEGG:C04102|LPCAT4;NAME:2-oleoylglycerophosphoethanolamine|LPCAT4	Direct biochemical candidate; no new patient/function test
LYPLA1	False	3	KEGG:C00670;KEGG:C00712;KEGG:C04102	glycerophosphorylcholine (GPC) ; oleate (18:1n9) ; 1-palmitoyl-GPC (16:0)	KEGG:C00670|LYPLA1;KEGG:C00712|LYPLA1;KEGG:C04102|LYPLA1	Direct biochemical candidate; no new patient/function test
LYPLA2	False	4	HMDB:HMDB10384;KEGG:C00670;KEGG:C01530;KEGG:C04102	1-stearoyl-GPC (18:0) ; glycerophosphorylcholine (GPC) ; stearate (18:0) ; 1-palmitoyl-GPC (16:0)	HMDB:HMDB10384|LYPLA2;KEGG:C00670|LYPLA2;KEGG:C01530|LYPLA2;KEGG:C04102|LYPLA2	Direct biochemical candidate; no new patient/function test
