study	original_type	broad_type	interpretation
Lee	T cells	Tcells	Approximate broad compartment; not identical subtypes
Lee	Epithelial cells	Epithelial	Approximate broad compartment; not identical subtypes
Lee	B cells	B_lineage	Approximate broad compartment; not identical subtypes
Lee	Myeloids	Myeloid	Approximate broad compartment; not identical subtypes
Lee	Stromal cells	Stromal	Approximate broad compartment; not identical subtypes
Lee	Mast cells	Mast	Approximate broad compartment; not identical subtypes
