cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.026093141791889384	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Lymphoid	55	24	2765	2575	0.018526063421865836	0.02013594077482753	0.0	0.04874722468900333	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.048906291744040764	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Myeloid	55	51	33051	33034	0.04662726838593253	0.04886173480535217	0.036009702050081166	0.06245171768128624	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.04517786238172282	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Neoplastic	55	55	133107	133107	0.05635347151044092	0.04513065849853442	0.03431731637693816	0.05307534895144107	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.036110578469436695	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Neuron	55	23	7482	7352	0.06478034743637857	0.029480810352757878	0.015847999857009083	0.054388701883727804	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.026534270491080165	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	OPC	55	20	5657	5503	0.034825857312509714	0.022447860112849487	0.008382700606667562	0.0428828297367224	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.028423931771312878	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.03100997641862559	0.026115866824614333	0.009467315410108602	0.044051875256256735	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.03967948626170546	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Unresolved	55	32	5079	4940	0.034143443685869565	0.03279705560660441	0.0	0.06022864335662902	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	30	NA	donor_equal_mean_log1pCP10k	0.04091949351735346	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Vascular	55	30	3053	2872	0.04286472177652516	0.0384392671394161	0.01573742350107793	0.05639534377794733	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.2115112267062107	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Astrocyte	55	21	2205	2057	0.22891277177436423	0.21036531087683608	0.12854062021249904	0.25932415448480817	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.10315528556718279	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Lymphoid	55	24	2765	2575	0.06874335607700448	0.08683343681602207	0.05831667321288111	0.14918920140447292	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
