study	gene	stable_gene_id	status	reason	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	rank_tie
CARE2025_primary	ATP13A3	UniProt:Q9H7F0	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.11825683948043264	0.997	1000	False
CARE2025_primary	HDAC10	UniProt:Q969S8	DONE	expression_source_only;not_function	Lymphoid	Astrocyte	0.008843576723612502	0.809	1000	False
CARE2025_primary	ODC1	UniProt:P11926	DONE	expression_source_only;not_function	Neoplastic	OPC	0.04967034105514462	0.999	1000	False
CARE2025_primary	PAOX	hsa:196743	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.002577239787819846	0.673	1000	False
CARE2025_primary	SLC22A1	hsa:6580	DONE	expression_source_only;not_function	Neuron	Astrocyte	0.0018430669739289418	0.424	1000	False
CARE2025_primary	SLC22A2	hsa:6582	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.018401345071137016	0.881	1000	False
CARE2025_primary	SLC45A4	hsa:57210	DONE	expression_source_only;not_function	Vascular	Neuron	0.02274027164616918	0.67	1000	False
CARE2025_primary	SRM	hsa:6723	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.0160068888893478	0.908	1000	False
CARE2025_primary	SHMT1	hsa:6470	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.10176959062207849	1.0	1000	False
CARE2025_primary	SHMT2	UniProt:P34897	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.020034599851731272	0.984	1000	False
CARE2025_primary	MGAM	hsa:8972	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.4211488815562704	1.0	1000	False
CARE2025_primary	ADPGK	hsa:83440	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.3741681931820485	1.0	1000	False
CARE2025_primary	B4GALT1	hsa:2683	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.3224927744833032	1.0	1000	False
CARE2025_primary	B4GALT2	hsa:8704	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.008326078459741926	0.785	1000	False
CARE2025_primary	G6PC1	hsa:2538	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	G6PC2	hsa:57818	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	G6PC3	hsa:92579	DONE	expression_source_only;not_function	OPC	Astrocyte	0.001693070362913926	0.463	1000	False
CARE2025_primary	GBA1	hsa:2629	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	GBA2	hsa:57704	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.09053400374710299	1.0	1000	False
CARE2025_primary	GBA3	hsa:57733	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	GCK	hsa:2645	DONE	expression_source_only;not_function	Neuron	OPC	0.004445080522009211	0.695	1000	False
CARE2025_primary	H6PD	hsa:9563	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.027114204199028824	0.94	1000	False
CARE2025_primary	HK1	hsa:3098	DONE	expression_source_only;not_function	Myeloid	Neuron	0.07087804472546166	0.952	1000	False
CARE2025_primary	HK2	hsa:3099	DONE	expression_source_only;not_function	Myeloid	Vascular	0.24589062138634274	1.0	1000	False
CARE2025_primary	HK3	hsa:3101	DONE	expression_source_only;not_function	Myeloid	Neuron	0.04183167315497409	1.0	1000	False
CARE2025_primary	HKDC1	hsa:80201	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.026271860966065666	0.887	1000	False
CARE2025_primary	IMPA1	UniProt:P29218	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.007106215661603549	0.638	1000	False
CARE2025_primary	IMPA2	UniProt:O14732	DONE	expression_source_only;not_function	Astrocyte	Myeloid	0.017065451954230676	0.829	1000	False
CARE2025_primary	LCT	hsa:3938	DONE	expression_source_only;not_function	Neuron	Vascular	0.006640472976631728	0.674	1000	False
CARE2025_primary	SI	hsa:6476	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.01310178483533235	0.954	1000	False
CARE2025_primary	SLC2A1	hsa:6513	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.2986620005215963	1.0	1000	False
CARE2025_primary	SLC2A10	hsa:81031	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.0042146710839664064	0.655	1000	False
CARE2025_primary	SLC2A11	hsa:66035	DONE	expression_source_only;not_function	OPC	Neuron	0.010376758018903991	0.673	1000	False
CARE2025_primary	SLC2A12	hsa:154091	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.0028030622738557803	0.492	1000	False
CARE2025_primary	SLC2A14	hsa:144195	DONE	expression_source_only;not_function	Neuron	Vascular	0.02085526717590048	0.897	1000	False
CARE2025_primary	SLC2A2	hsa:6514	DONE	expression_source_only;not_function	Oligodendrocyte	Neoplastic	0.03579282817050929	1.0	1000	False
CARE2025_primary	SLC2A3	hsa:6515	DONE	expression_source_only;not_function	Vascular	Myeloid	0.12184636888859102	0.908	1000	False
CARE2025_primary	SLC2A4	hsa:6517	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	SLC2A7	hsa:155184	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	SLC2A8	hsa:29988	DONE	expression_source_only;not_function	Myeloid	Vascular	0.01223749763269913	0.828	1000	False
CARE2025_primary	SLC45A1	hsa:50651	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.028953945390627095	1.0	1000	False
CARE2025_primary	SLC45A2	hsa:51151	DONE	expression_source_only;not_function	Oligodendrocyte	Neuron	0.020110555659069617	0.976	1000	False
CARE2025_primary	SLC5A1	hsa:6523	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.010941397805634504	0.771	1000	False
CARE2025_primary	SLC5A11	hsa:115584	DONE	expression_source_only;not_function	Oligodendrocyte	Astrocyte	1.3482675450779866	1.0	1000	False
CARE2025_primary	SLC5A2	hsa:6524	DONE	expression_source_only;not_function	Neoplastic	Neuron	6.382765117643897e-05	0.342	1000	False
CARE2025_primary	SLC60A2	hsa:91749	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	ASNS	hsa:440	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.03795217050939512	0.92	1000	False
CARE2025_primary	ASS1	UniProt:P00966	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.020659154824796265	0.913	1000	False
CARE2025_primary	GOT1	UniProt:P17174	DONE	expression_source_only;not_function	Neuron	Oligodendrocyte	0.013170870457386602	0.718	1000	False
CARE2025_primary	GOT2	hsa:2806	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0966836271350068	1.0	1000	False
CARE2025_primary	LDHA	UniProt:P00338	DONE	expression_source_only;not_function	Myeloid	Vascular	0.038036087049209244	0.88	1000	False
CARE2025_primary	LDHB	UniProt:P07195	DONE	expression_source_only;not_function	OPC	Neoplastic	0.018888286013750366	0.604	1000	False
CARE2025_primary	AADAT	hsa:51166	DONE	expression_source_only;not_function	OPC	Neoplastic	0.02624567250279798	0.94	1000	False
