gene	top_celltype_primary	bootstrap_top_frequency_primary	status_primary	top_celltype_recurrent	bootstrap_top_frequency_recurrent	status_recurrent	same_top	comparison_type
FOLH1	Oligodendrocyte	1.0	DONE	Oligodendrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
GLS	Neuron	0.65	DONE	Neuron	0.501	DONE	1.0	same_cohort_partitions_not_independent_replication
GLS2	Neuron	0.987	DONE	Neuron	0.97	DONE	1.0	same_cohort_partitions_not_independent_replication
GLUL	Myeloid	0.51	DONE	Myeloid	0.571	DONE	1.0	same_cohort_partitions_not_independent_replication
OAT	Astrocyte	0.684	DONE	Astrocyte	0.976	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC7A11	Vascular	0.954	DONE	Astrocyte	0.786	DONE	0.0	same_cohort_partitions_not_independent_replication
TAT	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
LYPLA2	Vascular	0.633	DONE	Vascular	0.79	DONE	1.0	same_cohort_partitions_not_independent_replication
DPEP1	Vascular	1.0	DONE	Vascular	0.996	DONE	1.0	same_cohort_partitions_not_independent_replication
GCAT	OPC	0.418	DONE	OPC	0.423	DONE	1.0	same_cohort_partitions_not_independent_replication
GSS	Neoplastic	0.63	DONE	Neoplastic	0.666	DONE	1.0	same_cohort_partitions_not_independent_replication
PEPD	Neoplastic	0.704	DONE	Myeloid	0.843	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC22A7	Neuron	0.834	DONE	Neuron	0.908	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC47A1	Neuron	0.797	DONE	Myeloid	0.585	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC47A2	Astrocyte	0.708	DONE	Astrocyte	0.78	DONE	1.0	same_cohort_partitions_not_independent_replication
KHK	Neuron	0.92	DONE	Neuron	0.631	DONE	1.0	same_cohort_partitions_not_independent_replication
SORD	Oligodendrocyte	0.879	DONE	Oligodendrocyte	0.999	DONE	1.0	same_cohort_partitions_not_independent_replication
