gene	status
AC034102.4	LOW_EXPRESSION
AC034102.6	LOW_EXPRESSION
AC034102.5	LOW_EXPRESSION
SMARCC2	TESTED
RNF41	TESTED
ANKRD52	LOW_EXPRESSION
AC073896.5	LOW_EXPRESSION
CS	TESTED
CNPY2	TESTED
PAN2	TESTED
STAT2	TESTED
APOF	LOW_EXPRESSION
AC024884.2	LOW_EXPRESSION
TIMELESS	TESTED
MIP	LOW_EXPRESSION
GLS2	LOW_EXPRESSION
BAZ2A	TESTED
ATP5F1B	TESTED
PTGES3	TESTED
NACA	TESTED
PRIM1	TESTED
RDH16	LOW_EXPRESSION
ZBTB39	TESTED
TAC3	LOW_EXPRESSION
MYO1A	TESTED
NEMP1	TESTED
STAT6	TESTED
AC137834.2	LOW_EXPRESSION
NDUFA4L2	TESTED
STAC3	LOW_EXPRESSION
R3HDM2	TESTED
ARHGAP9	LOW_EXPRESSION
DDIT3	TESTED
DCTN2	TESTED
B4GALNT1	LOW_EXPRESSION
AC025165.2	LOW_EXPRESSION
AGAP2	LOW_EXPRESSION
CDK4	TESTED
CYP27B1	LOW_EXPRESSION
METTL1	LOW_EXPRESSION
AVIL	TESTED
CTDSP2	TESTED
AC083805.1	LOW_EXPRESSION
AC084033.3	LOW_EXPRESSION
LRIG3	TESTED
FAM19A2	LOW_EXPRESSION
AC079035.1	LOW_EXPRESSION
LINC01465	LOW_EXPRESSION
PPM1H	TESTED
AVPR1A	LOW_EXPRESSION
DPY19L2	LOW_EXPRESSION
AC084357.2	LOW_EXPRESSION
AC020611.2	LOW_EXPRESSION
AC025576.1	LOW_EXPRESSION
C12orf66	TESTED
C12orf56	LOW_EXPRESSION
AC135279.3	LOW_EXPRESSION
AC078962.3	LOW_EXPRESSION
GNS	TESTED
WIF1	LOW_EXPRESSION
AC090673.1	LOW_EXPRESSION
LLPH	TESTED
TMBIM4	LOW_EXPRESSION
GRIP1	LOW_EXPRESSION
AC078777.1	LOW_EXPRESSION
LINC02421	LOW_EXPRESSION
IFNG	LOW_EXPRESSION
IL26	LOW_EXPRESSION
IL22	LOW_EXPRESSION
MDM1	LOW_EXPRESSION
LINC02384	LOW_EXPRESSION
AC090061.1	LOW_EXPRESSION
AC025423.4	LOW_EXPRESSION
CPM	LOW_EXPRESSION
AC020656.2	TESTED
AC020656.1	TESTED
AC025263.1	TESTED
AC025159.1	LOW_EXPRESSION
PTPRB	TESTED
PTPRR	TESTED
AC025575.2	LOW_EXPRESSION
TSPAN8	TESTED
ZFC3H1	TESTED
AC011601.1	LOW_EXPRESSION
AC089984.1	LOW_EXPRESSION
AC025257.1	LOW_EXPRESSION
CAPS2	LOW_EXPRESSION
AC121761.1	LOW_EXPRESSION
KRR1	TESTED
AC078923.1	LOW_EXPRESSION
AC078820.1	LOW_EXPRESSION
PHLDA1	TESTED
NAP1L1	TESTED
BBS10	TESTED
OSBPL8	TESTED
CSRP2	TESTED
E2F7	TESTED
PAWR	TESTED
PPP1R12A	TESTED
LIN7A	TESTED
PPFIA2	LOW_EXPRESSION
CCDC59	TESTED
RASSF9	TESTED
MGAT4C	LOW_EXPRESSION
C12orf50	LOW_EXPRESSION
CEP290	TESTED
KITLG	TESTED
DUSP6	TESTED
POC1B	TESTED
ATP2B1	TESTED
EPYC	LOW_EXPRESSION
KERA	LOW_EXPRESSION
LUM	TESTED
DCN	LOW_EXPRESSION
BTG1	TESTED
LINC02391	LOW_EXPRESSION
CLLU1OS	LOW_EXPRESSION
EEA1	TESTED
AC138123.1	LOW_EXPRESSION
AC124947.1	LOW_EXPRESSION
UBE2N	TESTED
AC012085.2	LOW_EXPRESSION
AC073655.1	LOW_EXPRESSION
AC073655.2	LOW_EXPRESSION
CEP83	TESTED
TMCC3	TESTED
NDUFA12	TESTED
NR2C1	TESTED
FGD6	TESTED
USP44	LOW_EXPRESSION
NTN4	TESTED
HAL	LOW_EXPRESSION
LTA4H	TESTED
LINC02452	LOW_EXPRESSION
AC008149.1	LOW_EXPRESSION
CDK17	TESTED
LINC02453	LOW_EXPRESSION
TMPO-AS1	TESTED
IKBIP	LOW_EXPRESSION
ANKS1B	LOW_EXPRESSION
UHRF1BP1L	TESTED
DEPDC4	LOW_EXPRESSION
SLC5A8	LOW_EXPRESSION
ARL1	TESTED
AC010205.1	LOW_EXPRESSION
SYCP3	LOW_EXPRESSION
GNPTAB	TESTED
WASHC3	TESTED
NUP37	TESTED
PMCH	LOW_EXPRESSION
IGF1	LOW_EXPRESSION
LINC00485	LOW_EXPRESSION
PAH	LOW_EXPRESSION
C12orf42	LOW_EXPRESSION
AC025265.1	LOW_EXPRESSION
NT5DC3	TESTED
C12orf73	TESTED
GLT8D2	LOW_EXPRESSION
NFYB	TESTED
AC089983.1	LOW_EXPRESSION
SLC41A2	TESTED
ALDH1L2	LOW_EXPRESSION
AC016257.1	LOW_EXPRESSION
APPL2	TESTED
AC011313.1	LOW_EXPRESSION
AC011595.2	LOW_EXPRESSION
NUAK1	TESTED
CKAP4	TESTED
AC007541.1	LOW_EXPRESSION
MTERF2	TESTED
CRY1	TESTED
PRDM4	TESTED
CMKLR1	LOW_EXPRESSION
SART3	TESTED
TMEM119	LOW_EXPRESSION
SELPLG	LOW_EXPRESSION
CORO1C	TESTED
SSH1	TESTED
USP30-AS1	LOW_EXPRESSION
ALKBH2	TESTED
KCTD10	TESTED
MMAB	TESTED
FAM222A-AS1	LOW_EXPRESSION
TRPV4	LOW_EXPRESSION
GLTP	TESTED
GIT2	TESTED
C12orf76	TESTED
ANAPC7	TESTED
ARPC3	TESTED
GPN3	TESTED
VPS29	TESTED
PPTC7	TESTED
HVCN1	LOW_EXPRESSION
PPP1CC	TESTED
MYL2	LOW_EXPRESSION
PHETA1	TESTED
ATXN2	TESTED
BRAP	TESTED
MAPKAPK5-AS1	TESTED
TMEM116	LOW_EXPRESSION
AC073575.2	LOW_EXPRESSION
NAA25	TESTED
HECTD4	TESTED
RPL6	TESTED
RASAL1	TESTED
DDX54	TESTED
IQCD	TESTED
SLC8B1	TESTED
SDS	LOW_EXPRESSION
LHX5	LOW_EXPRESSION
LINC01234	LOW_EXPRESSION
RBM19	TESTED
TBX3	TESTED
MED13L	TESTED
C12orf49	TESTED
HRK	LOW_EXPRESSION
AC083806.2	LOW_EXPRESSION
AC127164.1	LOW_EXPRESSION
TESC	TESTED
FBXO21	TESTED
NOS1	LOW_EXPRESSION
KSR2	LOW_EXPRESSION
AC131159.2	LOW_EXPRESSION
WSB2	TESTED
VSIG10	TESTED
TAOK3	TESTED
AC026367.1	LOW_EXPRESSION
AC002070.1	LOW_EXPRESSION
CIT	TESTED
RAB35	TESTED
GCN1	TESTED
RPLP0	TESTED
PXN	TESTED
PLA2G1B	LOW_EXPRESSION
MSI1	LOW_EXPRESSION
TRIAP1	TESTED
SRSF9	TESTED
NRAV	TESTED
AC063943.1	LOW_EXPRESSION
COQ5	TESTED
POP5	TESTED
AC125616.1	LOW_EXPRESSION
AC069234.2	LOW_EXPRESSION
SPPL3	TESTED
C12orf43	TESTED
OASL	TESTED
CAMKK2	TESTED
ANAPC5	TESTED
KDM2B	TESTED
MORN3	TESTED
RHOF	TESTED
LINC01089	LOW_EXPRESSION
HPD	LOW_EXPRESSION
AC069503.1	LOW_EXPRESSION
VPS33A	LOW_EXPRESSION
CLIP1	TESTED
ZCCHC8	TESTED
RSRC2	TESTED
HCAR2	LOW_EXPRESSION
HCAR3	LOW_EXPRESSION
HCAR1	LOW_EXPRESSION
VPS37B	TESTED
ABCB9	LOW_EXPRESSION
PITPNM2	TESTED
MPHOSPH9	TESTED
AC068768.1	LOW_EXPRESSION
CDK2AP1	LOW_EXPRESSION
SBNO1	TESTED
RILPL2	TESTED
RILPL1	TESTED
AC055713.1	LOW_EXPRESSION
EIF2B1	TESTED
AC117503.1	LOW_EXPRESSION
CCDC92	LOW_EXPRESSION
NCOR2	TESTED
SCARB1	TESTED
UBC	TESTED
DHX37	TESTED
THRIL	LOW_EXPRESSION
LINC00944	LOW_EXPRESSION
LINC02405	LOW_EXPRESSION
LINC02376	LOW_EXPRESSION
LINC02441	LOW_EXPRESSION
SLC15A4	TESTED
TMEM132D	LOW_EXPRESSION
LINC02418	LOW_EXPRESSION
RIMBP2	LOW_EXPRESSION
STX2	TESTED
AC131009.1	LOW_EXPRESSION
AC137590.2	LOW_EXPRESSION
DDX51	TESTED
LINC02361	LOW_EXPRESSION
GALNT9	LOW_EXPRESSION
AC148476.1	LOW_EXPRESSION
AC131212.1	LOW_EXPRESSION
LRCOL1	LOW_EXPRESSION
POLE	TESTED
ANKLE2	TESTED
GOLGA3	TESTED
CHFR	LOW_EXPRESSION
ZNF605	TESTED
AC073911.1	LOW_EXPRESSION
ZNF891	TESTED
IQSEC3	LOW_EXPRESSION
CCDC77	TESTED
B4GALNT3	TESTED
AC021054.1	LOW_EXPRESSION
WNK1	TESTED
ERC1	TESTED
WNT5B	TESTED
ADIPOR2	TESTED
CACNA1C	TESTED
FKBP4	TESTED
ITFG2	TESTED
RHNO1	LOW_EXPRESSION
TULP3	TESTED
TEAD4	TESTED
AC125807.2	LOW_EXPRESSION
TSPAN9	TESTED
AC006207.1	LOW_EXPRESSION
AC005842.1	LOW_EXPRESSION
CCND2	TESTED
TIGAR	TESTED
RAD51AP1	TESTED
DYRK4	LOW_EXPRESSION
NDUFA9	TESTED
GALNT8	TESTED
KCNA5	LOW_EXPRESSION
AC007848.1	LOW_EXPRESSION
CD9	TESTED
PLEKHG6	TESTED
LTBR	TESTED
AC005840.2	LOW_EXPRESSION
CD27	LOW_EXPRESSION
TAPBPL	TESTED
AC005840.4	LOW_EXPRESSION
NCAPD2	TESTED
GAPDH	TESTED
AC006064.1	LOW_EXPRESSION
AC006064.2	LOW_EXPRESSION
AC125494.3	LOW_EXPRESSION
COPS7A	TESTED
AC125494.2	LOW_EXPRESSION
PTMS	TESTED
LAG3	TESTED
CD4	LOW_EXPRESSION
P3H3	TESTED
GNB3	LOW_EXPRESSION
USP5	TESTED
TPI1	TESTED
LRRC23	TESTED
ENO2	TESTED
ATN1	TESTED
C12orf57	TESTED
PTPN6	TESTED
MIR200CHG	TESTED
U47924.1	LOW_EXPRESSION
EMG1	TESTED
C1S	LOW_EXPRESSION
C1RL-AS1	LOW_EXPRESSION
CLSTN3	TESTED
PEX5	LOW_EXPRESSION
FOXJ2	TESTED
NECAP1	TESTED
CLEC4A	LOW_EXPRESSION
FAM66C	LOW_EXPRESSION
AC092111.1	LOW_EXPRESSION
LINC02449	LOW_EXPRESSION
AC092745.1	LOW_EXPRESSION
CLEC6A	LOW_EXPRESSION
CLEC4D	LOW_EXPRESSION
RIMKLB	LOW_EXPRESSION
PHC1	LOW_EXPRESSION
KLRG1	LOW_EXPRESSION
A2M-AS1	LOW_EXPRESSION
LINC00987	LOW_EXPRESSION
LINC02367	LOW_EXPRESSION
CLEC2D	TESTED
LINC02390	LOW_EXPRESSION
KLRF1	LOW_EXPRESSION
AC091814.1	LOW_EXPRESSION
KLRF2	LOW_EXPRESSION
CLEC12A	LOW_EXPRESSION
CLEC9A	LOW_EXPRESSION
TMEM52B	LOW_EXPRESSION
GABARAPL1	TESTED
KLRD1	LOW_EXPRESSION
AC022075.1	TESTED
EIF2S3B	LOW_EXPRESSION
LINC02446	LOW_EXPRESSION
SMIM10L1	TESTED
AC244131.2	LOW_EXPRESSION
LINC01252	LOW_EXPRESSION
ETV6	TESTED
BCL2L14	LOW_EXPRESSION
BORCS5	TESTED
AC007619.1	LOW_EXPRESSION
CREBL2	TESTED
AC008115.4	LOW_EXPRESSION
CDKN1B	TESTED
APOLD1	TESTED
GPRC5A	TESTED
GPRC5D-AS1	LOW_EXPRESSION
EMP1	TESTED
AC092112.1	LOW_EXPRESSION
ATF7IP	TESTED
PLBD1-AS1	LOW_EXPRESSION
AC010168.1	LOW_EXPRESSION
H2AFJ	TESTED
C12orf60	LOW_EXPRESSION
LINC01489	LOW_EXPRESSION
PTPRO	TESTED
AC073651.1	LOW_EXPRESSION
STRAP	TESTED
DERA	TESTED
MGST1	LOW_EXPRESSION
AC007529.2	LOW_EXPRESSION
PIK3C2G	LOW_EXPRESSION
PLEKHA5	TESTED
AEBP2	TESTED
PDE3A	LOW_EXPRESSION
SLCO1C1	LOW_EXPRESSION
SLCO1B3	LOW_EXPRESSION
SLCO1B1	LOW_EXPRESSION
PYROXD1	TESTED
GOLT1B	TESTED
CMAS	TESTED
ETNK1	TESTED
AC023796.2	LOW_EXPRESSION
LRMP	TESTED
ETFRF1	LOW_EXPRESSION
AC092794.1	TESTED
AC092794.2	LOW_EXPRESSION
RASSF8	LOW_EXPRESSION
SSPN	LOW_EXPRESSION
FGFR1OP2	TESTED
AC024896.1	LOW_EXPRESSION
MED21	LOW_EXPRESSION
STK38L	TESTED
ARNTL2	TESTED
SMCO2	LOW_EXPRESSION
PPFIBP1	TESTED
REP15	TESTED
AC009509.4	LOW_EXPRESSION
AC009509.2	LOW_EXPRESSION
MRPS35	TESTED
KLHL42	TESTED
AC008011.2	LOW_EXPRESSION
CCDC91	TESTED
FAR2	LOW_EXPRESSION
OVCH1-AS1	LOW_EXPRESSION
AC010198.1	LOW_EXPRESSION
LINC00941	LOW_EXPRESSION
TSPAN11	LOW_EXPRESSION
DDX11	TESTED
AC024940.1	LOW_EXPRESSION
ETFBKMT	LOW_EXPRESSION
AC023157.3	TESTED
KIAA1551	TESTED
AC016957.2	LOW_EXPRESSION
BICD1	TESTED
FGD4	TESTED
DNM1L	TESTED
ALG10	LOW_EXPRESSION
ALG10B	LOW_EXPRESSION
AC067735.1	LOW_EXPRESSION
LRRK2	LOW_EXPRESSION
CNTN1	LOW_EXPRESSION
PDZRN4	LOW_EXPRESSION
PPHLN1	TESTED
AC079601.1	LOW_EXPRESSION
IRAK4	TESTED
TMEM117	TESTED
ANO6	TESTED
ARID2	TESTED
AC025031.2	LOW_EXPRESSION
AC008014.1	LOW_EXPRESSION
AC008035.1	LOW_EXPRESSION
AC079906.1	LOW_EXPRESSION
PCED1B	TESTED
AC008083.2	LOW_EXPRESSION
AC008083.3	LOW_EXPRESSION
LINC02416	LOW_EXPRESSION
LINC02156	LOW_EXPRESSION
AC004241.1	LOW_EXPRESSION
SLC48A1	LOW_EXPRESSION
AC004466.1	LOW_EXPRESSION
LINC02354	LOW_EXPRESSION
AC121338.1	LOW_EXPRESSION
AC121338.2	TESTED
TMEM106C	TESTED
PFKM	TESTED
AC074029.3	LOW_EXPRESSION
CCDC184	LOW_EXPRESSION
AC024257.3	TESTED
AC117498.1	LOW_EXPRESSION
AC117498.2	LOW_EXPRESSION
CACNB3	TESTED
CCDC65	LOW_EXPRESSION
DDN-AS1	TESTED
AC011603.2	LOW_EXPRESSION
TUBA1C	TESTED
PRPH	LOW_EXPRESSION
TROAP	TESTED
DNAJC22	TESTED
SPATS2	TESTED
KCNH3	LOW_EXPRESSION
PRPF40B	TESTED
TMBIM6	TESTED
BCDIN3D-AS1	LOW_EXPRESSION
AQP5	TESTED
AQP6	LOW_EXPRESSION
ASIC1	TESTED
SMARCD1	TESTED
GPD1	TESTED
COX14	TESTED
AC074032.1	TESTED
AC008147.1	LOW_EXPRESSION
LARP4	TESTED
DIP2B	TESTED
ATF1	TESTED
METTL7A	TESTED
LETMD1	TESTED
DAZAP2	TESTED
SLC4A8	LOW_EXPRESSION
SCN8A	TESTED
ANKRD33	LOW_EXPRESSION
ACVRL1	TESTED
ACVR1B	TESTED
GRASP	LOW_EXPRESSION
NR4A1	TESTED
ATG101	TESTED
AC078864.2	LOW_EXPRESSION
LINC00592	LOW_EXPRESSION
KRT7	TESTED
KRT86	LOW_EXPRESSION
KRT18	TESTED
EIF4B	TESTED
TNS2	LOW_EXPRESSION
IGFBP6	TESTED
ZNF740	TESTED
AC021072.1	LOW_EXPRESSION
MFSD5	TESTED
ESPL1	TESTED
PFDN5	TESTED
C12orf10	TESTED
SP1	TESTED
AMHR2	LOW_EXPRESSION
PRR13	TESTED
PCBP2	TESTED
TARBP2	TESTED
AC023509.2	LOW_EXPRESSION
AC076968.1	LOW_EXPRESSION
HOXC11	LOW_EXPRESSION
HOXC9	LOW_EXPRESSION
HOXC8	LOW_EXPRESSION
HOXC4	LOW_EXPRESSION
LINC02381	LOW_EXPRESSION
AC078778.1	LOW_EXPRESSION
HNRNPA1	TESTED
COPZ1	TESTED
NCKAP1L	TESTED
PDE1B	LOW_EXPRESSION
MUCL1	LOW_EXPRESSION
METTL7B	TESTED
BLOC1S1	TESTED
RDH5	LOW_EXPRESSION
AC009779.2	TESTED
GDF11	LOW_EXPRESSION
ORMDL2	TESTED
DGKA	TESTED
CDK2	TESTED
RAB5B	TESTED
SUOX	LOW_EXPRESSION
IKZF4	TESTED
RPS26	TESTED
ERBB3	TESTED
PA2G4	TESTED
RPL41	TESTED
ESYT1	TESTED
MYL6B	TESTED
MYL6	TESTED
NABP2	TESTED
SLC39A5	TESTED
COQ10A	LOW_EXPRESSION
AC073896.2	TESTED
IL23A	TESTED
SPRYD4	TESTED
RBMS2	TESTED
HSD17B6	LOW_EXPRESSION
NAB2	TESTED
LRP1	TESTED
NXPH4	TESTED
SHMT2	TESTED
AC126614.1	LOW_EXPRESSION
GLI1	LOW_EXPRESSION
MARS	TESTED
MBD6	TESTED
KIF5A	LOW_EXPRESSION
PIP4K2C	TESTED
DTX3	TESTED
ARHGEF25	LOW_EXPRESSION
OS9	TESTED
AGAP2-AS1	TESTED
TSPAN31	TESTED
MARCH9	TESTED
EEF1AKMT3	LOW_EXPRESSION
TSFM	LOW_EXPRESSION
AC025165.4	LOW_EXPRESSION
AC083805.3	LOW_EXPRESSION
ATP23	TESTED
AC068305.2	LOW_EXPRESSION
SLC16A7	LOW_EXPRESSION
USP15	TESTED
MON2	TESTED
AC048341.1	TESTED
RXYLT1	TESTED
SRGAP1	TESTED
XPOT	TESTED
TBK1	TESTED
RASSF3	TESTED
AC025262.1	LOW_EXPRESSION
TBC1D30	TESTED
LEMD3	TESTED
MSRB3	LOW_EXPRESSION
HMGA2	TESTED
IRAK3	TESTED
HELB	TESTED
CAND1	TESTED
LINC02408	LOW_EXPRESSION
DYRK2	TESTED
IFNG-AS1	LOW_EXPRESSION
RAP1B	TESTED
NUP107	TESTED
SLC35E3	LOW_EXPRESSION
MDM2	TESTED
CPSF6	TESTED
LYZ	TESTED
YEATS4	TESTED
FRS2	TESTED
CCT2	TESTED
RAB3IP	TESTED
MYRFL	LOW_EXPRESSION
CNOT2	TESTED
KCNMB4	TESTED
AC025569.1	LOW_EXPRESSION
AC083809.1	TESTED
LGR5	TESTED
THAP2	LOW_EXPRESSION
TMEM19	LOW_EXPRESSION
RAB21	TESTED
TBC1D15	TESTED
TRHDE	LOW_EXPRESSION
ATXN7L3B	TESTED
GLIPR1L1	LOW_EXPRESSION
GLIPR1L2	LOW_EXPRESSION
GLIPR1	TESTED
AC011611.2	LOW_EXPRESSION
AC011611.3	LOW_EXPRESSION
AC011611.4	TESTED
AC107032.2	LOW_EXPRESSION
ZDHHC17	TESTED
NAV3	LOW_EXPRESSION
SYT1	TESTED
AC073569.2	LOW_EXPRESSION
AC073569.1	LOW_EXPRESSION
OTOGL	LOW_EXPRESSION
MYF6	LOW_EXPRESSION
ACSS3	LOW_EXPRESSION
METTL25	TESTED
TMTC2	TESTED
AC090679.1	LOW_EXPRESSION
LRRIQ1	LOW_EXPRESSION
ALX1	LOW_EXPRESSION
AC131532.1	LOW_EXPRESSION
NTS	TESTED
C12orf29	TESTED
TMTC3	TESTED
AC024941.2	LOW_EXPRESSION
AC024909.2	LOW_EXPRESSION
AC010201.2	LOW_EXPRESSION
AC010201.1	LOW_EXPRESSION
POC1B-AS1	TESTED
AC025034.1	LOW_EXPRESSION
ATP2B1-AS1	TESTED
AC084200.1	LOW_EXPRESSION
AC126178.1	LOW_EXPRESSION
AC126175.1	LOW_EXPRESSION
AC025164.1	LOW_EXPRESSION
AC063949.2	LOW_EXPRESSION
LINC02397	LOW_EXPRESSION
C12orf74	LOW_EXPRESSION
PLEKHG7	LOW_EXPRESSION
LINC02413	LOW_EXPRESSION
AC138123.2	LOW_EXPRESSION
LINC02412	LOW_EXPRESSION
NUDT4	TESTED
MRPL42	TESTED
SOCS2	LOW_EXPRESSION
CRADD	LOW_EXPRESSION
AC012464.3	LOW_EXPRESSION
PLXNC1	LOW_EXPRESSION
CEP83-DT	LOW_EXPRESSION
VEZT	TESTED
METAP2	TESTED
SNRPF	TESTED
AMDHD1	LOW_EXPRESSION
AC007298.2	LOW_EXPRESSION
ELK3	TESTED
CFAP54	LOW_EXPRESSION
NEDD1	TESTED
TMPO	TESTED
SLC25A3	TESTED
APAF1	TESTED
AC010203.2	LOW_EXPRESSION
ACTR6	TESTED
SCYL2	TESTED
SLC17A8	LOW_EXPRESSION
NR1H4	LOW_EXPRESSION
GAS2L3	TESTED
ANO4	LOW_EXPRESSION
UTP20	TESTED
MYBPC1	LOW_EXPRESSION
CHPT1	TESTED
DRAM1	LOW_EXPRESSION
AC079907.1	LOW_EXPRESSION
PARPBP	TESTED
ASCL1	LOW_EXPRESSION
STAB2	LOW_EXPRESSION
AC012555.1	LOW_EXPRESSION
HSP90B1	TESTED
TDG	TESTED
HCFC2	TESTED
TXNRD1	TESTED
CHST11	LOW_EXPRESSION
C12orf45	TESTED
WASHC4	TESTED
C12orf75	TESTED
CASC18	LOW_EXPRESSION
AC079174.2	LOW_EXPRESSION
TCP11L2	LOW_EXPRESSION
POLR3B	TESTED
RIC8B	TESTED
TMEM263	TESTED
BTBD11	LOW_EXPRESSION
PWP1	TESTED
AC007622.2	LOW_EXPRESSION
WSCD2	LOW_EXPRESSION
FICD	LOW_EXPRESSION
ISCU	TESTED
AC007569.1	LOW_EXPRESSION
DAO	LOW_EXPRESSION
USP30	TESTED
UNG	TESTED
ACACB	TESTED
UBE3B	TESTED
MVK	TESTED
FAM222A	TESTED
TCHP	TESTED
ANKRD13A	TESTED
IFT81	TESTED
ATP2A2	TESTED
FAM216A	LOW_EXPRESSION
RAD9B	LOW_EXPRESSION
TCTN1	TESTED
CUX2	LOW_EXPRESSION
LINC02356	LOW_EXPRESSION
SH2B3	TESTED
ATXN2-AS	LOW_EXPRESSION
ACAD10	LOW_EXPRESSION
ALDH2	TESTED
MAPKAPK5	TESTED
ERP29	TESTED
TRAFD1	TESTED
PTPN11	TESTED
RPH3A	LOW_EXPRESSION
OAS1	TESTED
OAS3	TESTED
OAS2	TESTED
DTX1	LOW_EXPRESSION
CFAP73	LOW_EXPRESSION
RITA1	TESTED
TPCN1	TESTED
PLBD2	TESTED
SDSL	TESTED
AC073863.1	LOW_EXPRESSION
AC012157.1	LOW_EXPRESSION
MAP1LC3B2	LOW_EXPRESSION
AC125603.1	LOW_EXPRESSION
RNFT2	TESTED
FBXW8	TESTED
RFC5	TESTED
AC131238.1	LOW_EXPRESSION
PEBP1	TESTED
SUDS3	TESTED
AC026367.3	LOW_EXPRESSION
AC026367.2	LOW_EXPRESSION
HSPB8	LOW_EXPRESSION
CCDC60	TESTED
TMEM233	LOW_EXPRESSION
PRKAB1	TESTED
AC002563.1	LOW_EXPRESSION
BICDL1	TESTED
AC004812.2	TESTED
PXN-AS1	TESTED
AC004263.1	LOW_EXPRESSION
SIRT4	LOW_EXPRESSION
COX6A1	LOW_EXPRESSION
GATC	TESTED
DYNLL1	TESTED
RNF10	TESTED
CABP1	TESTED
MLEC	TESTED
AC069234.5	LOW_EXPRESSION
AC069234.4	LOW_EXPRESSION
UNC119B	TESTED
ACADS	TESTED
HNF1A	TESTED
P2RX7	LOW_EXPRESSION
AC069209.1	LOW_EXPRESSION
P2RX4	TESTED
RNF34	TESTED
AC145422.1	LOW_EXPRESSION
ORAI1	TESTED
TMEM120B	LOW_EXPRESSION
AC084018.1	LOW_EXPRESSION
AC084018.2	TESTED
SETD1B	TESTED
PSMD9	TESTED
WDR66	LOW_EXPRESSION
BCL7A	TESTED
MLXIP	TESTED
B3GNT4	LOW_EXPRESSION
CLIP1-AS1	LOW_EXPRESSION
AC127002.1	LOW_EXPRESSION
KNTC1	TESTED
AC026333.4	LOW_EXPRESSION
DENR	TESTED
CCDC62	LOW_EXPRESSION
HIP1R	TESTED
AC027290.1	LOW_EXPRESSION
OGFOD2	TESTED
ARL6IP4	TESTED
PITPNM2-AS1	LOW_EXPRESSION
C12orf65	TESTED
AC068768.2	LOW_EXPRESSION
AC137767.1	TESTED
KMT5A	TESTED
SNRNP35	LOW_EXPRESSION
TMED2	TESTED
DDX55	TESTED
GTF2H3	TESTED
TCTN2	TESTED
ATP6V0A2	TESTED
DNAH10	LOW_EXPRESSION
ZNF664	LOW_EXPRESSION
RFLNA	TESTED
AC068790.8	LOW_EXPRESSION
AC073592.1	LOW_EXPRESSION
BRI3BP	TESTED
AACS	TESTED
TMEM132B	LOW_EXPRESSION
AC005186.1	LOW_EXPRESSION
AC079949.2	TESTED
LINC00507	LOW_EXPRESSION
TMEM132C	LOW_EXPRESSION
AC108704.1	LOW_EXPRESSION
GLT1D1	LOW_EXPRESSION
AC026336.3	LOW_EXPRESSION
FZD10	LOW_EXPRESSION
AC026336.2	LOW_EXPRESSION
PIWIL1	TESTED
RAN	TESTED
ADGRD1	LOW_EXPRESSION
SFSWAP	TESTED
MMP17	LOW_EXPRESSION
AC131009.2	LOW_EXPRESSION
ULK1	TESTED
PUS1	TESTED
EP400	TESTED
NOC4L	TESTED
AC138466.1	LOW_EXPRESSION
AC148477.2	LOW_EXPRESSION
AC148477.4	LOW_EXPRESSION
FBRSL1	TESTED
P2RX2	LOW_EXPRESSION
PXMP2	TESTED
PGAM5	TESTED
AC127070.1	LOW_EXPRESSION
AC127070.2	LOW_EXPRESSION
ZNF26	TESTED
ZNF84	TESTED
ZNF140	TESTED
ZNF10	LOW_EXPRESSION
ZNF268	TESTED
TPTE2	LOW_EXPRESSION
PSPC1	TESTED
ZMYM5	TESTED
GJA3	LOW_EXPRESSION
GJB2	TESTED
GJB6	LOW_EXPRESSION
CRYL1	TESTED
AL590096.1	LOW_EXPRESSION
AL161772.1	TESTED
EEF1AKMT1	TESTED
XPO4	TESTED
LATS2	TESTED
SKA3	TESTED
LINC00539	LOW_EXPRESSION
ZDHHC20	TESTED
MICU2	TESTED
LINC00621	LOW_EXPRESSION
SACS	LOW_EXPRESSION
MIPEP	TESTED
PARP4	TESTED
CENPJ	TESTED
AMER2	LOW_EXPRESSION
MTMR6	TESTED
AL590787.1	LOW_EXPRESSION
SHISA2	LOW_EXPRESSION
RNF6	TESTED
GPR12	LOW_EXPRESSION
USP12	TESTED
LINC02340	LOW_EXPRESSION
MTIF3	TESTED
LNX2	TESTED
PLUT	LOW_EXPRESSION
CDX2	TESTED
URAD	TESTED
FLT3	LOW_EXPRESSION
PAN3-AS1	LOW_EXPRESSION
FLT1	LOW_EXPRESSION
SLC46A3	TESTED
MTUS2-AS1	LOW_EXPRESSION
SLC7A1	TESTED
UBL3	TESTED
LINC00365	LOW_EXPRESSION
LINC00384	LOW_EXPRESSION
KATNAL1	TESTED
LINC00426	LOW_EXPRESSION
LINC01058	LOW_EXPRESSION
HMGB1	TESTED
HSPH1	TESTED
FRY-AS1	LOW_EXPRESSION
ZAR1L	LOW_EXPRESSION
N4BP2L1	LOW_EXPRESSION
N4BP2L2	TESTED
STARD13	TESTED
AL139383.1	LOW_EXPRESSION
MAB21L1	LOW_EXPRESSION
DCLK1	LOW_EXPRESSION
SPART	LOW_EXPRESSION
SMAD9	TESTED
ALG5	TESTED
SUPT20H	TESTED
LINC01048	LOW_EXPRESSION
POSTN	LOW_EXPRESSION
TRPC4	LOW_EXPRESSION
LINC00571	LOW_EXPRESSION
STOML3	LOW_EXPRESSION
