gene	status
SRSF4	TESTED
MECR	TESTED
LINC01648	LOW_EXPRESSION
MATN1	LOW_EXPRESSION
LAPTM5	TESTED
SDC3	TESTED
PUM1	TESTED
SNRNP40	TESTED
FABP3	TESTED
AC114488.1	LOW_EXPRESSION
PEF1	TESTED
COL16A1	TESTED
ADGRB2	LOW_EXPRESSION
SPOCD1	LOW_EXPRESSION
AL354919.1	LOW_EXPRESSION
PTP4A2	TESTED
AL445248.1	LOW_EXPRESSION
AL049795.1	LOW_EXPRESSION
TMEM234	LOW_EXPRESSION
MARCKSL1	TESTED
FAM229A	LOW_EXPRESSION
BSDC1	TESTED
ZBTB8OS	TESTED
SYNC	TESTED
AC114489.1	LOW_EXPRESSION
YARS	TESTED
FNDC5	LOW_EXPRESSION
TMEM54	TESTED
RNF19B	TESTED
AK2	TESTED
TRIM62	LOW_EXPRESSION
PHC2	TESTED
CSMD2	LOW_EXPRESSION
SMIM12	LOW_EXPRESSION
DLGAP3	LOW_EXPRESSION
AC114490.3	LOW_EXPRESSION
ZMYM6	LOW_EXPRESSION
AL590434.1	LOW_EXPRESSION
SFPQ	TESTED
ZMYM4-AS1	LOW_EXPRESSION
KIAA0319L	TESTED
AC004865.2	LOW_EXPRESSION
PSMB2	TESTED
C1orf216	LOW_EXPRESSION
CLSPN	TESTED
AL139286.2	LOW_EXPRESSION
COL8A2	LOW_EXPRESSION
TRAPPC3	TESTED
EVA1B	TESTED
STK40	TESTED
LSM10	LOW_EXPRESSION
OSCP1	LOW_EXPRESSION
MRPS15	TESTED
CSF3R	LOW_EXPRESSION
GRIK3	LOW_EXPRESSION
LINC01137	LOW_EXPRESSION
MEAF6	TESTED
SNIP1	TESTED
GNL2	TESTED
RSPO1	LOW_EXPRESSION
C1orf109	TESTED
EPHA10	LOW_EXPRESSION
YRDC	TESTED
MTF1	TESTED
INPP5B	TESTED
SF3A3	TESTED
FHL3	TESTED
POU3F1	TESTED
RRAGC	TESTED
MYCBP	TESTED
RHBDL2	TESTED
PABPC4	TESTED
HEYL	LOW_EXPRESSION
HPCAL4	LOW_EXPRESSION
BMP8B	TESTED
AL033527.4	LOW_EXPRESSION
TRIT1	TESTED
MYCL	TESTED
PPT1	TESTED
AL050341.2	TESTED
COL9A2	TESTED
AL603839.3	LOW_EXPRESSION
AL603839.2	LOW_EXPRESSION
RIMS3	TESTED
NFYC-AS1	TESTED
CITED4	TESTED
SLFNL1	LOW_EXPRESSION
SCMH1	TESTED
EDN2	TESTED
HIVEP3	TESTED
GUCA2A	TESTED
FOXJ3	TESTED
ZMYND12	LOW_EXPRESSION
CLDN19	LOW_EXPRESSION
P3H1	TESTED
SVBP	TESTED
AL512353.1	LOW_EXPRESSION
SLC2A1	TESTED
EBNA1BP2	TESTED
C1orf210	TESTED
AL139289.2	TESTED
ELOVL1	TESTED
MED8	TESTED
SZT2-AS1	LOW_EXPRESSION
HYI	TESTED
KDM4A-AS1	LOW_EXPRESSION
AL357079.1	LOW_EXPRESSION
SLC6A9	LOW_EXPRESSION
ERI3	TESTED
TMEM53	LOW_EXPRESSION
AL592166.1	LOW_EXPRESSION
BEST4	LOW_EXPRESSION
TCTEX1D4	LOW_EXPRESSION
PTCH2	TESTED
EIF2B3	TESTED
HECTD3	TESTED
ZSWIM5	TESTED
MUTYH	TESTED
TESK2	TESTED
CCDC163	LOW_EXPRESSION
PRDX1	TESTED
CCDC17	LOW_EXPRESSION
GPBP1L1	TESTED
IPP	TESTED
PIK3R3	TESTED
POMGNT1	TESTED
LRRC41	LOW_EXPRESSION
MKNK1	TESTED
MOB3C	LOW_EXPRESSION
ATPAF1	TESTED
EFCAB14	TESTED
CYP4A22-AS1	LOW_EXPRESSION
PDZK1IP1	TESTED
TAL1	LOW_EXPRESSION
STIL	TESTED
LINC01389	LOW_EXPRESSION
FOXD2-AS1	TESTED
TRABD2B	LOW_EXPRESSION
SPATA6	TESTED
AGBL4	LOW_EXPRESSION
BEND5	LOW_EXPRESSION
DMRTA2	TESTED
FAF1	TESTED
LINC01562	LOW_EXPRESSION
AL162430.2	LOW_EXPRESSION
TTC39A	TESTED
EPS15	TESTED
NRDC	TESTED
RAB3B	TESTED
TXNDC12	TESTED
CC2D1B	LOW_EXPRESSION
ORC1	TESTED
TUT4	TESTED
COA7	TESTED
ECHDC2	TESTED
SLC1A7	TESTED
AL606760.2	LOW_EXPRESSION
C1orf123	TESTED
MAGOH	TESTED
LRP8	TESTED
AC119428.2	LOW_EXPRESSION
GLIS1	LOW_EXPRESSION
NDC1	TESTED
YIPF1	TESTED
HSPB11	TESTED
LDLRAD1	LOW_EXPRESSION
TMEM59	TESTED
CYB5RL	LOW_EXPRESSION
SSBP3	TESTED
FAM151A	LOW_EXPRESSION
PARS2	LOW_EXPRESSION
TTC22	TESTED
DHCR24	TESTED
USP24	TESTED
AC119674.2	LOW_EXPRESSION
PLPP3	LOW_EXPRESSION
FYB2	LOW_EXPRESSION
DAB1	LOW_EXPRESSION
OMA1	LOW_EXPRESSION
TACSTD2	TESTED
MYSM1	TESTED
JUN	TESTED
AL136985.2	LOW_EXPRESSION
AC105277.1	LOW_EXPRESSION
AC093424.1	LOW_EXPRESSION
CYP2J2	TESTED
LINC01748	LOW_EXPRESSION
AC099792.1	LOW_EXPRESSION
NFIA-AS2	LOW_EXPRESSION
TM2D1	TESTED
AC099791.2	TESTED
KANK4	LOW_EXPRESSION
DOCK7	TESTED
FOXD3-AS1	LOW_EXPRESSION
ITGB3BP	TESTED
JAK1	TESTED
AL357078.3	LOW_EXPRESSION
AL357078.1	LOW_EXPRESSION
AL139147.1	LOW_EXPRESSION
