pathway_id	pathway	direction	pathway_P	gene	log2FC	gene_P	depth_log2FC	depth_P	donors_high_greater	donors_high_lower
R-HSA-399719	Trafficking of AMPA receptors	lower_in_LYPLA1_high	0.0106791058794452	CACNG8	-0.653670788091942	0.0001513694663171	-0.644169029419831	0.0716105633704736	0	8
R-HSA-399719	Trafficking of AMPA receptors	lower_in_LYPLA1_high	0.0106791058794452	PRKCG	-1.37536769027995	0.0073899537976585	-1.03579628836594	0.487858598206714	2	5
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	lower_in_LYPLA1_high	0.0106791058794452	CACNG8	-0.653670788091942	0.0001513694663171	-0.644169029419831	0.0716105633704736	0	8
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	lower_in_LYPLA1_high	0.0106791058794452	PRKCG	-1.37536769027995	0.0073899537976585	-1.03579628836594	0.487858598206714	2	5
R-HSA-6803157	Antimicrobial peptides	lower_in_LYPLA1_high	0.0118019600459868	PRSS2	-1.99966729693798	1.2550204209404298e-11	-2.16618933190897	0.0054315595976253	1	2
R-HSA-6803157	Antimicrobial peptides	lower_in_LYPLA1_high	0.0118019600459868	S100A7	-0.895639859582372	7.56853907364849e-06	2.62486303457622	0.337501099492616	1	2
R-HSA-1638074	Keratan sulfate/keratin metabolism	lower_in_LYPLA1_high	0.0141951673517179	B3GNT7	-0.550001844594402	0.0199480175579301	-1.11646642336889	0.0541135547718461	3	5
R-HSA-1638074	Keratan sulfate/keratin metabolism	lower_in_LYPLA1_high	0.0141951673517179	FMOD	-0.507868902371108	0.0378461002499425	0.226255118510722	0.700466564660411	2	5
R-HSA-1483249	Inositol phosphate metabolism	lower_in_LYPLA1_high	0.0161119923184565	ITPKA	-0.591641177341947	0.0373516003860398	-0.451741538768057	0.439431538302278	3	5
R-HSA-1483249	Inositol phosphate metabolism	lower_in_LYPLA1_high	0.0161119923184565	ITPKB	-0.576939702214943	0.0257053798792399	-0.7093522736097	0.252092141801578	2	6
R-HSA-1483249	Inositol phosphate metabolism	lower_in_LYPLA1_high	0.0161119923184565	PLCD1	-0.617347988609025	0.0065333016621325	0.111867181483578	0.849793392160082	1	7
R-HSA-449147	Signaling by Interleukins	higher_in_LYPLA1_high	0.0191729354551866	IL1RN	0.742520384400268	0.0007510022895531	0.610350336791185	0.347147363814614	7	1
R-HSA-449147	Signaling by Interleukins	higher_in_LYPLA1_high	0.0191729354551866	MMP1	0.609323037634799	0.0078546628476107	-0.224185812027828	0.921595219226887	4	1
R-HSA-449147	Signaling by Interleukins	higher_in_LYPLA1_high	0.0191729354551866	PIM1	0.524540536807305	0.0001802063578179	0.422602616385731	0.172757420359206	6	2
R-HSA-449147	Signaling by Interleukins	higher_in_LYPLA1_high	0.0191729354551866	PTGS2	0.769945815770004	0.0001671906007597	0.438144747949236	0.518368889892144	5	2
R-HSA-76002	Platelet activation, signaling and aggregation	higher_in_LYPLA1_high	0.0191824077012956	CD109	0.973946368748414	0.0221609947372771	2.55575057484836	0.0844291298101761	5	2
R-HSA-76002	Platelet activation, signaling and aggregation	higher_in_LYPLA1_high	0.0191824077012956	PLCG2	0.741685589158526	0.0318963160250333	0.72773418807272	0.550700076118474	8	0
R-HSA-76002	Platelet activation, signaling and aggregation	higher_in_LYPLA1_high	0.0191824077012956	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-1442490	Collagen degradation	lower_in_LYPLA1_high	0.0195472600358511	COL1A2	-1.06656192149041	0.0249637541097621	0.156548966370605	0.942182812853163	1	5
R-HSA-1442490	Collagen degradation	lower_in_LYPLA1_high	0.0195472600358511	PRSS2	-1.99966729693798	1.2550204209404298e-11	-2.16618933190897	0.0054315595976253	1	2
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	higher_in_LYPLA1_high	0.0212951074507037	IGFBP6	1.07115145810684	0.0008248436188012	-0.222229865351685	0.875725543119084	5	1
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	higher_in_LYPLA1_high	0.0212951074507037	MMP1	0.609323037634799	0.0078546628476107	-0.224185812027828	0.921595219226887	4	1
R-HSA-397014	Muscle contraction	lower_in_LYPLA1_high	0.0279868449670346	CACNB2	-0.785594990861632	0.047044866567046	-0.25037175815156	0.705535778669731	1	7
R-HSA-397014	Muscle contraction	lower_in_LYPLA1_high	0.0279868449670346	CACNG8	-0.653670788091942	0.0001513694663171	-0.644169029419831	0.0716105633704736	0	8
R-HSA-397014	Muscle contraction	lower_in_LYPLA1_high	0.0279868449670346	DES	-0.833474819861766	6.25956602527546e-05	0.353840838845216	0.593459936654764	1	5
R-HSA-9031628	NGF-stimulated transcription	lower_in_LYPLA1_high	0.0305896171416998	EGR2	-0.603922966437717	0.0016153313215464	0.156093601329864	0.749258658158976	2	6
R-HSA-9031628	NGF-stimulated transcription	lower_in_LYPLA1_high	0.0305896171416998	REST	-0.588500173417391	0.0474301741550674	-0.807759607224733	0.267709088664094	1	7
R-HSA-114608	Platelet degranulation	higher_in_LYPLA1_high	0.0314883953329377	CD109	0.973946368748414	0.0221609947372771	2.55575057484836	0.0844291298101761	5	2
R-HSA-114608	Platelet degranulation	higher_in_LYPLA1_high	0.0314883953329377	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-3000178	ECM proteoglycans	lower_in_LYPLA1_high	0.0341054943317262	COL1A2	-1.06656192149041	0.0249637541097621	0.156548966370605	0.942182812853163	1	5
R-HSA-3000178	ECM proteoglycans	lower_in_LYPLA1_high	0.0341054943317262	FMOD	-0.507868902371108	0.0378461002499425	0.226255118510722	0.700466564660411	2	5
