group	cells	donors	mean_log1p_CP10K	median_total_UMI	mean_total_UMI	median_LYPLA1_count
high	1262	8	1.560139556081472	9502.0	10717.20206022187	3.0
low	1266	8	0.8635988791919844	13027.5	13509.924960505528	1.0
