cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	log2FC	logCPM	QL_F	direction	depth_log2FC	depth_p_value	depth_direction_agrees	n_donors	donors_high_greater	donors_high_lower	selected	depth_selected
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	ILDR1	donor	8	8	edgeR_log2FC_high_vs_low	-0.707145246007674	NA	NA	0.0013545420947004	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.707145246007674	3.40469970524948	11.7027375658352	lower_in_LYPLA1_high	-0.740605152344199	0.124271091019983	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	RAB26	donor	8	8	edgeR_log2FC_high_vs_low	-0.713960669231741	NA	NA	0.0014484352838568	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.713960669231741	3.41072855962859	11.5449063087421	lower_in_LYPLA1_high	-0.977881488887551	0.0537199168358872	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	EGR2	donor	8	8	edgeR_log2FC_high_vs_low	-0.603922966437717	NA	NA	0.0016153313215464	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.603922966437717	4.15889019750322	11.2893159068594	lower_in_LYPLA1_high	0.156093601329864	0.749258658158976	False	8	2	6	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	LGALS2	donor	8	8	edgeR_log2FC_high_vs_low	-0.838302718719399	NA	NA	0.0019148467151818	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.838302718719399	3.18096452188458	10.9523499067907	lower_in_LYPLA1_high	-0.684413413154003	0.0929367643021094	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	TACC3	donor	8	8	edgeR_log2FC_high_vs_low	-0.571792397563703	NA	NA	0.0020913568296731	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.571792397563703	4.19185633789849	10.8283140194717	lower_in_LYPLA1_high	-0.658089390161096	0.158408611036872	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	VNN1	donor	8	8	edgeR_log2FC_high_vs_low	0.51817069439229	NA	NA	0.002325013333945	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.51817069439229	5.4705158604669	10.5075847571427	higher_in_LYPLA1_high	0.650101166761668	0.391688427083277	True	8	4	2	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	CDSN	donor	8	8	edgeR_log2FC_high_vs_low	1.61174356028247	NA	NA	0.002523696952008	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	1.61174356028247	2.25062815285227	11.4436553998067	higher_in_LYPLA1_high	1.13817827870375	0.435236081262417	True	8	3	2	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	GPR155	donor	8	8	edgeR_log2FC_high_vs_low	-0.705824092535309	NA	NA	0.0027958207728923	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.705824092535309	4.34271102825489	11.5919625400199	lower_in_LYPLA1_high	-1.41096172708415	0.0039510807530326	True	8	3	4	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	CRACR2A	donor	8	8	edgeR_log2FC_high_vs_low	-0.545638705596229	NA	NA	0.003487108658825	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.545638705596229	3.87630601852182	9.5293917827933	lower_in_LYPLA1_high	-0.986443371177835	0.0043794539207193	True	8	1	7	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	TPPP3	donor	8	8	edgeR_log2FC_high_vs_low	-0.524378626177923	NA	NA	0.0041960166272839	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.524378626177923	4.1114500636301	9.14956668313785	lower_in_LYPLA1_high	-0.251484875912462	0.458509722615211	True	8	1	7	True	False
