pathway_id	pathway	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	higher_in_LYPLA1_high	11058	39	18	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	lower_in_LYPLA1_high	11058	92	18	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	higher_in_LYPLA1_high	11058	39	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	lower_in_LYPLA1_high	11058	92	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	higher_in_LYPLA1_high	11058	39	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	lower_in_LYPLA1_high	11058	92	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450513	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	higher_in_LYPLA1_high	11058	39	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450513	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	lower_in_LYPLA1_high	11058	92	16	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	higher_in_LYPLA1_high	11058	39	69	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	lower_in_LYPLA1_high	11058	92	69	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450604	KSRP (KHSRP) binds and destabilizes mRNA	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-450604	KSRP (KHSRP) binds and destabilizes mRNA	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-451927	Interleukin-2 family signaling	higher_in_LYPLA1_high	11058	39	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-451927	Interleukin-2 family signaling	lower_in_LYPLA1_high	11058	92	21	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-452723	Transcriptional regulation of pluripotent stem cells	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-452723	Transcriptional regulation of pluripotent stem cells	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-453274	Mitotic G2-G2/M phases	higher_in_LYPLA1_high	11058	39	161	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-453274	Mitotic G2-G2/M phases	lower_in_LYPLA1_high	11058	92	161	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-453276	Regulation of mitotic cell cycle	higher_in_LYPLA1_high	11058	39	69	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-453276	Regulation of mitotic cell cycle	lower_in_LYPLA1_high	11058	92	69	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-453279	Mitotic G1 phase and G1/S transition	higher_in_LYPLA1_high	11058	39	126	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
