gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard
ABHD12	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
CHKA	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
CHPT1	power14	yellow	247	0.527109918104763	127	0.51417004048583	0.0886462971359539	0.845528455284553	DONE		0.648745519713262
ETNK1	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
GPCPD1	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LPCAT3	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LYPLA1	power14	yellow	247	0.519220556030569	133	0.538461538461538	0.487064048738612	0.0365853658536585	DONE		0.648745519713262
LYPLA2	power14	turquoise	497	0.494251582728053	314	0.631790744466801	0.310793104161585	0.709677419354839	DONE		0.492537313432836
PCYT2	power14	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
GDPD5	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CEPT1	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT1	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CHKB	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1A	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ENPP2	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ETNK2	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT4	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT2	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1B	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
SLC22A2	power14	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
