config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
split3	SCGB2A2	brown	470	0.664505548500516	28	0.0595744680851064	0.0474967296969712	0.948936170212766
split3	MALAT1	turquoise	742	0.63203401370542	146	0.196765498652291	0.561903677608418	0.0754716981132075
split3	MGP	grey	NA	NA	NA	NA	NA	NA
split3	MUCL1	lightcyan	55	0.698921031744951	6	0.109090909090909	0.571122570977977	0.127272727272727
split3	S100A6	grey	NA	NA	NA	NA	NA	NA
split3	CD24	yellow	285	0.45698559765528	216	0.757894736842105	0.329558807770303	0.643109540636042
split3	VIM	salmon	125	0.688956039889345	10	0.08	0.807061298910527	0.016
split3	AGR2	turquoise	742	0.814657321169184	8	0.0107816711590297	0.581816313462859	0.0606469002695418
split3	FOS	red	242	0.804992611196605	10	0.0413223140495868	0.677335001282613	0.0330578512396694
split3	S100A9	greenyellow	154	0.430845374764756	134	0.87012987012987	0.279042066771731	0.75974025974026
split3	SCGB1B2P	pink	213	0.315267059991867	211	0.990610328638498	0.0423515862837244	0.891509433962264
split3	KRT19	turquoise	742	0.427092035288998	463	0.623989218328841	0.191477493529547	0.722371967654987
split3	S100A8	greenyellow	154	0.550187405857128	73	0.474025974025974	0.223082339136337	0.844155844155844
split3	PIP	brown	470	0.465304810628906	245	0.521276595744681	0.16632069327868	0.842553191489362
split3	AZGP1	brown	470	0.535224573941454	146	0.31063829787234	0.0788492212321758	0.919148936170213
split3	HSPB1	cyan	121	0.43192491720538	113	0.933884297520661	0.673935904726839	0.0416666666666667
split3	TMSB4X	grey	NA	NA	NA	NA	NA	NA
split3	NEAT1	magenta	177	0.630939399915787	28	0.15819209039548	0.485037555827939	0.25
split3	ZFP36	red	242	0.861999785047861	2	0.00826446280991736	0.593864684300626	0.0826446280991736
split3	CALML5	grey	NA	NA	NA	NA	NA	NA
split3	IFI27	lightgreen	46	0.779176860695757	6	0.130434782608696	0.498344662115832	0.456521739130435
split3	RPS20	pink	213	0.688637807866027	46	0.215962441314554	-0.05398139314776	0.952830188679245
split3	JUN	red	242	0.813990521768822	5	0.0206611570247934	0.72002820429582	0.0206611570247934
split3	HSPA1A	red	242	0.61655864023191	75	0.309917355371901	0.30624818090174	0.710743801652893
split3	XBP1	turquoise	742	0.680485555341212	72	0.0970350404312668	0.850351537137364	0.00134770889487871
split3	RPL13A	purple	167	0.480791900296933	107	0.640718562874252	0.818251964990445	0.0359281437125748
split3	BTG2	turquoise	742	0.799000719337406	11	0.0148247978436658	0.477726946004262	0.148247978436658
split3	LDHB	salmon	125	0.641849694563272	18	0.144	0.709059890364174	0.064
split3	S100A10	grey	NA	NA	NA	NA	NA	NA
split3	CST3	turquoise	742	0.711387377011862	56	0.0754716981132075	0.357516846709456	0.342318059299191
split3	HLA-B	lightgreen	46	0.84305824589684	1	0.0217391304347826	0.791626950732937	0.0217391304347826
split3	SCGB1D2	brown	470	0.641860483657749	44	0.0936170212765957	0.00487880951786222	0.970212765957447
split3	LGALS1	grey	NA	NA	NA	NA	NA	NA
split3	CLDN4	red	242	0.6591669186499	52	0.214876033057851	0.573632768810184	0.119834710743802
split3	AGR3	turquoise	742	0.873760654094462	3	0.00404312668463612	0.711756536038637	0.0121293800539084
split3	SAT1	brown	470	0.344200844951715	428	0.91063829787234	0.0403391773503827	0.957446808510638
split3	RPS17	purple	167	0.527958732956702	93	0.55688622754491	0.537949177474418	0.395209580838323
split3	KRT7	yellow	285	0.441522750803215	232	0.814035087719298	0.375069596892086	0.530035335689046
split3	ELF3	red	242	0.75508671499881	17	0.0702479338842975	0.513033677367439	0.227272727272727
