gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard
ABHD12	split3	black	236	0.526155520666945	86	0.364406779661017	0.368332881780231	0.372881355932203	DONE		0.852
CHKA	split3	blue	558	0.33231343465516	525	0.940860215053763	0.213546667908934	0.831541218637993	DONE		0.90327868852459
CHPT1	split3	pink	213	0.530679811243762	107	0.502347417840376	0.132074968475369	0.811320754716981	DONE		0.972222222222222
ETNK1	split3	red	242	0.378803271397648	225	0.929752066115702	0.237655226335194	0.867768595041322	DONE		0.777777777777778
GPCPD1	split3	brown	470	0.507670835592387	184	0.391489361702128	0.267081862438005	0.663829787234043	DONE		0.778846153846154
LPCAT3	split3	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LYPLA1	split3	pink	213	0.495083071656763	128	0.60093896713615	0.510474353803658	0.0377358490566038	DONE		0.972222222222222
LYPLA2	split3	blue	558	0.502713297718301	244	0.437275985663082	0.317288439681635	0.627240143369176	DONE		0.90327868852459
PCYT2	split3	blue	558	0.376607930638139	471	0.844086021505376	0.377115001414123	0.455197132616487	DONE		0.90327868852459
GDPD5	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CEPT1	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT1	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CHKB	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1A	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ENPP2	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ETNK2	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT4	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT2	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1B	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
SLC22A2	split3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
