config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
merge015	SCGB2A2	brown	455	0.685049545651038	19	0.0417582417582418	0.178180546542075	0.843956043956044
merge015	MALAT1	turquoise	744	0.634556329698613	139	0.186827956989247	0.560519048571546	0.0740242261103634
merge015	MGP	grey	NA	NA	NA	NA	NA	NA
merge015	MUCL1	cyan	56	0.678289412309316	8	0.142857142857143	0.598737217903901	0.0892857142857143
merge015	S100A6	grey	NA	NA	NA	NA	NA	NA
merge015	CD24	green	294	0.446300819014827	239	0.812925170068027	0.32811014809456	0.657534246575342
merge015	VIM	salmon	133	0.725365408400356	6	0.0451127819548872	0.809237182023625	0.0150375939849624
merge015	AGR2	turquoise	744	0.81438451817495	8	0.010752688172043	0.574812116630186	0.0686406460296097
merge015	FOS	yellow	302	0.775547116357596	12	0.0397350993377483	0.798397686306565	0.00662251655629139
merge015	S100A9	greenyellow	154	0.43234923128882	135	0.876623376623377	0.278105636298869	0.779220779220779
merge015	SCGB1B2P	pink	213	0.309646802480532	212	0.995305164319249	0.0448308505566701	0.891509433962264
merge015	KRT19	turquoise	744	0.427423735587592	469	0.630376344086022	0.18358200731243	0.733512786002692
merge015	S100A8	greenyellow	154	0.5494470521895	74	0.480519480519481	0.224767964954085	0.850649350649351
merge015	PIP	brown	455	0.487680099594899	209	0.459340659340659	0.254509001465427	0.720879120879121
merge015	AZGP1	brown	455	0.558041913351433	109	0.23956043956044	0.33061622877835	0.525274725274725
merge015	HSPB1	magenta	174	0.479881188789045	110	0.632183908045977	0.658131848444017	0.046242774566474
merge015	TMSB4X	grey	NA	NA	NA	NA	NA	NA
merge015	NEAT1	yellow	302	0.642424749831054	61	0.201986754966887	0.508736630911082	0.165562913907285
merge015	ZFP36	yellow	302	0.824672164524817	1	0.0033112582781457	0.677780948183188	0.0397350993377483
merge015	CALML5	cyan	56	0.460230348497463	40	0.714285714285714	0.347351045781395	0.5
merge015	IFI27	midnightblue	44	0.788068643468977	5	0.113636363636364	0.512779973297975	0.363636363636364
merge015	RPS20	pink	213	0.687874943391328	46	0.215962441314554	-0.0545896939568923	0.952830188679245
merge015	JUN	yellow	302	0.784311500826792	8	0.0264900662251656	0.818252085529405	0.0033112582781457
merge015	HSPA1A	yellow	302	0.559509258522905	125	0.413907284768212	0.309577128327429	0.602649006622517
merge015	XBP1	turquoise	744	0.679427581574139	72	0.0967741935483871	0.852053490866844	0.00134589502018843
merge015	RPL13A	purple	170	0.480460544899435	110	0.647058823529412	0.817437893989893	0.0352941176470588
