gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard
ABHD12	merge035	green	227	0.525408427560097	90	0.39647577092511	0.378114288682362	0.343612334801762	DONE		1
CHKA	merge035	blue	849	0.261566511180682	820	0.965842167255595	0.207267718191185	0.8150765606596	DONE		0.710247349823322
CHPT1	merge035	red	213	0.527192372868939	107	0.502347417840376	0.115198743568649	0.834905660377358	DONE		1
ETNK1	merge035	brown	757	0.37515387702671	609	0.80449141347424	0.278027614023432	0.631439894319683	DONE		0.398943196829591
GPCPD1	merge035	brown	757	0.478941822768466	360	0.47556142668428	0.296039321882992	0.590488771466314	DONE		0.60105680317041
LPCAT3	merge035	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LYPLA1	merge035	red	213	0.497392237625962	127	0.596244131455399	0.498227272240242	0.0377358490566038	DONE		1
LYPLA2	merge035	blue	849	0.502662499038178	309	0.363957597173145	0.297745208235295	0.633686690223793	DONE		0.710247349823322
PCYT2	merge035	blue	849	0.338703470461895	723	0.851590106007067	0.341135718842699	0.513545347467609	DONE		0.710247349823322
GDPD5	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CEPT1	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT1	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CHKB	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1A	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ENPP2	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ETNK2	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT4	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT2	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1B	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
SLC22A2	merge035	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
