gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard
ABHD12	baseline	black	227	0.525408427560097	90	0.39647577092511	0.378114288682362	0.343612334801762	DONE		1
CHKA	baseline	blue	603	0.334987641180288	564	0.935323383084577	0.214157090585479	0.835820895522388	DONE		1
CHPT1	baseline	pink	213	0.527192372868939	107	0.502347417840376	0.115198743568649	0.834905660377358	DONE		1
ETNK1	baseline	yellow	302	0.388863531916054	276	0.913907284768212	0.176446140580005	0.910596026490066	DONE		1
GPCPD1	baseline	brown	455	0.501867053909178	194	0.426373626373626	0.190976206768195	0.817582417582418	DONE		1
LPCAT3	baseline	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LYPLA1	baseline	pink	213	0.497392237625962	127	0.596244131455399	0.498227272240242	0.0377358490566038	DONE		1
LYPLA2	baseline	blue	603	0.501517077762915	261	0.432835820895522	0.31642757387487	0.626865671641791	DONE		1
PCYT2	baseline	blue	603	0.376373185096616	504	0.835820895522388	0.377924030520416	0.456053067993366	DONE		1
GDPD5	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CEPT1	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT1	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CHKB	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1A	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ENPP2	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ETNK2	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT4	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT2	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1B	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
SLC22A2	baseline	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
