config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
power10	SCGB2A2	blue	537	0.678596481772146	21	0.0391061452513966	0.124547751329509	0.880819366852886
power10	MALAT1	turquoise	814	0.632766908339547	141	0.173218673218673	0.555052941961376	0.0738007380073801
power10	MGP	grey	NA	NA	NA	NA	NA	NA
power10	MUCL1	blue	537	0.509096051865109	148	0.2756052141527	0.315575426846385	0.528864059590317
power10	S100A6	midnightblue	74	0.341676731887342	63	0.851351351351351	0.587379753772399	0.243243243243243
power10	CD24	brown	485	0.452246172695036	266	0.548453608247423	0.327418423492897	0.606625258799172
power10	VIM	midnightblue	74	0.673902544992509	11	0.148648648648649	0.804680126570572	0.0405405405405405
power10	AGR2	turquoise	814	0.808823443492365	8	0.00982800982800983	0.581408758172487	0.0553505535055351
power10	FOS	purple	223	0.805785296724018	10	0.0448430493273543	0.815721815365707	0.00896860986547085
power10	S100A9	tan	200	0.445006774964501	129	0.645	0.280530246284819	0.65
power10	SCGB1B2P	grey	NA	NA	NA	NA	NA	NA
power10	KRT19	turquoise	814	0.430462258089747	487	0.598280098280098	0.196406388386848	0.688806888068881
power10	S100A8	tan	200	0.561468599200584	69	0.345	0.228868827724353	0.78
power10	PIP	blue	537	0.499655666920116	154	0.286778398510242	0.242128021394903	0.711359404096834
power10	AZGP1	turquoise	814	0.516556571875435	296	0.363636363636364	0.480495118671999	0.13530135301353
power10	HSPB1	turquoise	814	0.323827023154356	754	0.926289926289926	0.416890893225366	0.22140221402214
power10	TMSB4X	grey	NA	NA	NA	NA	NA	NA
power10	NEAT1	purple	223	0.618425845679863	73	0.327354260089686	0.496992092076972	0.2152466367713
power10	ZFP36	purple	223	0.86340564871241	2	0.00896860986547085	0.699329982907578	0.0493273542600897
power10	CALML5	grey	NA	NA	NA	NA	NA	NA
power10	IFI27	lightcyan	53	0.710935874736274	9	0.169811320754717	0.430840275123884	0.528301886792453
power10	RPS20	pink	243	0.685355892778728	43	0.176954732510288	-0.115028606357824	0.971074380165289
power10	JUN	purple	223	0.817796111906797	5	0.0224215246636771	0.833104613069105	0.00448430493273543
power10	HSPA1A	purple	223	0.606089897874491	78	0.349775784753363	0.330293927719566	0.542600896860987
power10	XBP1	turquoise	814	0.683373994578523	69	0.0847665847665848	0.848762010998033	0.001230012300123
power10	RPL13A	cyan	152	0.506261899770676	101	0.664473684210526	0.819712598152566	0.0394736842105263
