logical_table	cohort	file	rows	sha256	logical_table_sha256
sc_celltype_profiles.tsv	GSE263733	sc_celltype_profiles_GSE263733.tsv	4809	d58c0349c9a7f1d2335f12ef581b209319be8c57c0c746db6eb7096648cf2f78	0c0d1529d9a34b78df1c6a6e637e9e004022ba6c00789165204d0148ddd6b8ed
sc_celltype_profiles.tsv	GSE278688	sc_celltype_profiles_GSE278688.tsv	6183	e0d78a5347cc0a03c9a11794b2f9e3326e5c2c82edd478943d104064cba0504a	0c0d1529d9a34b78df1c6a6e637e9e004022ba6c00789165204d0148ddd6b8ed
sc_celltype_profiles.tsv	GSE242230	sc_celltype_profiles_GSE242230.tsv	6870	41bf538b893670eac9a026867959672df62ecb0a926890b5844f88a924c55678	0c0d1529d9a34b78df1c6a6e637e9e004022ba6c00789165204d0148ddd6b8ed
