relation_id	metabolite_key	metabolite_name	gene	source_relation_id	source_url	camp_g	camp_q	max_input_raw_missing_rate	mapped_tumor_specimens	n_unit	independent_patient_id	identity_status	interpretation	n_author_data_available	analysis_type	seed	origin	n	rho	ci_lower	ci_upper	p_value	p_asymptotic_descriptive	bootstrap_valid	status	q_value	test_family	family_n_planned	family_n_evaluable
KEGG:C00062|ARG1	KEGG:C00062	arginine	ARG1	R009	https://enzyme.expasy.org/EC/3.5.3.1	-0.688564831222648	0.0008843577364728	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2016635141	NEW_CALCULATION	61	-0.11322051824431514	-0.3792748087806861	0.1608546287404742	0.3836	0.3849647752582278	4000.0	COMPUTED_EXPLORATORY	0.5552470588235294	BRCA117_v1|author_processed_primary	174	171
KEGG:C00062|ARG2	KEGG:C00062	arginine	ARG2	R009	https://enzyme.expasy.org/EC/3.5.3.1	-0.688564831222648	0.0008843577364728	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	3255150339	NEW_CALCULATION	61	-0.25637228979375987	-0.4712762307476358	-0.024004961000696365	0.0466	0.046110918686909794	4000.0	COMPUTED_EXPLORATORY	0.18531627906976744	BRCA117_v1|author_processed_primary	174	171
KEGG:C00064|ASNS	KEGG:C00064	glutamine	ASNS	R003	https://www.kegg.jp/entry/6.3.5.4	-1.64592808836308	1.000340954773e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	1106339146	NEW_CALCULATION	61	-0.43051295610787943	-0.6242993501594702	-0.1980930903466002	0.0007	0.0005337561189845012	4000.0	COMPUTED_EXPLORATORY	0.01995	BRCA117_v1|author_processed_primary	174	171
KEGG:C00064|GLS	KEGG:C00064	glutamine	GLS	R001	https://enzyme.expasy.org/EC/3.5.1.2	-1.64592808836308	1.000340954773e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	1929532063	NEW_CALCULATION	61	-0.21115811739820198	-0.4526654951370865	0.05552599328544717	0.1046	0.10235199823345853	4000.0	COMPUTED_EXPLORATORY	0.2592260869565218	BRCA117_v1|author_processed_primary	174	171
KEGG:C00064|GLS2	KEGG:C00064	glutamine	GLS2	R001	https://enzyme.expasy.org/EC/3.5.1.2	-1.64592808836308	1.000340954773e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2641285099	NEW_CALCULATION	61	0.23548387096774193	-0.02677687877655809	0.4754109682484077	0.0732	0.06771120368571378	4000.0	COMPUTED_EXPLORATORY	0.212735593220339	BRCA117_v1|author_processed_primary	174	171
KEGG:C00064|GLUL	KEGG:C00064	glutamine	GLUL	R002	https://rest.uniprot.org/uniprotkb/P15104.txt	-1.64592808836308	1.000340954773e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	1235382155	NEW_CALCULATION	61	-0.04341618191433104	-0.30536621059722463	0.22711360578647133	0.7416	0.7397134232924796	4000.0	COMPUTED_EXPLORATORY	0.8626775510204082	BRCA117_v1|author_processed_primary	174	171
KEGG:C00065|SHMT1	KEGG:C00065	serine	SHMT1	R008	https://enzyme.expasy.org/EC/2.1.2.1	0.366302117488738	0.0449816966610649	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2802253698	NEW_CALCULATION	61	-0.16367001586462188	-0.4029505850115188	0.1121252989775905	0.2129	0.2075332186742365	4000.0	COMPUTED_EXPLORATORY	0.40451000000000004	BRCA117_v1|author_processed_primary	174	171
KEGG:C00065|SHMT2	KEGG:C00065	serine	SHMT2	R008	https://enzyme.expasy.org/EC/2.1.2.1	0.366302117488738	0.0449816966610649	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	518636582	NEW_CALCULATION	61	-0.10782654680063457	-0.35700201283632144	0.15317847851324867	0.4097	0.4081546478353141	4000.0	COMPUTED_EXPLORATORY	0.5742516393442623	BRCA117_v1|author_processed_primary	174	171
KEGG:C00073|MAT1A	KEGG:C00073	methionine	MAT1A	R030	https://enzyme.expasy.org/EC/2.5.1.6	-0.428906532899064	0.0464057055545984	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2003214944	NEW_CALCULATION	61	-0.06113248457018345	-0.33173812599642616	0.20557008044276678	0.6332	0.6397699257919558	4000.0	COMPUTED_EXPLORATORY	0.7798821428571429	BRCA117_v1|author_processed_primary	174	171
KEGG:C00073|MAT2A	KEGG:C00073	methionine	MAT2A	R030	https://enzyme.expasy.org/EC/2.5.1.6	-0.428906532899064	0.0464057055545984	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	306171356	NEW_CALCULATION	61	-0.14066817383796543	-0.3858559609124868	0.11002988257508235	0.2761	0.27955822830128385	4000.0	COMPUTED_EXPLORATORY	0.48577959183673464	BRCA117_v1|author_processed_primary	174	171
