gene	stable_gene_id	partition_cancer	top_celltype_cancer	runner_celltype_cancer	top_gap_cancer	bootstrap_top_frequency_cancer	bootstrap_valid_cancer	n_eligible_celltypes_cancer	status_cancer	reason_cancer	partition_adj_benign	top_celltype_adj_benign	runner_celltype_adj_benign	top_gap_adj_benign	bootstrap_top_frequency_adj_benign	bootstrap_valid_adj_benign	n_eligible_celltypes_adj_benign	status_adj_benign	reason_adj_benign	same_study_not_independent
GCLC	HGNC:4311	cancer	Myeloid	Epithelial_altered_benign	0.03653330057859419	0.853	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Myeloid	0.008560296325456518	0.487	1000	10	DONE	descriptive_only	True
GGT1	HGNC:4250	cancer	Epithelial_malignant	Epithelial_altered_benign	0.15659270140630027	1.0	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.08125987887116416	0.974	1000	10	DONE	descriptive_only	True
GGT5	HGNC:4260	cancer	CAFs	Endothelial	0.2154333167398969	1.0	1000	10	DONE	descriptive_only	adj_benign	CAFs	SMCs	0.18324981438807947	1.0	1000	10	DONE	descriptive_only	True
GLS	HGNC:4331	cancer	T-cells	Myeloid	0.058814005553722404	0.962	1000	10	DONE	descriptive_only	adj_benign	T-cells	Myeloid	0.04650627175966904	0.928	1000	10	DONE	descriptive_only	True
GLS2	HGNC:29570	cancer	Epithelial_altered_benign	Epithelial_normal	0.00045340718934312393	0.518	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Epithelial_altered_benign	0.0015765653147051736	0.58	1000	10	DONE	descriptive_only	True
GLUL	HGNC:4341	cancer	Myeloid	CAFs	0.42193038463592525	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	CAFs	0.40071915281124615	1.0	1000	10	DONE	descriptive_only	True
GLYCTK	HGNC:24247	cancer	Endothelial	Epithelial_malignant	0.0041487101538508556	0.735	1000	10	DONE	descriptive_only	adj_benign	Endothelial	T-cells	0.01455513406544924	1.0	1000	10	DONE	descriptive_only	True
GPX1	HGNC:4553	cancer	NA	NA	NA	NA	0	0	NOT_EVALUABLE	fewer_than2_eligible_celltypes	adj_benign	NA	NA	NA	NA	0	0	NOT_EVALUABLE	fewer_than2_eligible_celltypes	True
GPX4	HGNC:4556	cancer	Epithelial_malignant	Epithelial_normal	0.028391589136684603	0.648	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Epithelial_malignant	0.1139916011265345	0.876	1000	10	DONE	descriptive_only	True
GSR	HGNC:4623	cancer	Epithelial_malignant	Epithelial_altered_benign	0.03504575307974042	0.941	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.12175735987368086	0.973	1000	10	DONE	descriptive_only	True
