gene	stable_gene_id	status	reason	n_feature_hits	ensembl_id
SDS	HGNC:10691	DONE	exact_unique_gene_symbol	1	ENSG00000135094
SDSL	HGNC:30404	DONE	exact_unique_gene_symbol	1	ENSG00000139410
SHMT1	HGNC:10850	DONE	exact_unique_gene_symbol	1	ENSG00000176974
SHMT2	HGNC:10852	DONE	exact_unique_gene_symbol	1	ENSG00000182199
SLC22A12	HGNC:17989	DONE	exact_unique_gene_symbol	1	ENSG00000197891
SLC22A2	HGNC:10966	DONE	exact_unique_gene_symbol	1	ENSG00000112499
SLC25A20	HGNC:1421	DONE	exact_unique_gene_symbol	1	ENSG00000178537
SLC29A2	HGNC:11004	DONE	exact_unique_gene_symbol	1	ENSG00000174669
SLC2A1	HGNC:11005	DONE	exact_unique_gene_symbol	1	ENSG00000117394
SLC2A3	HGNC:11007	DONE	exact_unique_gene_symbol	1	ENSG00000059804
SLC2A9	HGNC:13446	DONE	exact_unique_gene_symbol	1	ENSG00000109667
SLC47A1	HGNC:25588	DONE	exact_unique_gene_symbol	1	ENSG00000142494
SLC47A2	HGNC:26439	DONE	exact_unique_gene_symbol	1	ENSG00000180638
SLC6A6	HGNC:11052	DONE	exact_unique_gene_symbol	1	ENSG00000131389
SLC6A8	HGNC:11055	DONE	exact_unique_gene_symbol	1	ENSG00000130821
SLC7A11	HGNC:11059	DONE	exact_unique_gene_symbol	1	ENSG00000151012
SOAT1	HGNC:11177	DONE	exact_unique_gene_symbol	1	ENSG00000057252
SOAT2	HGNC:11178	DONE	exact_unique_gene_symbol	1	ENSG00000167780
STS	HGNC:11425	DONE	exact_unique_gene_symbol	1	ENSG00000101846
SUGCT	HGNC:16001	DONE	exact_unique_gene_symbol	1	ENSG00000175600
SULT2A1	HGNC:11458	DONE	exact_unique_gene_symbol	1	ENSG00000105398
UPP1	HGNC:12576	DONE	exact_unique_gene_symbol	1	ENSG00000183696
UPP2	HGNC:23061	DONE	exact_unique_gene_symbol	1	ENSG00000007001
XDH	HGNC:12805	DONE	exact_unique_gene_symbol	1	ENSG00000158125
