cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	n_pairs_total	n_both_available	mask_semantics	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	seed	zero_method	tie_method	continuity_correction	B	bootstrap_valid	ci_estimand	ci_method	p_method	family_n_planned	evidence_label	level
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:13-methylmyristic acid	13-methylmyristic acid	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.7111808060212693	0.3352185245156151	1.0280604451506228	0.005157470703125	0.0100513972602739	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:bcff1be32f777d48	17	9	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	16	14	2	1	0.8235294117647058	0.1176470588235294	0.7111808060212693	1.0160653432984823	0.7647058823529411	1371716718	wilcox	average_ranks	False	65536	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	exhaustive_sign_flip	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:methyl palmitate (15 or 2)	methyl palmitate (15 or 2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.0737498371249805	0.8088712186973283	1.325561944615283	2e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:993cef8f173560af	17	14	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	17	0	0	1.0	0.0	1.0737498371249805	1.1534384999593534	1.0	4012967607	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.235873069383349	1.0089476512398243	1.4659311326252291	1e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:86b0c442b0150027	17	14	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	17	0	0	1.0	0.0	1.235873069383349	1.211960640342081	1.0	579342260	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:(3'-5')-adenylyladenosine	(3'-5')-adenylyladenosine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-2.727816955753544	-3.5232652314698427	-1.9352046916363423	4e-05	0.0002138345864661	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:97b9488904dd4c74	17	2	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	1	16	0	0.0588235294117647	0.9411764705882352	-2.727816955753544	-2.350898863924449	-0.9869281045751634	159650500	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:(3'-5')-cytidylyluridine	(3'-5')-cytidylyluridine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-2.8243873860461832	-3.363082120094204	-2.247904946479971	2e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:3cd1e4e36502dee2	17	2	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	1	16	0	0.0588235294117647	0.9411764705882352	-2.8243873860461832	-2.782424539694801	-0.9869281045751634	1734249310	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB13127	hydroxybutyrylcarnitine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.5577158814035348	-0.025762615917594	1.094549290151036	0.03503	0.0543806331877729	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:8702e9a95957305d	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	12	5	0	0.7058823529411765	0.2941176470588235	0.5577158814035348	0.689276902240465	0.5816993464052288	3428759865	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOMINAL_EXPLORATORY	仅P<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB13127	(S)-3-hydroxybutyrylcarnitine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.1448053555868816	0.2763217003129721	1.9494595566044624	0.00295	0.0064338957055214	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:001d252a77e76500	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	15	2	0	0.8823529411764706	0.1176470588235294	1.1448053555868816	1.0681596966505111	0.7777777777777778	365639698	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:1,2,3-benzenetriol sulfate (2)	1,2,3-benzenetriol sulfate (2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-0.6558540859062763	-1.0643901445710844	-0.2901103709131902	0.031494140625	0.0493223215514867	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:1bcff7a3237eed88	17	5	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	13	5	8	4	0.2941176470588235	0.4705882352941176	-0.6558540859062763	0.0	-0.6703296703296703	3175230931	wilcox	average_ranks	False	8192	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	exhaustive_sign_flip	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB08138	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.0582679958338719	-0.4348272185619833	0.442204938381625	0.32878	0.3915621105527638	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:2d5ac1eeee4dc203	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	9	8	0	0.5294117647058824	0.4705882352941176	0.0582679958338719	0.2961026760185312	0.2810457516339869	173795284	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOT_SUPPORTED_THIS_TEST	未过阈值
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	KEGG:C00350	1,2-dilinoleoyl-GPE (18:2/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-1.36121885873058	-1.834303018330592	-0.9537234570127412	4e-05	0.0002138345864661	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:4c2fabcb61dd50e8	17	14	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	1	16	0	0.0588235294117647	0.9411764705882352	-1.36121885873058	-1.1184730937698006	-0.9869281045751634	2607063839	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	KEGG:D03585	1,2-dipalmitoyl-GPC (16:0/16:0)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.8430165348182435	0.6359064105398538	1.0341163329002678	7e-05	0.0002944970414201	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:50d15922a38591d3	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	16	1	0	0.9411764705882352	0.0588235294117647	0.8430165348182435	0.944532249152168	0.9738562091503268	2448264959	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB08923	1,2-dipalmitoyl-GPE (16:0/16:0)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-0.2993170920094143	-0.63146020205909	0.0221988811786478	0.14573	0.1915895756457564	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:64fbd8834234eaac	17	16	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	7	10	0	0.4117647058823529	0.5882352941176471	-0.2993170920094143	-0.4723403714058669	-0.4117647058823529	239346927	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOT_SUPPORTED_THIS_TEST	未过阈值
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.3128748636478978	0.0863952009020083	0.5555746868775169	0.14392	0.1905532960893854	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:5acbf0fa5591a2ec	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	10	7	0	0.5882352941176471	0.4117647058823529	0.3128748636478978	0.062387086869716	0.4117647058823529	1203440739	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOT_SUPPORTED_THIS_TEST	未过阈值
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	KEGG:C16356	1,7-dimethylurate	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-3.604147979017712	-4.250340776839075	-2.887436572839561	7e-05	0.0002944970414201	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:8e7a15b58234479d	17	4	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	0	17	0	0.0	1.0	-3.604147979017712	-3.605544639599948	-1.0	234833354	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:1-(1-enyl-oleoyl)-GPE (P-18:1)	1-(1-enyl-oleoyl)-GPE (P-18:1)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-2.337706180063892	-2.99970930712376	-1.6369427615581151	0.00016	0.000577461928934	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:f4b1ce4aa338efe3	17	14	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	1	16	0	0.0588235294117647	0.9411764705882352	-2.337706180063892	-2.5003088023454367	-0.934640522875817	1256131008	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB11220	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.9590602088145388	0.5415961232378834	1.317667171366426	0.00165	0.0040734375	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:0a5810e9680acba1	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	15	2	0	0.8823529411764706	0.1176470588235294	0.9590602088145388	0.9845017160072658	0.8169934640522876	3896164569	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB11352	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-0.4358642402442655	-0.9637907292921912	-0.1143242154372686	0.00626	0.01186896	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:e6aaa54c417b4d61	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	3	14	0	0.1764705882352941	0.8235294117647058	-0.4358642402442655	-0.1985193105188507	-0.7254901960784313	3578735544	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB11211	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.099624843327201	0.4060391158216013	1.6877196814109774	0.00533	0.0102979076086956	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:a07d3fbcbf36edf6	17	15	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	15	2	0	0.8823529411764706	0.1176470588235294	1.099624843327201	1.3406439198328322	0.738562091503268	884284941	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB11343	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-0.2464230948899862	-0.7978762643236673	0.2462925593167129	0.51769	0.5787383490566038	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:3e0f892f73f87452	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	8	9	0	0.4705882352941176	0.5294117647058824	-0.2464230948899862	-0.3510293966801399	-0.1895424836601307	1070084438	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOT_SUPPORTED_THIS_TEST	未过阈值
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB0007996	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.7840385426551343	0.259236772072673	1.2380587021123213	0.01439	0.0246537108433734	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:e9f5fe0f6ef41ffd	17	17	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17	17	12	5	0	0.7058823529411765	0.2941176470588235	0.7840385426551343	0.9073641420326836	0.6601307189542484	433939500	wilcox	average_ranks	False	99999	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	q<0.05
