gene	stable_gene_id	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	n_eligible_celltypes	status	reason	study
GDPD5	ENSG00000158555	Peri	Endo_PLVAP	0.0091490066511394	0.2564632885211996	967	8	DONE	descriptive_only	GSE159115
GGT1	HGNC:4250	Tumor	Tcell_CD8	0.2129665269231721	1.0	992	8	DONE	descriptive_only	GSE159115
GGT5	HGNC:4260	vSMC	Peri	0.1775819658540989	0.9939516129032258	992	8	DONE	descriptive_only	GSE159115
GLS	ENSG00000115419	Endo_ACKR1	Peri	0.1029258497970806	0.5816532258064516	992	8	DONE	descriptive_only	GSE159115
GLUL	ENSG00000135821	Macro	Endo_ACKR1	0.7454691306814085	1.0	992	8	DONE	descriptive_only	GSE159115
GNPNAT1	ENSG00000100522	Endo_ACKR1	Peri	0.0129994313698974	0.4344758064516129	992	8	DONE	descriptive_only	GSE159115
GOT1	ENSG00000120053	Tumor	Tcell_CD8	0.1982898926140203	1.0	992	8	DONE	descriptive_only	GSE159115
GOT2	ENSG00000125166	Peri	Endo_PLVAP	0.0091141226413016	0.2217741935483871	992	8	DONE	descriptive_only	GSE159115
GPCPD1	ENSG00000125772	Macro	Tcell	0.0113934570030633	0.9506048387096774	992	8	DONE	descriptive_only	GSE159115
GPI	ENSG00000105220	Tumor	Peri	0.2337826791549815	1.0	992	8	DONE	descriptive_only	GSE159115
GPX1	HGNC:4553	Macro	Endo_PLVAP	1.2446160932525487	1.0	992	8	DONE	descriptive_only	GSE159115
GPX4	HGNC:4556	Macro	Peri	0.2756619718619149	1.0	992	8	DONE	descriptive_only	GSE159115
GSR	ENSG00000104687	Tumor	Peri	0.0154293358899025	0.910282258064516	992	8	DONE	descriptive_only	GSE159115
GSS	ENSG00000100983	vSMC	Tcell_CD8	0.0075446088754102	0.7006048387096774	992	8	DONE	descriptive_only	GSE159115
HK1	HGNC:4922	Peri	Endo_PLVAP	0.0099768842005186	0.0987903225806451	992	8	DONE	descriptive_only	GSE159115
HK2	HGNC:4923	Tumor	Macro	0.1392632288668692	1.0	992	8	DONE	descriptive_only	GSE159115
HK3	HGNC:4925	Macro	vSMC	0.034513142902198	1.0	992	8	DONE	descriptive_only	GSE159115
HPD	ENSG00000158104	Tumor	Macro	0.0240141436388087	1.0	690	8	DONE	descriptive_only	GSE159115
