gene	metabolite_key	metabolite_name	COAD_n	COAD_rho	COAD_p	COAD_q	BRCA_ER_n	BRCA_ER_rho	BRCA_ER_p	BRCA_ER_q	BRCA_ER_availability_rho	BRCA_ER_availability_q	same_direction	interpretation	M1_status	M1_reason	M1_n	M1_effect	M1_ci_lower	M1_ci_upper	M1_p_value	M1_q_value	M1_delta_adjustment	M1_delta_case_selection	M1_loo_max_abs_delta	M1_loo_any_sign_change	M1_bootstrap_valid	M1_ci_status	M2_status	M2_reason	M2_n	M2_effect	M2_ci_lower	M2_ci_upper	M2_p_value	M2_q_value	M2_delta_adjustment	M2_delta_case_selection	M2_loo_max_abs_delta	M2_loo_any_sign_change	M2_bootstrap_valid	M2_ci_status	M3_status	M3_reason	M3_n	M3_effect	M3_ci_lower	M3_ci_upper	M3_p_value	M3_q_value	M3_delta_adjustment	M3_delta_case_selection	M3_loo_max_abs_delta	M3_loo_any_sign_change	M3_bootstrap_valid	M3_ci_status
BCAT2	KEGG:C00407	isoleucine	33	-0.4050802139037433	0.0214	0.6877548387096774	61.0	-0.3355241589643783	0.0094	0.1004625	-0.3355241589643783	0.11481428571428573	True	Descriptive same-name/same-source-key match; different models and populations; no independent mechanism validation	DONE	APPROXIMATE_FREEDMAN_LANE	33	-0.43697977504357177	-0.665218517309267	-0.09628442406643303	0.0145	0.5686888888888889	-0.03189956113982845	0.0	0.06914470959962316	False	4000	DONE	DONE	APPROXIMATE_FREEDMAN_LANE	33	-0.3553783694868937	-0.6413628041579775	0.019995088922032115	0.0604	0.9741244755244756	0.049701844416849605	0.0	0.08837956139862241	False	4000	DONE	NOT_EVALUABLE	SPARSE_SOURCE_CATEGORY_LT3	33	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA
NNMT	KEGG:C02918	1-methylnicotinamide	33	0.4070855614973262	0.0219	0.6877548387096774	61.0	0.3844277473038987	0.0025	0.0534375	0.3844277473038987	0.053437500000000006	True	Descriptive same-name/same-source-key match; different models and populations; no independent mechanism validation	DONE	APPROXIMATE_FREEDMAN_LANE	33	0.31215609284699664	-0.13443628932640625	0.7116941212229355	0.0834	0.8821959183673469	-0.09492946865032958	0.0	0.11853137295733085	False	4000	DONE	DONE	APPROXIMATE_FREEDMAN_LANE	33	0.2106183703133209	-0.2904175763580218	0.6938036343425982	0.2769	0.9741244755244756	-0.19646719118400532	0.0	0.140006735367506	False	4000	DONE	NOT_EVALUABLE	SPARSE_SOURCE_CATEGORY_LT3	33	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA
SLC6A6	KEGG:C00245	taurine	33	0.356951871657754	0.0405	0.7335	61.0	0.167240827448844	0.2061	0.4351	0.167240827448844	0.48278219178082193	True	Descriptive same-name/same-source-key match; different models and populations; no independent mechanism validation	DONE	APPROXIMATE_FREEDMAN_LANE	33	0.3582255140144666	-0.01182119737178282	0.6418769430779103	0.0482	0.7746380952380951	0.0012736423567126232	0.0	0.07707668009330115	False	4000	DONE	DONE	APPROXIMATE_FREEDMAN_LANE	33	0.3586546788949636	-0.07134571832226434	0.6813866309415755	0.0633	0.9741244755244756	0.0017028072372096137	0.0	0.11272368966849669	False	4000	DONE	NOT_EVALUABLE	SPARSE_SOURCE_CATEGORY_LT3	33	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA
