dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects
ccRCC_meta	ccRCC	gamma-glutamylvaline	gamma-glutamylvaline	NA	HMDB11172	HMDB:HMDB11172	HIGH_ID	Peptide	gamma-glutamyl	-0.562726880583604	0.245665976550179	0.49564702818657	0.342390946461212	0.115384615384615	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	prolylglycine	prolylglycine	NA	HMDB11178	HMDB:HMDB11178	HIGH_ID	Peptide	Dipeptide	-0.693752118440705	0.0240312376917334	0.155020120280348	3.07311835850722e-05	0.686567164179104	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)	NA	HMDB11206	HMDB:HMDB11206	HIGH_ID	Lipid	Plasmalogen (PE-P)	2.26860123250283	0.148993869282981	0.385997239993995	2.55292634244384e-08	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)	NA	HMDB11211	HMDB:HMDB11211	HIGH_ID	Lipid	Plasmalogen (PE-P)	0.884015585955497	0.0247631287373567	0.157363047559955	1.12803889161073e-07	0.0447761194029851	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)	NA	HMDB11220	HMDB:HMDB11220	HIGH_ID	Lipid	Plasmalogen (PE-P)	1.37217346366088	0.0277327013719276	0.166531382543734	2.20066453115991e-15	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)	NA	HMDB11342	HMDB:HMDB11342	HIGH_ID	Lipid	Plasmalogen (PE-P)	-0.464927709675193	0.246477775481282	0.496465281244602	0.442247011818428	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)	NA	HMDB11343	HMDB:HMDB11343	HIGH_ID	Lipid	Plasmalogen (PE-P)	0.129358916958191	0.0500477264584316	0.22371349190076	0.646567820881379	0.0192307692307692	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)	NA	HMDB11352	HMDB:HMDB11352	HIGH_ID	Lipid	Plasmalogen (PE-P)	-0.389290487164735	0.0448632437717958	0.21180945156389	0.114551558684481	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	HMDB11375	HMDB:HMDB11375	HIGH_ID	Lipid	Plasmalogen (PE-P)	0.887530552702264	0.0247986601302915	0.157475903332197	1.02432745881513e-07	0.0149253731343284	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-palmitoyl-GPE (16:0)	1-palmitoyl-GPE (16:0)	NA	HMDB11503	HMDB:HMDB11503	HIGH_ID	Lipid	Lysophospholipid	-3.65861039597928	0.211843707676695	0.460264823418752	2.09345671114899e-14	0.0298507462686567	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-oleoyl-GPE (18:1)	1-oleoyl-GPE (18:1)	NA	HMDB11506	HMDB:HMDB11506	HIGH_ID	Lipid	Lysophospholipid	-3.01633160716163	0.245422008149127	0.495400856023814	7.334565941144091e-09	0.0149253731343284	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-linoleoyl-GPE (18:2)	1-linoleoyl-GPE (18:2)	NA	HMDB11507	HMDB:HMDB11507	HIGH_ID	Lipid	Lysophospholipid	-1.9653339796933	0.284707893021356	0.533580259212572	0.0007416075606459	0.0298507462686567	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-arachidonoyl-GPE (20:4n6)	1-arachidonoyl-GPE (20:4n6)	NA	HMDB11517	HMDB:HMDB11517	HIGH_ID	Lipid	Lysophospholipid	-0.392216796835185	0.171124277796722	0.413671702919987	0.436492796377353	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	2-oleoylglycerol (18:1)	2-oleoylglycerol (18:1)	NA	HMDB11537	HMDB:HMDB11537	HIGH_ID	Lipid	Monoacylglycerol	-0.0508032680516553	0.412866199774104	0.642546651827013	0.952544990476146	0.346153846153846	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	2-linoleoylglycerol (18:2)	2-linoleoylglycerol (18:2)	NA	HMDB11538	HMDB:HMDB11538	HIGH_ID	Lipid	Monoacylglycerol	0.210379955789134	0.0228254597479661	0.151080970833411	0.238071830032337	0.403846153846154	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	p-cresol glucuronide	p-cresol glucuronide	NA	HMDB11686	HMDB:HMDB11686	HIGH_ID	Amino Acid	Tyrosine Metabolism	-2.11018071050257	0.0344344511107859	0.18556522063896	3.2207987364011e-28	0.582089552238806	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	gamma-glutamyltyrosine	gamma-glutamyltyrosine	NA	HMDB11741	HMDB:HMDB11741	HIGH_ID	Peptide	Gamma-glutamyl Amino Acid	0.0046352090584179	0.964406526811603	0.982042018862535	0.999500363695634	0.74468085106383	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	N-acetylvaline	N-acetylvaline	NA	HMDB11757	HMDB:HMDB11757	HIGH_ID	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.938477240524056	0.0603145775692577	0.24559026358807	0.0004463669303648	0.617021276595745	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	N-palmitoyl-sphinganine (d18:0/16:0)	N-palmitoyl-sphinganine (d18:0/16:0)	NA	HMDB11760	HMDB:HMDB11760	HIGH_ID	Lipid	Dihydroceramides	0.179400050116658	0.183611475416875	0.428499096168096	0.744261254084783	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	myristoyl dihydrosphingomyelin (d18:0/14:0)	myristoyl dihydrosphingomyelin (d18:0/14:0)	NA	HMDB12085	HMDB:HMDB12085	HIGH_ID	Lipid	Dihydrosphingomyelins	-0.623331525153625	0.0807318708713654	0.284133544079831	0.0550604195273753	0.0192307692307692	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	sphingomyelin (d18:0/18:0, d19:0/17:0)	sphingomyelin (d18:0/18:0, d19:0/17:0)	NA	HMDB12087	HMDB:HMDB12087	HIGH_ID	Lipid	Dihydrosphingomyelins	-1.14269613944258	0.199935623677239	0.447141614790257	0.0229268221541635	0.164179104477612	ccRCC_random_effects_meta	ccRCC3;ccRCC4
