dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	n_tumor	n_normal	missing_rate_tumor_raw	missing_rate_normal_raw	missing_rate_tumor_processed	missing_rate_normal_processed	tumor_mean_processed	normal_mean_processed	tumor_sd_processed	normal_sd_processed	author_log2_fc_tumor_vs_normal	wilcoxon_p	rank_biserial_tumor_vs_normal	hedges_g	hedges_g_variance	hedges_g_se	hedges_g_ci_lower	hedges_g_ci_upper	analysis_design	wilcoxon_fdr	duplicate_metabolite_key_within_dataset	meta_eligible	high_missing_flag
ccRCC3	ccRCC	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)	C00670	HMDB00086	KEGG:C00670	HIGH_ID	Lipid	Glycerolipid Metabolism	67	47	0.0	0.0	0	0	29.2172905975657	28.5531120114004	0.61233119542409	0.648423906439558	0.593272785926679	6.3122965167555805e-09	0.641155922515084	1.05150258619127	0.0410513447069344	0.202611314360611	0.654384410044477	1.44862076233807	Unpaired; author supplied processed values; no new transformation	1.96843983483036e-08	No	Yes	No
ccRCC3	ccRCC	glycerophosphoserine	glycerophosphoserine	NA	NA	NAME:glycerophosphoserine	MODERATE_NAME_ONLY	Lipid	Phospholipid Metabolism	67	47	0.0298507462686567	0.0	0	0	20.0608869602514	20.6078137177003	0.569288979036425	0.378639030395636	-0.482469879666191	6.06621386152683e-08	-0.597967608764687	-1.08680369025218	0.0413824173928063	0.203426688005302	-1.48551999874257	-0.688087381761785	Unpaired; author supplied processed values; no new transformation	1.69806222659275e-07	No	Yes	No
ccRCC3	ccRCC	glycine	glycine	C00037	HMDB00123	KEGG:C00037	HIGH_ID	Amino acid	Glycine, Serine and Threonine Metabolism	67	47	0.0	0.0	0	0	27.0746954448088	27.0120942937319	0.404468770173551	0.239014877865784	0.0931488238231607	0.0621684354178754	0.206097173705938	0.179599825201346	0.0363434429895897	0.190639563022972	-0.194053718323679	0.553253368726371	Unpaired; author supplied processed values; no new transformation	0.0814028684753396	No	Yes	No
ccRCC3	ccRCC	glycochenodeoxycholate	glycochenodeoxycholate	C05466	HMDB00637	KEGG:C05466	HIGH_ID	Lipid	Bile Acid Metabolism	67	47	0.223880597014925	0.531914893617021	0	0	16.9602977920131	15.5431474238908	1.85564421054382	1.32752285183691	1.94330614798573	2.41698645429403e-05	0.456017783423309	0.848379171825963	0.0393587549280799	0.198390410373284	0.459533967494327	1.2372243761576	Unpaired; author supplied processed values; no new transformation	4.7735482472307e-05	No	Yes	Yes
ccRCC3	ccRCC	glycocholate	glycocholate	C01921	HMDB00138	KEGG:C01921	HIGH_ID	Lipid	Bile Acid Metabolism	67	47	0.716417910447761	0.659574468085106	0	0	15.5933181373511	15.7687627580695	1.00793650647441	1.14251457222277	-0.166634195277575	0.481147715393265	-0.0631946649730073	-0.163589375201756	0.0363193438074254	0.190576346400663	-0.537119014147055	0.209940263743543	Unpaired; author supplied processed values; no new transformation	0.534525040069705	No	Yes	Yes
ccRCC3	ccRCC	glycocholenate sulfate	glycocholenate sulfate	NA	NA	NAME:glycocholenate sulfate	MODERATE_NAME_ONLY	Lipid	Bile Acid Metabolism	67	47	0.313432835820896	0.170212765957447	0	0	16.4026143566421	16.8589839829998	1.66617352220265	1.52024142423596	-0.200793189989142	0.141966343268832	-0.161003493172436	-0.281934383179015	0.0365505960562835	0.191182101819923	-0.656651302746065	0.0927825363880341	Unpaired; author supplied processed values; no new transformation	0.177707869831232	No	Yes	Yes
ccRCC3	ccRCC	glycodeoxycholate	glycodeoxycholate	C05464	HMDB00631	KEGG:C05464	HIGH_ID	Lipid	Secondary Bile Acid Metabolism	67	47	0.447761194029851	0.638297872340426	0	0	15.7170803042995	14.8787185583186	1.82017274152474	1.34974353594763	1.35476963637655	0.017350519104044	0.242934264845983	0.506732373215551	0.037328186852977	0.193205038373685	0.128050498003128	0.885414248427973	Unpaired; author supplied processed values; no new transformation	0.0247218819298102	No	Yes	Yes
ccRCC3	ccRCC	glycolithocholate sulfate	glycolithocholate sulfate	C11301	HMDB02639	KEGG:C11301	HIGH_ID	Lipid	Bile Acid Metabolism	67	47	0.462686567164179	0.382978723404255	0	0	15.9590169982182	16.1804547715068	2.11511262677258	2.09065281434769	0.0505270512199863	0.521732831616174	-0.0679580819307717	-0.104484799434518	0.0362498507795043	0.190393935773974	-0.477656913551508	0.268687314682471	Unpaired; author supplied processed values; no new transformation	0.571981104935736	No	Yes	Yes
ccRCC3	ccRCC	glycosyl ceramide (d18:1/20:0, d16:1/22:0)	glycosyl ceramide (d18:1/20:0, d16:1/22:0)	NA	NA	NAME:glycosyl ceramide (d18:1/20:0, d16:1/22:0)	MODERATE_NAME_ONLY	Lipid	Hexosylceramides (HCER)	67	47	0.0447761194029851	0.0	0	0	21.0146393874196	21.0076852290871	0.536867366231105	0.499050218554558	0.0175592847540128	0.786730213897121	0.0301683073991743	0.0132411408638835	0.0362027378606381	0.190270170706388	-0.359688393720637	0.386170675448404	Unpaired; author supplied processed values; no new transformation	0.814214238836759	No	Yes	No
ccRCC3	ccRCC	glycosyl ceramide (d18:2/24:1, d18:1/24:2)	glycosyl ceramide (d18:2/24:1, d18:1/24:2)	NA	NA	NAME:glycosyl ceramide (d18:2/24:1, d18:1/24:2)	MODERATE_NAME_ONLY	Lipid	Hexosylceramides (HCER)	67	47	0.0	0.0425531914893617	0	0	20.8802924232762	19.0717304974936	0.822054688513413	1.02067135629435	1.76496663164887	1.06716516953752e-14	0.853286757700857	1.97648293330636	0.0533356740792342	0.230945175483781	1.52383038935815	2.42913547725457	Unpaired; author supplied processed values; no new transformation	9.983610993962899e-14	No	Yes	No
