cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pathway_id	pathway	direction
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7607319757842598	NA	NA	0.7353965292050755	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05418	Fluid shear stress and atherosclerosis	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7704849498327759	NA	NA	0.7371400413359437	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04390	Hippo signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7704849498327759	NA	NA	0.7371400413359437	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05135	Yersinia infection	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7559474979491386	NA	NA	0.7388948185682087	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa01524	Platinum drug resistance	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.801304347826087	NA	NA	0.7399175918997671	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04151	PI3K-Akt signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7631469979296066	NA	NA	0.7419497416667382	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04217	Necroptosis	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7367088607594937	NA	NA	0.7466708985064113	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa03013	Nucleocytoplasmic transport	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7367088607594937	NA	NA	0.7466708985064113	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05226	Gastric cancer	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7655774023816118	NA	NA	0.7554966988147436	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05171	Coronavirus disease	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7141565486954276	NA	NA	0.7574677945554963	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05152	Tuberculosis	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7328517463052555	NA	NA	0.7614449037359932	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05132	Salmonella infection	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7028985507246377	NA	NA	0.7641226764137768	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04623	Cytosolic DNA-sensing pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.686150409530901	NA	NA	0.7711555349303119	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05017	Spinocerebellar ataxia	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.6790714812085483	NA	NA	0.775810407446124	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04912	GnRH signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.6729552093476144	NA	NA	0.777708717299958	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04910	Insulin signaling pathway	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.6729552093476144	NA	NA	0.777708717299958	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05135	Yersinia infection	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7091188918814929	NA	NA	0.7777826375775502	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05160	Hepatitis C	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.7091188918814929	NA	NA	0.7777826375775502	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05225	Hepatocellular carcinoma	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	0.6665461121157323	NA	NA	0.7809150366962156	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04217	Necroptosis	higher_in_LYPLA1_high
