pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa04068	FoxO signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	95	2	1.255294863665187	0.4763371612807843	CCNB2;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04934	Cushing syndrome	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	95	2	1.255294863665187	0.4763371612807843	E2F1;NCEH1	DONE	NOMINAL_P_ONLY	False
hsa00051	Fructose and mannose metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	26	1	1.5475297060662914	0.48109598589122576	ALDOB	DONE	NOMINAL_P_ONLY	False
hsa00640	Propanoate metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	26	1	1.5475297060662914	0.48109598589122576	ACADS	DONE	NOMINAL_P_ONLY	False
hsa04215	Apoptosis - multiple species	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	26	1	1.5475297060662914	0.48109598589122576	BBC3	DONE	NOMINAL_P_ONLY	False
hsa04062	Chemokine signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	104	3	1.1606472795497185	0.48110969554638394	CCL26;CXCL14;SHC2	DONE	NOMINAL_P_ONLY	False
hsa05170	Human immunodeficiency virus 1 infection	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	144	4	1.1176603432700993	0.4836124302305546	ITPR2;PRKCG;TAPBPL;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04924	Renin secretion	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	39	1	1.5288847698486252	0.4842771276013268	REN	DONE	NOMINAL_P_ONLY	False
hsa04613	Neutrophil extracellular trap formation	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	98	2	1.216867469879518	0.4927651926801962	HIST2H2BE;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa05171	Coronavirus disease	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	157	3	1.139359987721587	0.49366752168258904	MMP1;MYD88;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04024	cAMP signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	106	3	1.1387482742751955	0.4938431095827028	CREB3L1;EDN1;EDN3	DONE	NOMINAL_P_ONLY	False
hsa00565	Ether lipid metabolism	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	27	1	1.4902137910267992	0.4940606809420847	PLPP1	DONE	NOMINAL_P_ONLY	False
hsa05165	Human papillomavirus infection	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	226	6	1.068206345780272	0.49469119797694816	COL1A2;CREB3L1;IKBKE;IRF1;MAML3;THBS1	DONE	NOMINAL_P_ONLY	False
