pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa02010	ABC transporters	all_tested	lower_in_LYPLA1_high	11058	276	22	4	7.284584980237154	0.0019477042962550112	ABCA1;ABCB10;ABCC5;ABCG1	DONE	NOMINAL_P_ONLY	True
hsa04080	Neuroactive ligand-receptor interaction	all_tested	lower_in_LYPLA1_high	11058	276	60	6	4.006521739130434	0.0037050445279627415	EDN1;EDN3;NPW;P2RX4;P2RY1;PRSS2	DONE	NOMINAL_P_ONLY	True
hsa04970	Salivary secretion	all_tested	lower_in_LYPLA1_high	11058	276	42	5	4.769668737060042	0.003733373429820215	BEST2;ITPR2;MUC5AC;PRKCG;PRKG1	DONE	NOMINAL_P_ONLY	True
hsa04974	Protein digestion and absorption	all_tested	lower_in_LYPLA1_high	11058	276	43	5	4.658746208291204	0.004140109210595347	COL16A1;COL1A2;COL27A1;MEP1A;PRSS2	DONE	NOMINAL_P_ONLY	True
hsa04020	Calcium signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	104	8	3.0819397993311037	0.004434440200932821	CAMK1D;ITPKA;ITPKB;ITPR2;P2RX4;PDGFA;PLCD1;PRKCG	DONE	NOMINAL_P_ONLY	True
hsa05206	MicroRNAs in cancer	all_tested	higher_in_LYPLA1_high	11058	158	125	6	3.359392405063291	0.009000569076137168	CDC25B;E2F1;PIM1;PLCG2;PTGS2;SERPINB5	DONE	NOMINAL_P_ONLY	True
hsa04060	Cytokine-cytokine receptor interaction	all_tested	higher_in_LYPLA1_high	11058	158	91	5	3.8454583391292254	0.009703524324664696	IL1RN;IL33;LIF;PPBP;TNFRSF10D	DONE	NOMINAL_P_ONLY	True
hsa04382	Cornified envelope formation	all_tested	higher_in_LYPLA1_high	11058	158	96	5	3.6451740506329116	0.012053605635972837	CDSN;CLDN2;KRT7;KRT80;PPL	DONE	NOMINAL_P_ONLY	True
hsa00270	Cysteine and methionine metabolism	all_tested	higher_in_LYPLA1_high	11058	158	36	3	5.832278481012659	0.014473113167452905	ENOPH1;PHGDH;PSAT1	DONE	NOMINAL_P_ONLY	True
hsa05200	Pathways in cancer	all_tested	higher_in_LYPLA1_high	11058	158	330	10	2.1208285385500574	0.01999554083948519	E2F1;EPAS1;HES5;KITLG;MMP1;PIM1;PLCG2;PTGS2;SKP2;SLC2A1	DONE	NOMINAL_P_ONLY	True
hsa04066	HIF-1 signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	76	4	3.6835443037974684	0.02326084692273496	EPAS1;HK2;PLCG2;SLC2A1	DONE	NOMINAL_P_ONLY	True
hsa04657	IL-17 signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	66	5	3.035243741765481	0.024241651197921085	IKBKE;IL17C;MUC5AC;S100A7;TRAF2	DONE	NOMINAL_P_ONLY	True
hsa04625	C-type lectin receptor signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	68	5	2.9459718670076724	0.027174313964997324	BCL3;EGR2;IKBKE;IRF1;ITPR2	DONE	NOMINAL_P_ONLY	True
hsa05410	Hypertrophic cardiomyopathy	all_tested	lower_in_LYPLA1_high	11058	276	47	4	3.409805735430157	0.02925095295548472	CACNB2;CACNG8;DES;EDN1	DONE	NOMINAL_P_ONLY	True
hsa05143	African trypanosomiasis	all_tested	higher_in_LYPLA1_high	11058	158	19	2	7.367088607594937	0.029586658510749552	APOL1;MYD88	DONE	NOMINAL_P_ONLY	True
hsa00260	Glycine, serine and threonine metabolism	all_tested	higher_in_LYPLA1_high	11058	158	20	2	6.99873417721519	0.032570823017769146	PHGDH;PSAT1	DONE	NOMINAL_P_ONLY	True
hsa04392	Hippo signaling pathway - multiple species	all_tested	higher_in_LYPLA1_high	11058	158	20	2	6.99873417721519	0.032570823017769146	SAV1;WWTR1	DONE	NOMINAL_P_ONLY	True
hsa04270	Vascular smooth muscle contraction	all_tested	lower_in_LYPLA1_high	11058	276	72	5	2.7823067632850242	0.03369388986464421	EDN1;EDN3;ITPR2;PRKCG;PRKG1	DONE	NOMINAL_P_ONLY	True
hsa00670	One carbon pool by folate	all_tested	higher_in_LYPLA1_high	11058	158	21	2	6.665461121157324	0.03566765388581229	DHFR;TYMS	DONE	NOMINAL_P_ONLY	True
hsa01523	Antifolate resistance	all_tested	higher_in_LYPLA1_high	11058	158	21	2	6.665461121157324	0.03566765388581229	DHFR;TYMS	DONE	NOMINAL_P_ONLY	True
hsa04070	Phosphatidylinositol signaling system	all_tested	lower_in_LYPLA1_high	11058	276	75	5	2.6710144927536232	0.039170048226850766	ITPKA;ITPKB;ITPR2;PLCD1;PRKCG	DONE	NOMINAL_P_ONLY	True
hsa04540	Gap junction	all_tested	lower_in_LYPLA1_high	11058	276	52	4	3.0819397993311037	0.040351062919121	ITPR2;PDGFA;PRKCG;PRKG1	DONE	NOMINAL_P_ONLY	True
hsa04925	Aldosterone synthesis and secretion	all_tested	lower_in_LYPLA1_high	11058	276	52	4	3.0819397993311037	0.040351062919121	CAMK1D;CREB3L1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	True
hsa00052	Galactose metabolism	all_tested	higher_in_LYPLA1_high	11058	158	24	2	5.832278481012659	0.04559671428815599	B4GALT2;HK2	DONE	NOMINAL_P_ONLY	True
hsa05214	Glioma	all_tested	lower_in_LYPLA1_high	11058	276	55	4	2.9138339920948617	0.04801183924993579	CAMK1D;PDGFA;PRKCG;SHC2	DONE	NOMINAL_P_ONLY	True
hsa04730	Long-term depression	all_tested	lower_in_LYPLA1_high	11058	276	33	3	3.642292490118577	0.048395085282556136	ITPR2;PRKCG;PRKG1	DONE	NOMINAL_P_ONLY	True
hsa04110	Cell cycle	all_tested	higher_in_LYPLA1_high	11058	158	140	5	2.4995479204339963	0.05024632192653581	CCNB2;CDC25B;E2F1;MAD2L1;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04080	Neuroactive ligand-receptor interaction	all_tested	higher_in_LYPLA1_high	11058	158	60	3	3.499367088607595	0.05423831514300736	GAL;KISS1;NMU	DONE	NOMINAL_P_ONLY	False
hsa04148	Efferocytosis	all_tested	higher_in_LYPLA1_high	11058	158	100	4	2.799493670886076	0.05488229270197765	ADAM9;MFGE8;PTGS2;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa04915	Estrogen signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	83	5	2.4135673127291777	0.05629227287860139	CREB3L1;HSPA1A;ITPR2;SHC2;TFF1	DONE	NOMINAL_P_ONLY	False
hsa04742	Taste transduction	all_tested	lower_in_LYPLA1_high	11058	276	16	2	5.008152173913044	0.05918118763160611	ENTPD2;P2RY1	DONE	NOMINAL_P_ONLY	False
hsa05219	Bladder cancer	all_tested	lower_in_LYPLA1_high	11058	276	37	3	3.2485311398354875	0.064148399371286	DAPK2;DAPK3;THBS1	DONE	NOMINAL_P_ONLY	False
hsa05144	Malaria	all_tested	lower_in_LYPLA1_high	11058	276	17	2	4.713554987212277	0.06599613359454821	HBA2;THBS1	DONE	NOMINAL_P_ONLY	False
hsa04914	Progesterone-mediated oocyte maturation	all_tested	higher_in_LYPLA1_high	11058	158	67	3	3.1337615718873986	0.07073155337134247	CCNB2;CDC25B;MAD2L1	DONE	NOMINAL_P_ONLY	False
hsa04921	Oxytocin signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	89	5	2.2508549096238397	0.07155759446722243	CACNB2;CACNG8;CAMK1D;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04924	Renin secretion	all_tested	lower_in_LYPLA1_high	11058	276	39	3	3.0819397993311037	0.07280307586440181	EDN1;EDN3;ITPR2	DONE	NOMINAL_P_ONLY	False
hsa04115	p53 signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	69	3	3.042927903137039	0.07581357865996534	CCNB2;SERPINB5;ZMAT3	DONE	NOMINAL_P_ONLY	False
hsa00514	Other types of O-glycan biosynthesis	all_tested	higher_in_LYPLA1_high	11058	158	32	2	4.374208860759493	0.07614431664779925	B4GALT2;POFUT2	DONE	NOMINAL_P_ONLY	False
hsa04061	Viral protein interaction with cytokine and cytokine receptor	all_tested	higher_in_LYPLA1_high	11058	158	32	2	4.374208860759493	0.07614431664779925	PPBP;TNFRSF10D	DONE	NOMINAL_P_ONLY	False
hsa04668	TNF signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	91	5	2.201385570950788	0.07710371491436165	BCL3;CREB3L1;EDN1;IRF1;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04621	NOD-like receptor signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	119	6	2.020094994519547	0.07731463299635409	GBP1;GBP2;IKBKE;ITPR2;MAP1LC3A;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	all_tested	lower_in_LYPLA1_high	11058	276	40	3	3.0048913043478263	0.07731577268742774	CACNB2;CACNG8;DES	DONE	NOMINAL_P_ONLY	False
hsa04670	Leukocyte transendothelial migration	all_tested	higher_in_LYPLA1_high	11058	158	70	3	2.999457504520796	0.07841371773724624	ARHGAP5;CLDN2;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa03272	Virion - Hepatitis viruses	all_tested	higher_in_LYPLA1_high	11058	158	33	2	4.241657077100115	0.0803208256647312	CLDN2;DPP4	DONE	NOMINAL_P_ONLY	False
hsa04976	Bile secretion	all_tested	higher_in_LYPLA1_high	11058	158	33	2	4.241657077100115	0.0803208256647312	NCEH1;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa05143	African trypanosomiasis	all_tested	lower_in_LYPLA1_high	11058	276	19	2	4.217391304347826	0.08034831040849069	HBA2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04064	NF-kappa B signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	72	3	2.9161392405063293	0.08372961267150922	MYD88;PLCG2;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa04918	Thyroid hormone synthesis	all_tested	lower_in_LYPLA1_high	11058	276	42	3	2.861801242236025	0.08669767391694756	CREB3L1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05222	Small cell lung cancer	all_tested	higher_in_LYPLA1_high	11058	158	75	3	2.799493670886076	0.09198434101451336	E2F1;PTGS2;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04530	Tight junction	all_tested	higher_in_LYPLA1_high	11058	158	120	4	2.3329113924050633	0.09290997982552371	AMOTL2;CLDN2;MAP3K5;RAB8B	DONE	NOMINAL_P_ONLY	False
hsa05219	Bladder cancer	all_tested	higher_in_LYPLA1_high	11058	158	37	2	3.783099555251454	0.09769480942016769	E2F1;MMP1	DONE	NOMINAL_P_ONLY	False
hsa04612	Antigen processing and presentation	all_tested	lower_in_LYPLA1_high	11058	276	45	3	2.6710144927536232	0.10161684611996223	CD74;HSPA1A;TAPBPL	DONE	NOMINAL_P_ONLY	False
hsa04611	Platelet activation	all_tested	lower_in_LYPLA1_high	11058	276	72	4	2.225845410628019	0.10513938592367393	COL1A2;ITPR2;P2RY1;PRKG1	DONE	NOMINAL_P_ONLY	False
hsa04015	Rap1 signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	130	6	1.8491638795986622	0.10673880874760365	P2RY1;PDGFA;PRKCG;RAP1GAP;SIPA1;THBS1	DONE	NOMINAL_P_ONLY	False
hsa00600	Sphingolipid metabolism	all_tested	higher_in_LYPLA1_high	11058	158	39	2	3.5890944498539437	0.10674479405602046	ACER3;SGMS2	DONE	NOMINAL_P_ONLY	False
hsa05110	Vibrio cholerae infection	all_tested	higher_in_LYPLA1_high	11058	158	39	2	3.5890944498539437	0.10674479405602046	ERO1A;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04960	Aldosterone-regulated sodium reabsorption	all_tested	lower_in_LYPLA1_high	11058	276	23	2	3.4839319470699435	0.11150430050010887	PRKCG;SLC9A3R2	DONE	NOMINAL_P_ONLY	False
hsa04082	Neuroactive ligand signaling	all_tested	lower_in_LYPLA1_high	11058	276	47	3	2.557354301572618	0.1120908261755931	P2RX4;P2RY1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04928	Parathyroid hormone synthesis, secretion and action	all_tested	lower_in_LYPLA1_high	11058	276	74	4	2.1656874265569916	0.11328663925372054	CREB3L1;ITPR2;PRKCG;WNK2	DONE	NOMINAL_P_ONLY	False
hsa04726	Serotonergic synapse	all_tested	lower_in_LYPLA1_high	11058	276	48	3	2.504076086956522	0.11747655897998585	DUSP1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05414	Dilated cardiomyopathy	all_tested	lower_in_LYPLA1_high	11058	276	48	3	2.504076086956522	0.11747655897998585	CACNB2;CACNG8;DES	DONE	NOMINAL_P_ONLY	False
hsa04010	MAPK signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	197	8	1.627013904215405	0.12026739521828647	CACNB2;CACNG8;DUSP1;HSPA1A;MAPK8IP1;PDGFA;PRKCG;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05140	Leishmaniasis	all_tested	higher_in_LYPLA1_high	11058	158	42	2	3.332730560578662	0.12071628645731335	MYD88;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa04510	Focal adhesion	all_tested	lower_in_LYPLA1_high	11058	276	135	6	1.7806763285024154	0.12178538099778993	COL1A2;DOCK1;PDGFA;PRKCG;SHC2;THBS1	DONE	NOMINAL_P_ONLY	False
hsa04972	Pancreatic secretion	all_tested	lower_in_LYPLA1_high	11058	276	49	3	2.452972493345164	0.1229571051826409	ITPR2;PRKCG;PRSS2	DONE	NOMINAL_P_ONLY	False
hsa04370	VEGF signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	43	2	3.2552251987047396	0.12546960790386982	PLCG2;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa05133	Pertussis	all_tested	higher_in_LYPLA1_high	11058	158	43	2	3.2552251987047396	0.12546960790386982	C4BPB;MYD88	DONE	NOMINAL_P_ONLY	False
hsa05034	Alcoholism	all_tested	lower_in_LYPLA1_high	11058	276	106	5	1.8898687448728466	0.12565596192277703	CREB3L1;HIST1H2AM;HIST1H2BK;HIST2H2BF;SHC2	DONE	NOMINAL_P_ONLY	False
hsa04975	Fat digestion and absorption	all_tested	lower_in_LYPLA1_high	11058	276	25	2	3.205217391304348	0.12808035511294616	ABCA1;PLPP1	DONE	NOMINAL_P_ONLY	False
hsa04935	Growth hormone synthesis, secretion and action	all_tested	lower_in_LYPLA1_high	11058	276	79	4	2.0286186020913592	0.13481384705134625	CREB3L1;ITPR2;PRKCG;SHC2	DONE	NOMINAL_P_ONLY	False
hsa04820	Cytoskeleton in muscle cells	all_tested	lower_in_LYPLA1_high	11058	276	110	5	1.8211462450592886	0.14053472327889993	COL1A2;COL27A1;DES;OBSCN;THBS1	DONE	NOMINAL_P_ONLY	False
hsa04668	TNF signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	91	3	2.3072750034775353	0.14108957778338316	LIF;MAP3K5;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa05417	Lipid and atherosclerosis	all_tested	higher_in_LYPLA1_high	11058	158	142	4	1.9714744161169548	0.14567714157610617	ERO1A;MAP3K5;MMP1;MYD88	DONE	NOMINAL_P_ONLY	False
hsa04519	Cadherin signaling	all_tested	higher_in_LYPLA1_high	11058	158	196	5	1.7853913717385688	0.1493499097731166	AMOTL2;KRT7;KRT80;SAV1;WWTR1	DONE	NOMINAL_P_ONLY	False
hsa03320	PPAR signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	48	2	2.9161392405063293	0.14985653570414081	EHHADH;MMP1	DONE	NOMINAL_P_ONLY	False
hsa05230	Central carbon metabolism in cancer	all_tested	higher_in_LYPLA1_high	11058	158	48	2	2.9161392405063293	0.14985653570414081	HK2;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa05170	Human immunodeficiency virus 1 infection	all_tested	higher_in_LYPLA1_high	11058	158	144	4	1.9440928270042195	0.1509650864073964	CCNB2;MYD88;PLCG2;SAMHD1	DONE	NOMINAL_P_ONLY	False
hsa04926	Relaxin signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	83	4	1.930853850183342	0.15313814573738294	COL1A2;CREB3L1;EDN1;SHC2	DONE	NOMINAL_P_ONLY	False
hsa04310	Wnt signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	114	5	1.7572463768115942	0.1561437808724503	APCDD1;LGR6;NKD1;NOTUM;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04979	Cholesterol metabolism	all_tested	lower_in_LYPLA1_high	11058	276	29	2	2.76311844077961	0.16272691574276493	ABCA1;CYP27A1	DONE	NOMINAL_P_ONLY	False
hsa05100	Bacterial invasion of epithelial cells	all_tested	lower_in_LYPLA1_high	11058	276	57	3	2.108695652173913	0.1698186239063983	CLTA;DOCK1;SHC2	DONE	NOMINAL_P_ONLY	False
hsa04961	Endocrine and other factor-regulated calcium reabsorption	all_tested	lower_in_LYPLA1_high	11058	276	30	2	2.6710144927536232	0.17163499835074497	CLTA;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05169	Epstein-Barr virus infection	all_tested	higher_in_LYPLA1_high	11058	158	153	4	1.829734425415736	0.17563071459295249	E2F1;MYD88;PLCG2;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04725	Cholinergic synapse	all_tested	lower_in_LYPLA1_high	11058	276	58	3	2.0723388305847075	0.1760039582370708	CREB3L1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04916	Melanogenesis	all_tested	lower_in_LYPLA1_high	11058	276	58	3	2.0723388305847075	0.1760039582370708	CREB3L1;EDN1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa01521	EGFR tyrosine kinase inhibitor resistance	all_tested	lower_in_LYPLA1_high	11058	276	59	3	2.0372144436256447	0.18225120615781334	PDGFA;PRKCG;SHC2	DONE	NOMINAL_P_ONLY	False
hsa05322	Systemic lupus erythematosus	all_tested	lower_in_LYPLA1_high	11058	276	59	3	2.0372144436256447	0.18225120615781334	HIST1H2AM;HIST1H2BK;HIST2H2BF	DONE	NOMINAL_P_ONLY	False
hsa05214	Glioma	all_tested	higher_in_LYPLA1_high	11058	158	55	2	2.544994246260069	0.1853651000933892	E2F1;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04061	Viral protein interaction with cytokine and cytokine receptor	all_tested	lower_in_LYPLA1_high	11058	276	32	2	2.504076086956522	0.18967640006377884	CCL26;CXCL14	DONE	NOMINAL_P_ONLY	False
hsa04929	GnRH secretion	all_tested	lower_in_LYPLA1_high	11058	276	32	2	2.504076086956522	0.18967640006377884	ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05211	Renal cell carcinoma	all_tested	higher_in_LYPLA1_high	11058	158	56	2	2.4995479204339963	0.1905356374609321	EPAS1;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa04060	Cytokine-cytokine receptor interaction	all_tested	lower_in_LYPLA1_high	11058	276	91	4	1.7611084567606308	0.1923297316115978	CCL26;CXCL14;CXCL17;IL17C	DONE	NOMINAL_P_ONLY	False
hsa00770	Pantothenate and CoA biosynthesis	all_tested	higher_in_LYPLA1_high	11058	158	15	1	4.665822784810127	0.19427125766489184	VNN1	DONE	NOMINAL_P_ONLY	False
hsa04623	Cytosolic DNA-sensing pathway	all_tested	higher_in_LYPLA1_high	11058	158	57	2	2.4556962025316458	0.19572553732070797	IL33;SAMHD1	DONE	NOMINAL_P_ONLY	False
hsa05223	Non-small cell lung cancer	all_tested	higher_in_LYPLA1_high	11058	158	57	2	2.4556962025316458	0.19572553732070797	E2F1;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04927	Cortisol synthesis and secretion	all_tested	lower_in_LYPLA1_high	11058	276	33	2	2.4281949934123848	0.19879132359805146	CREB3L1;ITPR2	DONE	NOMINAL_P_ONLY	False
hsa05203	Viral carcinogenesis	all_tested	lower_in_LYPLA1_high	11058	276	157	6	1.5311548047632235	0.19894727248658922	CREB3L1;EGR2;HIST1H2BK;HIST2H2BF;MAD1L1;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04514	Cell adhesion molecule (CAM) interaction	all_tested	higher_in_LYPLA1_high	11058	158	59	2	2.372452263462776	0.2061570838483095	CD276;CLDN2	DONE	NOMINAL_P_ONLY	False
hsa04146	Peroxisome	all_tested	lower_in_LYPLA1_high	11058	276	63	3	1.9078674948240166	0.20779554088253158	AMACR;PEX16;PXMP4	DONE	NOMINAL_P_ONLY	False
hsa00562	Inositol phosphate metabolism	all_tested	lower_in_LYPLA1_high	11058	276	64	3	1.8780570652173914	0.21430479207392122	ITPKA;ITPKB;PLCD1	DONE	NOMINAL_P_ONLY	False
hsa00140	Steroid hormone biosynthesis	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	STS	DONE	NOMINAL_P_ONLY	False
hsa00541	Biosynthesis of various nucleotide sugars	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	NANP	DONE	NOMINAL_P_ONLY	False
hsa00650	Butanoate metabolism	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	EHHADH	DONE	NOMINAL_P_ONLY	False
hsa00790	Folate biosynthesis	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	DHFR	DONE	NOMINAL_P_ONLY	False
hsa05144	Malaria	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	MYD88	DONE	NOMINAL_P_ONLY	False
hsa05204	Chemical carcinogenesis - DNA adducts	all_tested	higher_in_LYPLA1_high	11058	158	17	1	4.116902457185406	0.2171636059608013	PTGS2	DONE	NOMINAL_P_ONLY	False
hsa04962	Vasopressin-regulated water reabsorption	all_tested	lower_in_LYPLA1_high	11058	276	35	2	2.28944099378882	0.21716667106530643	CREB3L1;DYNC2LI1	DONE	NOMINAL_P_ONLY	False
hsa04814	Motor proteins	all_tested	higher_in_LYPLA1_high	11058	158	114	3	1.8417721518987342	0.2228981962020714	KIF3A;MYO5B;TNNC1	DONE	NOMINAL_P_ONLY	False
hsa05166	Human T-cell leukemia virus 1 infection	all_tested	higher_in_LYPLA1_high	11058	158	171	4	1.6371308016877637	0.2285689665807303	CCNB2;E2F1;MAD2L1;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa04613	Neutrophil extracellular trap formation	all_tested	lower_in_LYPLA1_high	11058	276	98	4	1.6353149955634427	0.2288940345934111	HIST1H2AM;HIST1H2BK;HIST2H2BF;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa00562	Inositol phosphate metabolism	all_tested	higher_in_LYPLA1_high	11058	158	64	2	2.1871044303797467	0.23246804283581793	MTMR2;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04971	Gastric acid secretion	all_tested	lower_in_LYPLA1_high	11058	276	37	2	2.1656874265569916	0.23568322701207717	ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04913	Ovarian steroidogenesis	all_tested	higher_in_LYPLA1_high	11058	158	19	1	3.6835443037974684	0.2394095374469875	PTGS2	DONE	NOMINAL_P_ONLY	False
hsa05231	Choline metabolism in cancer	all_tested	lower_in_LYPLA1_high	11058	276	68	3	1.7675831202046035	0.24074325791461781	PDGFA;PLPP1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04657	IL-17 signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	66	2	2.1208285385500574	0.24305588211703516	MMP1;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa04115	p53 signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	69	3	1.7419659735349717	0.24743856132710992	BBC3;GTSE1;THBS1	DONE	NOMINAL_P_ONLY	False
hsa00410	beta-Alanine metabolism	all_tested	higher_in_LYPLA1_high	11058	158	20	1	3.499367088607595	0.25029578557484133	EHHADH	DONE	NOMINAL_P_ONLY	False
hsa04625	C-type lectin receptor signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	68	2	2.058451228592703	0.2536643959635786	PLCG2;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa04666	Fc gamma R-mediated phagosome formation	all_tested	lower_in_LYPLA1_high	11058	276	70	3	1.7170807453416148	0.2541624278318919	DOCK1;PLPP1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04933	AGE-RAGE signaling pathway in diabetic complications	all_tested	lower_in_LYPLA1_high	11058	276	71	3	1.692896509491733	0.26091208530837995	COL1A2;EDN1;PLCD1	DONE	NOMINAL_P_ONLY	False
hsa00900	Terpenoid backbone biosynthesis	all_tested	higher_in_LYPLA1_high	11058	158	21	1	3.332730560578662	0.26102719215929265	FNTA	DONE	NOMINAL_P_ONLY	False
hsa04630	JAK-STAT signaling pathway	all_tested	higher_in_LYPLA1_high	11058	158	70	2	1.999638336347197	0.2642839537565624	LIF;PIM1	DONE	NOMINAL_P_ONLY	False
hsa04666	Fc gamma R-mediated phagosome formation	all_tested	higher_in_LYPLA1_high	11058	158	70	2	1.999638336347197	0.2642839537565624	ASAP1;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04933	AGE-RAGE signaling pathway in diabetic complications	all_tested	higher_in_LYPLA1_high	11058	158	71	2	1.9714744161169548	0.2695950082311701	PIM1;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04610	Complement and coagulation cascades	all_tested	higher_in_LYPLA1_high	11058	158	22	1	3.1812428078250865	0.2716059457733936	C4BPB	DONE	NOMINAL_P_ONLY	False
hsa04218	Cellular senescence	all_tested	higher_in_LYPLA1_high	11058	158	127	3	1.6532442938303598	0.2726157975315386	CCNB2;E2F1;RAD1	DONE	NOMINAL_P_ONLY	False
hsa00280	Valine, leucine and isoleucine degradation	all_tested	lower_in_LYPLA1_high	11058	276	41	2	1.9544008483563096	0.2729120115530495	ACADS;ACSF3	DONE	NOMINAL_P_ONLY	False
hsa05167	Kaposi sarcoma-associated herpesvirus infection	all_tested	higher_in_LYPLA1_high	11058	158	129	3	1.6276125993523698	0.2803848576028404	E2F1;PLCG2;PTGS2	DONE	NOMINAL_P_ONLY	False
hsa05417	Lipid and atherosclerosis	all_tested	lower_in_LYPLA1_high	11058	276	142	5	1.4107470912431108	0.2812168391109029	ABCA1;ABCG1;HSPA1A;IKBKE;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05131	Shigellosis	all_tested	higher_in_LYPLA1_high	11058	158	188	4	1.4890923781308916	0.28173316722813074	HK2;MYD88;PLCG2;RRAGC	DONE	NOMINAL_P_ONLY	False
hsa00030	Pentose phosphate pathway	all_tested	higher_in_LYPLA1_high	11058	158	23	1	3.042927903137039	0.2820342042518099	RPE	DONE	NOMINAL_P_ONLY	False
hsa00500	Starch and sucrose metabolism	all_tested	higher_in_LYPLA1_high	11058	158	23	1	3.042927903137039	0.2820342042518099	HK2	DONE	NOMINAL_P_ONLY	False
hsa04973	Carbohydrate digestion and absorption	all_tested	higher_in_LYPLA1_high	11058	158	23	1	3.042927903137039	0.2820342042518099	HK2	DONE	NOMINAL_P_ONLY	False
hsa04911	Insulin secretion	all_tested	lower_in_LYPLA1_high	11058	276	42	2	1.9078674948240166	0.28222272843485446	CREB3L1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04070	Phosphatidylinositol signaling system	all_tested	higher_in_LYPLA1_high	11058	158	75	2	1.8663291139240505	0.2908226275292664	MTMR2;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04370	VEGF signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	43	2	1.8634984833164814	0.2915233029235421	PRKCG;SHC2	DONE	NOMINAL_P_ONLY	False
