pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
Vascular smooth muscle contraction	0.0796248934356351	0.0652191815441775	-0.324424138888963	-1.31054767016707	72	EDN3;ITPR2;PRKCG;EDN1;PRKG1;MAPK3;MAP2K2;MYL6;PLA2G12B;PLA2G10;PLCB3;ARHGEF11;PPP1R12C;PLA2G3;CACNA1D;MYL6B	hsa04270	FALSE	DONE	NOMINAL_P_ONLY
RIG-I-like receptor signaling pathway	0.0881259953990444	0.0630517909580997	-0.359193928273923	-1.32292351224099	46	NFKBIA;TRAF2;IKBKE;PIN1;TMEM173;DDX58;IRF3;CASP10;ATG12;ISG15;IRF7;TNF;DDX3X;MAPK14;MAVS;RELA;CASP8;NFKBIB;ATG5;TRADD	hsa04622	FALSE	DONE	NOMINAL_P_ONLY
Intestinal immune network for IgA production	0.0931363381335328	0.0630517909580997	-0.482140742114553	-1.39494961256947	17	CCL28;LTBR;HLA-DQB1;HLA-DPA1;HLA-DRB1;MAP3K14;HLA-DPB1;HLA-DMA;HLA-DRA;PIGR;CD40;TGFB1;HLA-DRB5	hsa04672	FALSE	DONE	NOMINAL_P_ONLY
HIF-1 signaling pathway	0.100625902744343	0.0691171906949246	0.29300844247532	1.25684659754134	76	SLC2A1;LDHB;HK2;EIF4EBP1;LDHA;EPAS1;PLCG2;EGLN1;PGK1;EGFR;CUL2	hsa04066	FALSE	DONE	NOMINAL_P_ONLY
Biosynthesis of various nucleotide sugars	0.105477980665951	0.063523490737973	0.45734613177527	1.37465689527729	17	NANP;UGP2;CYB5R3;CMAS;UAP1;TGDS;UGDH;CYB5R4	hsa00541	FALSE	DONE	NOMINAL_P_ONLY
Hepatocellular carcinoma	0.107062075898467	0.0684357744975362	0.265734237479743	1.21772115794467	113	ACTL6A;ACTB;TXNRD1;SMARCD2;PLCG2;E2F1;SOS1;BCL2L1;BAX;CDK4;TGFA;MET;EGFR;CDK6;DVL3;KRAS;ARID2;POLK;MAP2K1;CDKN2A;FRAT2;SMARCC1;SMAD2;CSNK1A1;CCND1;ELK1;FZD1	hsa05225	FALSE	DONE	NOMINAL_P_ONLY
Integrated stress response (ISR) signaling pathway	0.107621736062103	0.0566281919237633	-0.350089657319009	-1.29462507293191	47	CHCHD10;BBC3;EIF2AK4;DDIT3;ATF3;EIF2B4;DEPTOR;ATF4;MLST8;LONP1;DDIT4;EIF2B3;EIF2B1;CHCHD2;PPP1CB	hsa04156	FALSE	DONE	NOMINAL_P_ONLY
Measles	0.107658716829023	0.0551495524088585	-0.298914049432663	-1.25439807739493	91	JUN;HSPA1B;HSPA1A;NFKBIA;RACK1;BBC3;FOS;STAT1;IKBKE;HSPA6;BAD;AKT2;BAK1;DDX58;IRF3	hsa05162	FALSE	DONE	NOMINAL_P_ONLY
Sphingolipid metabolism	0.108991825613079	0.0642851373333349	0.346297853316484	1.29007220351163	39	SGMS2;SPTLC2;ACER3;HEXB;UGCG;CERS6;SMPD1;CERS5;ASAH1;B4GALT5;HEXA	hsa00600	FALSE	DONE	NOMINAL_P_ONLY
Small cell lung cancer	0.111460348162476	0.0656633389321157	0.291592375061531	1.24755832483077	75	PTGS2;CKS1B;SKP2;ITGB1;E2F1;BCL2L1;BAX;CDK4;ITGAV;CDK6;BIRC2;LAMA4;POLK;IKBKB;ITGA2;CCND1;TRAF6;TRAF4	hsa05222	FALSE	DONE	NOMINAL_P_ONLY
Leukocyte transendothelial migration	0.11204213550395	0.0651459743455219	0.294741471850071	1.24838706104157	70	ARHGAP5;CLDN2;ACTB;ITGB1;PLCG2;CDC42;RAC1;F11R;CLDN9;MYL12B;CLDN1;PTK2B;PTPN11;RHOA;CTNNA1;GNAI1;CLDN18;RASSF5;CD99;OCLN;RAP1B	hsa04670	FALSE	DONE	NOMINAL_P_ONLY
Systemic lupus erythematosus	0.113302196851756	0.0545157133850823	-0.329400762164329	-1.27624089182755	59	H2AFX;HIST1H2AM;HIST1H2BK;HIST2H2BF;HIST2H2AC;HIST1H3B;HIST3H2BB;HIST1H4E;C3;ACTN1;HLA-DQB1;HIST1H3A;H2AFJ;HIST1H2AK;HIST1H3F;HIST1H2AH;HIST4H4;H3F3A;HIST1H4D;HIST1H3E;HIST1H4C;TNF;GRIN2B;HIST1H4B;TRIM21	hsa05322	FALSE	DONE	NOMINAL_P_ONLY
Bile secretion	0.114569237708615	0.0623946459917812	0.36091427691122	1.29254645348819	33	SLC2A1;NCEH1;ATP1B3;EPHX1	hsa04976	FALSE	DONE	NOMINAL_P_ONLY
Amino sugar and nucleotide sugar metabolism	0.116565792423223	0.0616308146670763	0.373620765047842	1.30482030482824	30	HK2;HEXB;PGM2;GNPNAT1;UGP2;HEXA;GNPDA1;GALE;UXS1;PGM1;AMDHD2;UAP1;UGDH	hsa00520	FALSE	DONE	NOMINAL_P_ONLY
Melanoma	0.118780096308186	0.0617563057695609	0.329807504700827	1.26982846536142	45	E2F1;BAX;CDK4;MET;EGFR;CDK6;KRAS;CDH1;POLK;FGF2;MAP2K1;CDKN2A	hsa05218	FALSE	DONE	NOMINAL_P_ONLY
Cardiac muscle contraction	0.119936316999823	0.0535163927028445	-0.350862160567526	-1.28174076382472	44	CACNG8;COX6B1;COX5B;CACNB2;UQCRC1;COX4I1;UQCR11;COX7C;CACNA1D;UQCRQ;ATP1A1;COX7A2L;UQCRH	hsa04260	FALSE	DONE	NOMINAL_P_ONLY
Glioma	0.121745249824068	0.0616934711125078	0.310087986666455	1.24862091530736	55	CALM1;PLCG2;E2F1;SOS1;BAX;CDK4;TGFA;EGFR;CDK6;KRAS;POLK;MAP2K1;CDKN2A	hsa05214	FALSE	DONE	NOMINAL_P_ONLY
Various types of N-glycan biosynthesis	0.126035370494739	0.0590938580196366	0.350573497294095	1.27609007047528	35	B4GALT2;HEXB;MAN2A1;RPN2;ALG2;FUT8;HEXA;B4GALT3;MGAT4A;MAGT1;MGAT4B;MAN1A2;ALG12;ALG1;ALG3;ALG13	hsa00513	FALSE	DONE	NOMINAL_P_ONLY
Peroxisome	0.132931034482759	0.0499319098614031	-0.318746933608797	-1.24955482508257	63	PRDX5;PEX16;AMACR;PXMP4;PHYH;CRAT;ACOX2;ECH1;ACAA1;PMVK;PIPOX;AGPS;CROT;SLC27A2;PEX6	hsa04146	FALSE	DONE	NOMINAL_P_ONLY
Antifolate resistance	0.133189189189189	0.0563335007829073	0.41092225867661	1.31048677161782	21	TYMS;DHFR;GGH;IKBKB;SHMT2;ATIC;GART;NFKB1;IL1B	hsa01523	FALSE	DONE	NOMINAL_P_ONLY
cAMP signaling pathway	0.137622284861549	0.0479693468044241	-0.28074985118304	-1.20652836981912	106	JUN;NFKBIA;EDN3;EDN1;RRAS;FOS;MAPK3;CREB3L1;SSTR1;MAP2K2;BAD;VAV3;AKT2;CACNA1D;POPDC3;PTCH1;ATP1A1;SOX9;BRAF;PLD1;PPP1CB;PDE10A;RAC3;GRIN2B;RAC2;RRAS2;ROCK1;RELA;PDE4A;PIK3R1;TNNI3;PRKACA;ADRB2	hsa04024	FALSE	DONE	NOMINAL_P_ONLY
Natural killer cell mediated cytotoxicity	0.137733887733888	0.0491079929978342	-0.318113059373421	-1.24236290863388	62	TNFSF10;HLA-A;PRKCG;SHC2;HLA-E;MAPK3;HLA-C;MAP2K2;PTPN6;HLA-B;VAV3;PPP3CB	hsa04650	FALSE	DONE	NOMINAL_P_ONLY
Human immunodeficiency virus 1 infection	0.140387722132472	0.0467801592195373	-0.263516932882875	-1.18591447985775	144	JUN;NFKBIA;ITPR2;HLA-A;PRKCG;TAPBPL;HLA-E;FOS;TRAF2;MAPK3;HLA-C;ELOB;AP1G2;MAP2K2;TMEM173;HLA-F;TNFRSF1A;AP1M1;BAD;HLA-B;LIMK2;AP1M2;AKT2;BAK1;PPP3CB;IRF3;MAP2K3;TRAF5;B2M;AP1S3	hsa05170	FALSE	DONE	NOMINAL_P_ONLY
NOD-like receptor signaling pathway	0.140419947506562	0.0471677872332913	-0.273712029562606	-1.19709642632549	119	GBP2;JUN;CYBA;NFKBIA;ITPR2;PYCARD;GBP1;TRAF2;MAPK3;STAT1;IKBKE;BRCC3;TP53BP1;MAP1LC3A;TMEM173	hsa04621	FALSE	DONE	NOMINAL_P_ONLY
Other types of O-glycan biosynthesis	0.140477262494372	0.0559470718389937	0.353997115611051	1.25767070448053	32	GALNT1;B4GALT2;GXYLT1;POFUT2;GALNT7;C1GALT1;FUT11;GALNT12;B4GALT3;GALNT5	hsa00514	FALSE	DONE	NOMINAL_P_ONLY
MAPK signaling pathway	0.141914191419142	0.0458050138104871	-0.247792942675184	-1.16432573057172	197	CACNG8;DUSP1;JUN;HSPA1B;HSPA1A;JUND;NR4A1;PDGFA;PRKCG;GADD45B;RRAS;FOS;TRAF2;RAPGEF2;DUSP8;MAPK3;MAPK8IP1;DDIT3;CACNB2;HSPA6;MAP2K2;TNFRSF1A;FGFR2;EFNA1;AKT2;PPP3CB;RPS6KA1;MAP3K13;FGFR4;GADD45A;VEGFB;INSR;MAP2K3;ATF4	hsa04010	FALSE	DONE	NOMINAL_P_ONLY
Porphyrin metabolism	0.143385753931545	0.049792010581661	-0.416448230436572	-1.29222855944253	22	PPOX;BLVRB;BLVRA;GUSB;HCCS;ALAD;UGT2B17	hsa00860	FALSE	DONE	NOMINAL_P_ONLY
Nicotinate and nicotinamide metabolism	0.153646797482414	0.0479693468044241	-0.40743812496959	-1.27671264488753	23	NT5C;QPRT;SIRT2	hsa00760	FALSE	DONE	NOMINAL_P_ONLY
p53 signaling pathway	0.156085918854415	0.0545603266717044	0.283822941542179	1.1986730835762	69	CCNB2;SERPINB5;ZMAT3;BCL2L1;BAX;CDK4;CDK6;RRM2B;C2orf48;CDKN2A;MDM4;EI24	hsa04115	FALSE	DONE	NOMINAL_P_ONLY
African trypanosomiasis	0.1562634524322	0.0515824416487845	0.411744185443151	1.27804335934294	19	MYD88;APOL1;IL18;LAMA4;GNAQ;IDO1	hsa05143	FALSE	DONE	NOMINAL_P_ONLY
Viral carcinogenesis	0.156275086968156	0.0579561436845735	0.239786506510016	1.15112594359585	157	YWHAG;HIST2H2BE;YWHAH;GTF2E2;SKP2;CDC42;DDB1;BAX;CDK4;VDAC3;YWHAQ;MAPKAPK2;RAC1;CDK6;HDAC7;KRAS;RANBP1;HDAC3;HIST1H4A;GTF2H3;YWHAB;LYN;ATF6B;GTF2A2;CDKN2A;GTF2E1;RHOA;YWHAE;HIST1H2BD;STAT5B;RBL1;POLB;HNRNPK;GTF2A1;CCND1	hsa05203	FALSE	DONE	NOMINAL_P_ONLY
Herpes simplex virus 1 infection	0.15718954248366	0.0442332865829381	-0.267409118387364	-1.17950777365971	126	NFKBIA;CD74;HLA-A;TAPBPL;HLA-E;TRAF2;STAT1;HLA-C;IKBKE;TMEM173;HLA-F;SOCS3;TNFRSF1A;SRSF5;BAD;HLA-B;AKT2;BAK1;SP100;EIF2B4;DDX58;C3;IRF3;HLA-DQB1;TRAF5;B2M;EIF2B3;PILRB;EIF2B1;TAPBP;SRSF7;TAP1;PPP1CB;TSC2;IRF7;BID;RNASEL;TNF;CASP9	hsa05168	FALSE	DONE	NOMINAL_P_ONLY
Thermogenesis	0.159043824701195	0.0433411903189086	-0.25087422214291	-1.15851707993847	173	RPS6;NDUFB10;COX6B1;PRKG1;NDUFB7;COX5B;NDUFS7;NDUFB8;CREB3L1;NDUFV1;NDUFA2;UQCRC1;SMARCA2;NDUFA3;COX4I1;ATP5F1D;PPARG;RPS6KA1;NDUFB11;NDUFA4L2;UQCR11;SMARCE1;ATP5ME;NDUFB1;ARID1B;NDUFS6;MAP2K3;MLST8;SMARCA4;NDUFA11;NDUFC1;COX7C;NDUFA10;UQCRQ;COX7A2L;UQCRH;SMARCC2	hsa04714	FALSE	DONE	NOMINAL_P_ONLY
Mitophagy - animal	0.160296346186227	0.0444897082298492	-0.287490425504022	-1.19752519021092	87	JUN;UBB;TOMM7;UBC;RRAS;UBA52;TRAF2;MAP1LC3A;TBC1D17;SQSTM1;RPS27A;TFEB;FKBP8;OPTN;RHOT2;ATF4	hsa04137	FALSE	DONE	NOMINAL_P_ONLY
Th1 and Th2 cell differentiation	0.161762145220268	0.04509456744793	-0.324658184713739	-1.2270856996872	52	JUN;NFKBIA;MAML3;FOS;MAPK3;STAT1;PPP3CB;STAT6;HLA-DQB1	hsa04658	FALSE	DONE	NOMINAL_P_ONLY
Pathways of neurodegeneration - multiple diseases	0.161996103701484	0.0414508753284105	-0.226435692216359	-1.12598441712274	323	UBB;ITPR2;SLC25A6;PRKCG;TUBB4B;UBC;PSMC3;TUBA1C;NDUFB10;COX6B1;GPX2;UBA52;NDUFB7;COX5B;TRAF2;NDUFS7;MAPK3;NDUFB8;DDIT3;NDUFV1;KLC1;MAP1LC3A;MAP2K2;NDUFA2;UQCRC1;NDUFA3;COX4I1;ATXN3;TNFRSF1A;ATP5F1D;SQSTM1;RPS27A;BAD;KLC4;WNT11;TUBA1A;BAK1;PPP3CB;TUBA4A;PLCB3;SPG11;XBP1;NDUFB11;NDUFA4L2;UQCR11;WNT4;OPTN;RAB1A;DVL1;NDUFB1;NDUFS6;MAP2K3;ATF4;FZD3;UBE2L3;NDUFA11;NDUFC1;COX7C;CACNA1D;LRP5;NDUFA10	hsa05022	FALSE	DONE	NOMINAL_P_ONLY
Non-small cell lung cancer	0.162308598351001	0.0530558347956872	0.296738468849524	1.20285649390803	57	PLCG2;E2F1;SOS1;BAX;CDK4;TGFA;MET;EGFR;CDK6;KRAS;POLK;MAP2K1;CDKN2A;STAT5B;CCND1;STK4;KIF5B;EML4;RASSF5	hsa05223	FALSE	DONE	NOMINAL_P_ONLY
Th17 cell differentiation	0.167931034482759	0.0439306272279452	-0.307619079601662	-1.20593130372034	63	JUN;NFKBIA;FOS;MAPK3;STAT1;RARA;PPP3CB;STAT6;HLA-DQB1;IL23A	hsa04659	FALSE	DONE	NOMINAL_P_ONLY
Drug metabolism - cytochrome P450	0.173823749066468	0.0450411129911139	-0.422498297980904	-1.2554504350697	19	MGST3;MGST2;ALDH3A1;GSTK1;MAOA;UGT2B17;ADH6;GSTA4;CYP2D6;ADH5;CYP2B6;GSTO1;ALDH3B1	hsa00982	FALSE	DONE	NOMINAL_P_ONLY
Valine, leucine and isoleucine degradation	0.17565155301678	0.0436825028426649	-0.338770437276409	-1.2190603605416	41	ALDH2;ACADS;ALDH1B1;ACSF3;ACADM;ACAA1;BCAT2;ACAD8;HMGCS2;DLD;IVD	hsa00280	FALSE	DONE	NOMINAL_P_ONLY
Ras signaling pathway	0.176577512334459	0.0534318440975073	0.243781136785398	1.14410672578737	133	KITLG;GNB1;CALM1;PLCG2;CDC42;SOS1;BCL2L1;GNG4;TGFA;MET;EGFR;RAC1;KRAS;RIN1;SYNGAP1;KIT;FGF2;MAP2K1;IKBKB;BRAP;PTPN11;RHOA;RALA;STK4;PAK2;GNG5;SHOC2;ELK1;RASA2;EPHA2;RALGDS;PGF	hsa04014	FALSE	DONE	NOMINAL_P_ONLY
Homologous recombination	0.179423683025664	0.0490409715974691	0.341035377362653	1.21162061606098	32	RAD51B;BARD1;SSBP1;RAD50;BRIP1;RPA3;RAD51C;RAD54B;BLM;BABAM2;RAD54L;TOP3B	hsa03440	FALSE	DONE	NOMINAL_P_ONLY
Long-term depression	0.186422413793103	0.0424029731264084	-0.354290794493875	-1.21578697386322	33	ITPR2;PRKCG;PRKG1;MAPK3;MAP2K2;PLCB3;BRAF;PPP2CA;GUCY1A2	hsa04730	FALSE	DONE	NOMINAL_P_ONLY
EGFR tyrosine kinase inhibitor resistance	0.1878701729448	0.0491752606397225	0.289456507701189	1.18067630742353	59	EIF4EBP1;PLCG2;SOS1;BCL2L1;BAX;TGFA;MET;EGFR;KRAS;FGF2;MAP2K1;JAK2	hsa01521	FALSE	DONE	NOMINAL_P_ONLY
Chemokine signaling pathway	0.189025924993708	0.0506476343598228	0.253713784591368	1.14716219326124	104	PPBP;GNB1;PLCG2;CDC42;SOS1;GNG4;RAC1;KRAS;LYN;PTK2B;MAP2K1;IKBKB;JAK2;GNAQ;RHOA;CXCL16;GRK2;CXCL11;STAT5B;CX3CL1;PF4;CXCL10;GNAI1;GNG5	hsa04062	FALSE	DONE	NOMINAL_P_ONLY
Spliceosome	0.1900804985718	0.0513538397141682	0.241482536957781	1.13331900218682	133	PPIL1;SRSF2;SNRPD1;ALYREF;SRSF10;LSM5;SF3B1;PPIE;SNRPE;SNRPA1;HNRNPC;HNRNPA3;LSM2;SF3B6;SF3B3;PLRG1;THOC2;WBP11;LSM3;HNRNPM;HNRNPK;PRPF40A;SF3A1;BUD13;SRSF1;SNRPC;DDX42;TXNL4A;USP39;EFTUD2;SF3A3;ACIN1;SNRPG;THOC1;SRSF3;MAGOHB;DDX5;NCBP1;SNU13;TCERG1	hsa03040	FALSE	DONE	NOMINAL_P_ONLY
Yersinia infection	0.19154291467405	0.0502863396522084	0.253145088184047	1.14459084295414	104	MYD88;IRAK1;ACTB;ACTR3;ITGB1;CDC42;PIP5K1B;ARHGEF12;ARPC2;RAC1;WIPF2;IL18;ELMO2;PTK2B;MAP2K1;IKBKB;GNAQ;RHOA;MAP2K7;NFATC3;ACTR2;TRAF6;RPS6KA2;MAP2K4;WASF2;SKAP2;NFKB1;WIPF3;IL1B;CASP1;MAPK1;ARPC3;TAB2;RPS6KA3;ARPC5L	hsa05135	FALSE	DONE	NOMINAL_P_ONLY
Cytoskeleton in muscle cells	0.191660386837478	0.0502149116750946	0.250415593676312	1.1439953834831	110	TPM3;CAPZA1;PKP2;ACTB;ITGB1;TNNC1;ITGAV;ATP1B3;FHL2;FMNL2;COL6A1;LMNB1;ITGB4;DAG1;DSG2;LBR;CAPZA2;VCAN	hsa04820	FALSE	DONE	NOMINAL_P_ONLY
Salmonella infection	0.196051549218536	0.0520088039998597	0.224863918101713	1.11114282045244	191	MYD88;FBXO22;SNX9;IRAK1;ACTB;ACTR3;CDC42;KPNA1;ACTR10;NCKAP1;BAX;ARPC2;RAC1;ANXA2;BIRC2;IL18;S100A10;MYL12B;ELMO2;RAB9A;VPS16;AHNAK2;MAP2K1;IKBKB;KPNA3;RAB7A;DCTN6;ARL8B;RHOA;RALA;CASP5;CD14;MAP2K7;DCTN4;DCTN3;EXOC5;VPS11;DYNLT3;ACTR2;TRAF6;FYCO1;PIK3C3	hsa05132	FALSE	DONE	NOMINAL_P_ONLY
GnRH secretion	0.196223021582734	0.0412372486904686	-0.353563821857463	-1.20625734057444	32	ITPR2;PRKCG;KCNN4;MAPK3;MAP2K2;AKT2;PLCB3;CACNA1D;ARRB1	hsa04929	FALSE	DONE	NOMINAL_P_ONLY
B cell receptor signaling pathway	0.200902934537246	0.0398947010447969	-0.316282652031943	-1.18723776302176	50	JUN;NFKBIA;FOS;MAPK3;MAP2K2;DAPP1;PTPN6;VAV3;AKT2;PPP3CB	hsa04662	FALSE	DONE	NOMINAL_P_ONLY
Alzheimer disease	0.20211461844928	0.0370197510244561	-0.226943382644509	-1.10946323657701	275	ITPR2;SLC25A6;TUBB4B;PSMC3;TUBA1C;NDUFB10;COX6B1;NDUFB7;COX5B;TRAF2;NDUFS7;MAPK3;NDUFB8;DDIT3;NDUFV1;KLC1;MAP2K2;PSENEN;NDUFA2;UQCRC1;NDUFA3;COX4I1;TNFRSF1A;ATP5F1D;BAD;KLC4;WNT11;LRP1;AKT2;TUBA1A;PPP3CB;TUBA4A;PLCB3;SLC39A5;XBP1;NDUFB11;NDUFA4L2;UQCR11;WNT4;GAPDH;RTN3;DVL1;NDUFB1;INSR;NDUFS6;ATF4;FZD3;NDUFA11;SLC39A7;NDUFC1;COX7C;CACNA1D;BACE1;LRP5;NDUFA10;UQCRQ;CHRM3;ATG2B;ADAM10;COX7A2L	hsa05010	FALSE	DONE	NOMINAL_P_ONLY
Amphetamine addiction	0.203477026787298	0.0400909544457783	-0.327840478210783	-1.1921154389023	43	JUN;FOSB;PRKCG;FOS;CREB3L1;PPP3CB;ARC;ATF4;CACNA1D;SLC18A1	hsa05031	FALSE	DONE	NOMINAL_P_ONLY
Viral myocarditis	0.204894605216149	0.0400909544457783	-0.334886329502224	-1.19194241443481	39	HLA-A;HLA-E;HLA-C;HLA-F;HLA-B;SGCB;HLA-DQB1;LAMA1;ABL1;RAC3;BID;CASP9;RAC2;HLA-DPA1;CASP8;FYN	hsa05416	FALSE	DONE	NOMINAL_P_ONLY
Ovarian steroidogenesis	0.210503659061558	0.0438309371634251	0.390016431872049	1.2106009712128	19	PTGS2;ALOX5;CYP2J2	hsa04913	FALSE	DONE	NOMINAL_P_ONLY
Terpenoid backbone biosynthesis	0.211891891891892	0.0437813130319179	0.376733503003929	1.20145419647474	21	ZMPSTE24;FNTA;ACAT1;PCYOX1L;NUS1;IDI1;PCYOX1;FNTB;HMGCR;ICMT	hsa00900	FALSE	DONE	NOMINAL_P_ONLY
Relaxin signaling pathway	0.212686567164179	0.038109308003654	-0.278925945544374	-1.15182754019148	83	JUN;NFKBIA;SHC2;EDN1;FOS;COL1A2;MAPK3;CREB3L1;MAP2K2;MMP9;AKT2;PLCB3;VEGFB;ATF4	hsa04926	FALSE	DONE	NOMINAL_P_ONLY
Viral protein interaction with cytokine and cytokine receptor	0.224280575539568	0.0382314525118419	-0.3450527803137	-1.17722013228723	32	TNFSF10;CXCL14;CCL26;CCL20;TNFRSF1A;CCL28;LTBR	hsa04061	FALSE	DONE	NOMINAL_P_ONLY
Metabolism of xenobiotics by cytochrome P450	0.224801916344205	0.0387119238036831	-0.375247209228039	-1.19127061414279	24	MGST3;MGST2;AKR7A3;CYP2S1;ALDH3A1;AKR1C1;GSTK1;UGT2B17;ADH6;GSTA4;CYP2D6;ADH5;CYP2B6;CBR3;GSTO1;ALDH3B1	hsa00980	FALSE	DONE	NOMINAL_P_ONLY
Fluid shear stress and atherosclerosis	0.226930162451851	0.0364486780332804	-0.270244408842846	-1.13807011386439	92	DUSP1;JUN;CYBA;MGST3;PDGFA;EDN1;FOS;MGST2;MMP9;SDC4;TNFRSF1A;SQSTM1;AKT2	hsa05418	FALSE	DONE	NOMINAL_P_ONLY
Legionellosis	0.228561304039688	0.0374961780735526	-0.323524781709122	-1.17090365437259	42	HSPA1B;HSPA1A;NFKBIA;PYCARD;HSPA6;C3;RAB1A;EEF1A1	hsa05134	FALSE	DONE	NOMINAL_P_ONLY
Aldosterone synthesis and secretion	0.233501654187707	0.0366681675485412	-0.306611931043397	-1.15887765549041	52	ITPR2;NR4A1;PRKCG;CAMK1D;CREB3L1;PLCB3;PRKD2;ATF4;CACNA1D;ATP1A1	hsa04925	FALSE	DONE	NOMINAL_P_ONLY
Glyoxylate and dicarboxylate metabolism	0.234357645316549	0.0379021677023624	-0.378967075955601	-1.18749824382458	23	HYI;AFMID;ACSS2;DLD;ACSS1;GLUL;PGP;GLYCTK;ACO2	hsa00630	FALSE	DONE	NOMINAL_P_ONLY
Fc epsilon RI signaling pathway	0.237755805932398	0.0424944299209872	0.298205717882656	1.14115718601715	44	ALOX5AP;PLCG2;SOS1;ALOX5;RAC1;KRAS;LYN;MAP2K1;MAP2K7	hsa04664	FALSE	DONE	NOMINAL_P_ONLY
Virion - Hepatitis viruses	0.238159675236807	0.0419976236434102	0.322135463499865	1.15366744273169	33	DPP4;CLDN2;EGFR;CLDN9;CLDN1;LAMP1;VPS4B;CLDN18;OCLN	hsa03272	FALSE	DONE	NOMINAL_P_ONLY
Spinocerebellar ataxia	0.238321259055708	0.0444381127313095	0.24674114775236	1.11234941362258	102	PSMD14;PSMC6;PSMB2;MAP3K5;PSMD11;VDAC3;VDAC1;OPA1;PSMA3;PSMA4;GNAQ;PSMD6;PUM1;PSMC5;VDAC2;PSMB1;PSMD2;PIK3C3;MCU;SLC25A4;TWNK;PSMD3;GTF2B;PSMD1;PSMA7;PSMD12;ATP2A2;SLC25A5;ADRM1;GRIN2D;PSMD9;BECN1;PSMB4;PIK3R3;PIK3CB;RB1CC1;GRIN1;TBPL1;ITPR3;WIPI2;PSMC4;ATXN2	hsa05017	FALSE	DONE	NOMINAL_P_ONLY
Hippo signaling pathway - multiple species	0.241498062849763	0.0405925238683272	0.372161938852809	1.17078836272124	20	SAV1;RASSF6;WWTR1;LATS2;CSNK1E;TEAD1;STK3;TEAD3;PAK1;LIMD1;TEAD2;TEAD4	hsa04392	FALSE	DONE	NOMINAL_P_ONLY
Phagocytosis	0.249640402748921	0.033538078140941	-0.24227286961333	-1.10155857937713	153	CYBA;ANPEP;HLA-A;TUBB4B;TUBA1C;HLA-E;DYNC2LI1;THBS1;ATP6V1F;RILP;HLA-C;MAP1LC3A;STX4;HLA-F;MMP9;CD63;HLA-B;M6PR;TUBA1A;ATP6V1E2;TCIRG1;TUBA4A;C3;ATP6AP1;HLA-DQB1;ALPG	hsa04145	FALSE	DONE	NOMINAL_P_ONLY
Thyroid hormone synthesis	0.251417434443657	0.0354848730992511	-0.317198430034476	-1.14800726833515	42	ITPR2;PRKCG;GPX2;CREB3L1;ASGR1;PLCB3;ATF4;ATP1A1;IYD	hsa04918	FALSE	DONE	NOMINAL_P_ONLY
Calcium signaling pathway	0.256427268203682	0.0337431773241498	-0.260109003207106	-1.11515146534054	104	ITPR2;PLCD1;SLC25A6;PDGFA;PRKCG;ITPKB;CAMK1D;ITPKA;P2RX4;FGFR2;TFEB;PPP3CB;PLCB3;TPCN1;FGFR4;VEGFB;TNNC2;CACNA1D;SMIM6;ERBB2;CHRM3	hsa04020	FALSE	DONE	NOMINAL_P_ONLY
Taste transduction	0.257632166790767	0.0360041146230746	-0.411204008225767	-1.17349247095964	16	ENTPD2;P2RY1;PLCB3;CHRM3;KCNK5;SCNN1A	hsa04742	FALSE	DONE	NOMINAL_P_ONLY
Pyruvate metabolism	0.260744985673352	0.0349553456182706	-0.32225400610954	-1.13944289660946	38	ALDH2;HAGH;ALDH1B1;PCK1;ACSS2;FAHD2A;PC;AKR1A1;DLD;ACYP2;ACSS1;ACACB	hsa00620	FALSE	DONE	NOMINAL_P_ONLY
Oxytocin signaling pathway	0.267631711833025	0.0331861768896912	-0.265352428348985	-1.10962525456143	89	CACNG8;JUN;ITPR2;PRKCG;FOS;CAMK1D;MAPK3;CACNB2;MAP2K2;MYL6;PPP3CB;PLCB3;EEF2;PPP1R12C;CACNA1D;CDKN1A;MYL6B	hsa04921	FALSE	DONE	NOMINAL_P_ONLY
Hepatitis C	0.27092234229706	0.0415155189937178	0.236875492749571	1.08547661022307	113	YWHAG;YWHAH;PSME3;CLDN2;E2F1;SOS1;BAX;CDK4;YWHAQ;EGFR;CDK6;KRAS;YWHAB;CLDN9;CLDN1;MAP2K1;IKBKB;YWHAE;IFNAR1	hsa05160	FALSE	DONE	NOMINAL_P_ONLY
Neuroactive ligand-receptor interaction	0.271388985105646	0.0334745904199672	-0.288655839156112	-1.12112954025226	60	PRSS2;EDN3;EDN1;NPW;P2RY1;P2RX4;SSTR1;VIPR1;C3	hsa04080	FALSE	DONE	NOMINAL_P_ONLY
Prolactin signaling pathway	0.274464696513891	0.0336787638082654	-0.305015621636718	-1.12338295751006	46	IRF1;SHC2;FOS;MAPK3;STAT1;MAP2K2;SOCS3;AKT2	hsa04917	FALSE	DONE	NOMINAL_P_ONLY
Fanconi anemia pathway	0.277045454545455	0.0387300107593134	0.294662388019522	1.11217101908983	41	MLH1;POLK;RMI1;FANCM;POLH;BRIP1;RMI2;RPA3;RAD51C;REV1;BLM;TOP3B;FANCE;SLX4	hsa03460	FALSE	DONE	NOMINAL_P_ONLY
