pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
ABC transporters	0.00325282992739624	0.431707695803346	-0.588920638448415	-1.82740617591381	22	ABCA1;ABCB10;ABCC5;ABCG1;ABCA5;ABCB7;ABCC1;ABCA12;TAP1;ABCC6;DEFB1	hsa02010	TRUE	DONE	NOMINAL_P_ONLY
Osteoclast differentiation	0.00339904826648538	0.326351610990907	-0.397463235616015	-1.63473710748352	81	JUN;CYBA;NFKBIA;ITPR2;JUNB;JUND;FOSB;FOS;TRAF2;MAPK3;STAT1;SOCS3;TNFRSF1A;SQSTM1;PPARG;AKT2;PPP3CB	hsa04380	TRUE	DONE	NOMINAL_P_ONLY
IL-17 signaling pathway	0.00361570247933884	0.318279675040437	-0.416084783735893	-1.6470118124973	66	S100A7;JUN;MUC5AC;NFKBIA;JUND;FOSB;FOS;TRAF2;CCL20;MAPK3;IL17C;IKBKE;CEBPB;MMP9	hsa04657	TRUE	DONE	NOMINAL_P_ONLY
Autoimmune thyroid disease	0.00392743594538994	0.318279675040437	-0.626779861823192	-1.81342551882677	17	HLA-A;HLA-E;HLA-C;HLA-F;HLA-B;HLA-DQB1	hsa05320	TRUE	DONE	NOMINAL_P_ONLY
Pathways in cancer	0.00401784816482028	0.407017918923954	0.259593274731394	1.37428410758508	330	SLC2A1;PTGS2;KITLG;PIM1;TPM3;MMP1;EPAS1;GNB1;CALM1;CKS1B;SKP2;ITGB1;TXNRD1;PLCG2;CDC42;E2F1;SOS1;BCL2L1;EGLN1;BAX;CDK4;BIRC5;HES5;ITGAV;BMP4;ARHGEF12;GNG4;TGFA;MET;EGFR;RAC1;CDK6;CCDC6;CUL2;DVL3;JAG2;KRAS;NOTCH2;BIRC2;MLH1;LAMA4;CDH1;POLK;KIT;FGF2;MAP2K1;CDKN2A;FRAT2;IKBKB;JAK2;GNAQ;TFG;PPARD;RHOA;RALA;IFNAR1;NCOA3;ITGA2;STAT5B;SMAD2;CCND1;STK4;CTNNA1;PML;TRAF6;TRAF4;GNAI1;GNG5;ELK1;FZD1	hsa05200	TRUE	DONE	NOMINAL_P_ONLY
Protein digestion and absorption	0.00408018449529892	0.303779434551183	-0.464674930204742	-1.68968201056541	43	PRSS2;MEP1A;KCNN4;COL16A1;COL27A1;COL1A2;XPNPEP2;COL9A3	hsa04974	TRUE	DONE	NOMINAL_P_ONLY
Oxidative phosphorylation	0.00418830624895292	0.291090917251384	-0.368949190946686	-1.5734275364913	101	NDUFB10;COX6B1;NDUFB7;COX5B;NDUFS7;ATP6V1F;NDUFB8;NDUFV1;NDUFA2;LHPP;UQCRC1;NDUFA3;COX4I1;ATP5F1D;ATP6V1E2;TCIRG1;NDUFB11;NDUFA4L2;UQCR11;ATP6AP1;ATP5ME;NDUFB1;NDUFS6;NDUFA11;NDUFC1;COX7C;NDUFA10;UQCRQ;COX7A2L;UQCRH;NDUFA1;ATP6V1C1;UQCRB;ATP5F1E	hsa00190	TRUE	DONE	NOMINAL_P_ONLY
Non-alcoholic fatty liver disease	0.00440313111545988	0.279865652661932	-0.346083476339944	-1.525444120845	125	JUN;NDUFB10;COX6B1;FOS;NDUFB7;COX5B;TRAF2;NDUFS7;NDUFB8;DDIT3;NDUFV1;NDUFA2;UQCRC1;SOCS3;NDUFA3;COX4I1;TNFRSF1A;PPARG;AKT2;XBP1;NDUFB11;NDUFA4L2;UQCR11;NDUFB1;INSR;NDUFS6;ATF4;NDUFA11;NDUFC1;COX7C;NDUFA10;UQCRQ;COX7A2L;UQCRH;NDUFA1;MLXIPL;UQCRB;BID;TNF;NDUFB3;PRKAG2;MAPK14;NDUFS8;NDUFA8;RELA;CASP8;PIK3R1;UQCRHL;ERN1;MAP3K11;COX7A2	hsa04932	TRUE	DONE	NOMINAL_P_ONLY
Cornified envelope formation	0.00571428571428571	0.303779434551183	0.349830335376522	1.56021813901391	96	CDSN;PKP2;SPTLC2;PPL;CLDN2;KRT7;KRT80;TJP1;KRT6A;KRT15;UGCG;S100A10;S100A2;CLDN9;DST;CLDN1;ITGB4;DSG2;PPP2R5E;PPP2R3C;SPRR3;SLC27A1;SPRR2A;KRT16;CLDN18;S100A13;PPP2R2A;OCLN;KRT23;COL7A1;S100A11;ITGA6	hsa04382	TRUE	DONE	NOMINAL_P_ONLY
Allograft rejection	0.00598466429773705	0.256635016972443	-0.608660191304127	-1.76100093578988	17	HLA-A;HLA-E;HLA-C;HLA-F;HLA-B;HLA-DQB1	hsa05330	TRUE	DONE	NOMINAL_P_ONLY
