gene	kegg_gene	candidate_ids	status	in_any_pathway
RPS6KA6	hsa:27330	hsa:27330	PRIMARY_SYMBOL	True
PAFAH1B1	hsa:5048	hsa:5048	PRIMARY_SYMBOL	True
TRAM2-AS1			UNMAPPED	False
QTRT2	hsa:79691	hsa:79691	PRIMARY_SYMBOL	False
PARD6G-AS1			UNMAPPED	False
OSGEPL1	hsa:64172	hsa:64172	PRIMARY_SYMBOL	False
FOXD2-AS1			UNMAPPED	False
TPGS2	hsa:25941	hsa:25941	PRIMARY_SYMBOL	False
RBM33	hsa:155435	hsa:155435	PRIMARY_SYMBOL	False
AC099518.5			UNMAPPED	False
ZNF706	hsa:51123	hsa:51123	PRIMARY_SYMBOL	False
FUBP1	hsa:8880	hsa:8880	PRIMARY_SYMBOL	False
COX5A	hsa:9377	hsa:9377	PRIMARY_SYMBOL	True
AL162258.2			UNMAPPED	False
AP001157.1			UNMAPPED	False
CACNA2D2	hsa:9254	hsa:9254	PRIMARY_SYMBOL	True
FNDC3B	hsa:64778	hsa:64778	PRIMARY_SYMBOL	False
PELP1	hsa:27043	hsa:27043	PRIMARY_SYMBOL	False
HNRNPL	hsa:3191	hsa:3191	PRIMARY_SYMBOL	False
DUSP28	hsa:285193	hsa:285193	PRIMARY_SYMBOL	False
SPATA5L1	hsa:79029	hsa:79029	UNIQUE_ALIAS	False
BLZF1	hsa:8548	hsa:8548	PRIMARY_SYMBOL	False
HMGN3	hsa:9324	hsa:9324	PRIMARY_SYMBOL	False
DDX3Y	hsa:8653	hsa:8653	PRIMARY_SYMBOL	False
MUT	hsa:4594	hsa:4594	UNIQUE_ALIAS	True
DEF6	hsa:50619	hsa:50619	PRIMARY_SYMBOL	False
LSM4	hsa:25804	hsa:25804	PRIMARY_SYMBOL	True
OAT	hsa:4942	hsa:4942	PRIMARY_SYMBOL	True
ABHD2	hsa:11057	hsa:11057	PRIMARY_SYMBOL	False
FBXO46	hsa:23403	hsa:23403	PRIMARY_SYMBOL	False
HIBADH	hsa:11112	hsa:11112	PRIMARY_SYMBOL	True
BIN3	hsa:55909	hsa:55909	PRIMARY_SYMBOL	False
TMEM201	hsa:199953	hsa:199953	PRIMARY_SYMBOL	False
EZH1	hsa:2145	hsa:2145	PRIMARY_SYMBOL	True
USP47	hsa:55031	hsa:55031	PRIMARY_SYMBOL	False
TIGD2	hsa:166815	hsa:166815	PRIMARY_SYMBOL	False
USP21	hsa:27005	hsa:27005	PRIMARY_SYMBOL	True
CTNS	hsa:1497	hsa:1497	PRIMARY_SYMBOL	True
AC009088.1			UNMAPPED	False
NUP160	hsa:23279	hsa:23279	PRIMARY_SYMBOL	True
PRCP	hsa:5547	hsa:5547	PRIMARY_SYMBOL	True
MRM1	hsa:79922	hsa:79922	PRIMARY_SYMBOL	False
MIEN1	hsa:84299	hsa:84299	PRIMARY_SYMBOL	False
AC010997.5			UNMAPPED	False
S100A16	hsa:140576	hsa:140576	PRIMARY_SYMBOL	True
TRIM29	hsa:23650	hsa:23650	PRIMARY_SYMBOL	False
ANGEL2	hsa:90806	hsa:90806	PRIMARY_SYMBOL	False
DTX4	hsa:23220	hsa:23220	PRIMARY_SYMBOL	True
AC073332.1			UNMAPPED	False
EIF2B5	hsa:8893	hsa:8893	PRIMARY_SYMBOL	True
CAND1	hsa:55832	hsa:55832	PRIMARY_SYMBOL	False
DMAC1	hsa:90871	hsa:90871	PRIMARY_SYMBOL	False
PRDM4	hsa:11108	hsa:11108	PRIMARY_SYMBOL	True
KIAA0556	hsa:23247	hsa:23247	UNIQUE_ALIAS	False
GCAT	hsa:23464	hsa:23464	PRIMARY_SYMBOL	True
C1D	hsa:10438	hsa:10438	PRIMARY_SYMBOL	True
CNNM3	hsa:26505	hsa:26505	PRIMARY_SYMBOL	False
IFIT5	hsa:24138	hsa:24138	PRIMARY_SYMBOL	False
NINJ1	hsa:4814	hsa:4814	PRIMARY_SYMBOL	False
SVIL	hsa:6840	hsa:6840	PRIMARY_SYMBOL	False
SMC5	hsa:23137	hsa:23137	PRIMARY_SYMBOL	False
CFDP1	hsa:10428	hsa:10428	PRIMARY_SYMBOL	False
HYAL2	hsa:8692	hsa:8692	PRIMARY_SYMBOL	True
FUZ	hsa:80199	hsa:80199	PRIMARY_SYMBOL	False
BRICD5	hsa:283870	hsa:283870	PRIMARY_SYMBOL	False
DUS4L	hsa:11062	hsa:11062	PRIMARY_SYMBOL	False
BCL9	hsa:607	hsa:607	PRIMARY_SYMBOL	False
ABCC10	hsa:89845	hsa:89845	PRIMARY_SYMBOL	True
PSMD13	hsa:5719	hsa:5719	PRIMARY_SYMBOL	True
MTAP	hsa:4507	hsa:4507	PRIMARY_SYMBOL	True
DIO3	hsa:1735	hsa:1735	PRIMARY_SYMBOL	True
NCOA4	hsa:8031	hsa:8031	PRIMARY_SYMBOL	True
HAUS5	hsa:23354	hsa:23354	PRIMARY_SYMBOL	False
ATRAID	hsa:51374	hsa:51374	PRIMARY_SYMBOL	False
ZNF518A	hsa:9849	hsa:9849	PRIMARY_SYMBOL	False
LPP	hsa:4026	hsa:4026	PRIMARY_SYMBOL	False
CTPS1	hsa:1503	hsa:1503	PRIMARY_SYMBOL	True
LY6G5C	hsa:80741	hsa:80741	PRIMARY_SYMBOL	False
EXOSC4	hsa:54512	hsa:54512	PRIMARY_SYMBOL	True
SP6	hsa:80320	hsa:80320	PRIMARY_SYMBOL	False
GCA	hsa:25801	hsa:25801	PRIMARY_SYMBOL	False
TNFRSF11A	hsa:8792	hsa:8792	PRIMARY_SYMBOL	True
APBB3	hsa:10307	hsa:10307	PRIMARY_SYMBOL	False
MAMSTR	hsa:284358	hsa:284358	PRIMARY_SYMBOL	False
RPS27L	hsa:51065	hsa:51065	PRIMARY_SYMBOL	True
APAF1	hsa:317	hsa:317	PRIMARY_SYMBOL	True
NFRKB	hsa:4798	hsa:4798	PRIMARY_SYMBOL	True
ZNFX1	hsa:57169	hsa:57169	PRIMARY_SYMBOL	True
ZNF430	hsa:80264	hsa:80264	PRIMARY_SYMBOL	False
PUS3	hsa:83480	hsa:83480	PRIMARY_SYMBOL	False
GABPB2	hsa:126626	hsa:126626	PRIMARY_SYMBOL	False
TMEM187	hsa:8269	hsa:8269	PRIMARY_SYMBOL	False
ARL13B	hsa:200894	hsa:200894	PRIMARY_SYMBOL	False
MTFMT	hsa:123263	hsa:123263	PRIMARY_SYMBOL	True
RBCK1	hsa:10616	hsa:10616	PRIMARY_SYMBOL	True
AC062029.1			UNMAPPED	False
PPA2	hsa:27068	hsa:27068	PRIMARY_SYMBOL	True
MEF2D	hsa:4209	hsa:4209	PRIMARY_SYMBOL	True
FBXL5	hsa:26234	hsa:26234	PRIMARY_SYMBOL	False
SLC12A4	hsa:6560	hsa:6560	PRIMARY_SYMBOL	False
RSL1D1	hsa:26156	hsa:26156	PRIMARY_SYMBOL	False
ADAM22	hsa:53616	hsa:53616	PRIMARY_SYMBOL	False
LGALS8	hsa:3964	hsa:3964	PRIMARY_SYMBOL	False
UBLCP1	hsa:134510	hsa:134510	PRIMARY_SYMBOL	False
EPCAM	hsa:4072	hsa:4072	PRIMARY_SYMBOL	True
SDCCAG8	hsa:10806	hsa:10806	PRIMARY_SYMBOL	False
MUC13	hsa:56667	hsa:56667	PRIMARY_SYMBOL	False
WWC3	hsa:55841	hsa:55841	PRIMARY_SYMBOL	False
OLFM4	hsa:10562	hsa:10562	PRIMARY_SYMBOL	False
GNL3L	hsa:54552	hsa:54552	PRIMARY_SYMBOL	True
PTPN14	hsa:5784	hsa:5784	PRIMARY_SYMBOL	False
HECTD3	hsa:79654	hsa:79654	PRIMARY_SYMBOL	False
EIF4G3	hsa:8672	hsa:8672	PRIMARY_SYMBOL	True
