test_id	n	R_rho	absolute_difference	P_formula_matches
Wu2021|LYPLA1	20	0.245112781954887	0	TRUE
Wu2021|LYPLA2	20	0.203007518796992	2.77555756156289e-17	TRUE
Pal2021_reprocessed|LYPLA1	33	0.385026737967914	0	TRUE
Pal2021_reprocessed|LYPLA2	33	0.246657754010695	0	TRUE
CAMP|processed	60	-0.274485836060096	0	TRUE
CAMP|author_available	55	-0.238744588744589	0	TRUE
CAMP|processed_ER_PC12	60	-0.249733404235214	8.32667268468867e-17	TRUE
CAMP|author_available_ER_PC12	55	-0.200982157204269	8.32667268468867e-17	TRUE
