gene	linked_metabolites_and_direction	n_direct_relations	n_evaluable_relations	n_association_q_lt_005	rna_n_tumor	rna_n_normal	rna_g	rna_ci_lower	rna_ci_upper	rna_p	rna_q	rna_status	depmap_status	n_depmap_models	common_essential_status	normal_tissue_safety	functional_search_status	literature_query_hit_count	literature_hit_count_note	functional_status	functional_source_urls	functional_outcomes	functional_limits	target_cell_context	novelty_notes	interpretation	best_relation	best_metabolite	best_n	best_rho	best_ci_lower	best_ci_upper	best_p	best_q	best_max_raw_missing_rate	best_sensitivity_n	best_sensitivity_rho	best_sensitivity_q	current_decision	er_adjusted_significant_relations	followup_status	er_available_n_evaluable	er_available_n_q_lt_005	er_available_best_relation_id	er_available_best_n	er_available_best_partial_rank_rho	er_available_best_q_value	patient_followup_category
AASS	lysine(降低)	1	1	0	61	47	-1.5380941842045104	-2.0433738924560783	-1.1031100273580836	1.9319798272835105e-11	1.1205482998244362e-09	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	1	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00047|AASS	lysine	61.0	0.3532522474881014	0.0946303370614963	0.5684942520495001	0.0061	0.0693	0.0	61.0	0.3532522474881014	0.074976923076923	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	1	0	KEGG:C00047|AASS	61.0	0.22567446233909372	0.33799787234042555	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
ACLY	citrate(升高)	1	1	0	61	47	0.2296380871626047	-0.1566968686263559	0.6591314947820867	0.0992841923919343	0.1555352801643853	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	27	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00158|ACLY	citrate	61.0	-0.3489628392157188	-0.572801434718842	-0.0918409094056517	0.0064	0.0693	0.340425531914894	55.0	-0.331962481962482	0.1026	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	1	0	KEGG:C00158|ACLY	55.0	-0.3033289315712026	0.21709565217391305	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
ADA	adenosine(升高); inosine(降低)	2	2	0	61	47	0.1582064588126071	-0.2129231302443558	0.5316070764616673	0.3959069589484353	0.4734557447218401	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	8	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00294|ADA	inosine	61.0	-0.2181914331041776	-0.4610256001930287	0.0386949995257988	0.0931	0.2478184615384615	0.0	61.0	-0.2181914331041776	0.2705464285714286	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	2	0	KEGG:C00294|ADA	61.0	-0.19984547465956087	0.40382307692307695	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
ADA2	adenosine(升高); inosine(降低)	2	2	0	61	47	0.7310252614190054	0.3880387093989363	1.1004514143698707	0.0002820061596881	0.0011280246387527	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	0	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00294|ADA2	inosine	61.0	-0.2347435219460602	-0.4829888466504488	0.0314023587799031	0.0683	0.2100857142857142	0.0	61.0	-0.2347435219460602	0.2423037735849056	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	2	0	KEGG:C00294|ADA2	61.0	-0.21915142963438347	0.33799787234042555	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
AFMID	kynurenine(升高)	1	1	0	61	47	0.1174284050783041	-0.2369287678153604	0.579771677771434	0.2390433559221152	0.3301074915114925	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	1	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00328|AFMID	kynurenine	61.0	-0.2470650449497619	-0.4572751313102836	0.0068531662935911	0.0559	0.20270625	0.0851063829787234	61.0	-0.2470650449497619	0.2286627906976744	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	1	0	KEGG:C00328|AFMID	61.0	-0.16422144741854874	0.49527439024390246	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
AHCY	S-adenosylhomocysteine (SAH)(升高); adenosine(升高)	2	2	0	61	47	1.004814637005975	0.618064434772577	1.442485281492886	1.1477915230535762e-06	9.510272619586774e-06	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	3	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00212|AHCY	adenosine	61.0	-0.0862253599409032	-0.3189506360291572	0.160196561993764	0.5108	0.6893023255813954	0.468085106382979	60.0	-0.1120311197554876	0.5884758620689655	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	2	0	KEGG:C00212|AHCY	60.0	-0.13846240036659396	0.5210999999999999	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
AMDHD2	N-acetylglucosamine 6-phosphate(升高)	1	1	0	61	47	0.6042575359112741	0.2374494197025527	0.9855312061414336	0.004717520428809	0.0114006743696219	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	0	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00357|AMDHD2	N-acetylglucosamine 6-phosphate	61.0	-0.0757016882891156	-0.3264151054267089	0.1950887048496555	0.5604	0.731514503816794	0.446808510638298	60.0	-0.0914698527368713	0.6703199999999999	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	1	0	KEGG:C00357|AMDHD2	60.0	-0.11476964586279848	0.6258280373831776	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
AOX1	1-methylnicotinamide(升高)	1	1	0	61	47	-1.2566152431953517	-1.7156776413448522	-0.8809191267531471	2.721356650548616e-08	3.945967143295492e-07	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	2	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C02918|AOX1	1-methylnicotinamide	61.0	0.0699101004759386	-0.2017785305949608	0.3389569388779844	0.587	0.7547142857142857	0.127659574468085	61.0	0.0699101004759386	0.7395130434782609	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	1	0	KEGG:C02918|AOX1	61.0	0.07586528314774109	0.7394142857142856	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
ARG1	arginine(降低); ornithine(降低)	2	2	0	61	47	0.2744034847966449	-0.1047830571357603	0.6953490865736196	0.025284742533083	0.0480824612104529	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	14	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00077|ARG1	ornithine	61.0	-0.2700687466948704	-0.4987333964312871	-0.0221907225733216	0.0349	0.15705	0.0	61.0	-0.2700687466948704	0.184359375	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	2	0	KEGG:C00077|ARG1	61.0	-0.2681057211758422	0.2528357142857143	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
ARG2	arginine(降低); ornithine(降低)	2	2	0	61	47	-0.4403700456882328	-0.9726674563630195	-0.0589539222738278	0.0003030234367356	0.0011716906220446	COMPUTED_EXPLORATORY_UNPAIRED	UNAVAILABLE_OFFICIAL_DOWNLOAD_HTTP403		NOT_ASSESSED	NOT_ASSESSED	SEARCH_COMPLETED	5	search leads only; symbol ambiguity, aliases and non-gene perturbations require review	NOT_MANUALLY_EVALUATED						candidate comparison only; not a validated therapeutic target	KEGG:C00062|ARG2	arginine	61.0	-0.2563722897937598	-0.4712762307476358	-0.0240049610006963	0.0466	0.1853162790697674	0.0	61.0	-0.2563722897937598	0.2052	RETAIN_IN_POOL; no significant RNA association is not functional exclusion	0	Patient robustness added; functional evidence remains previous version until DepMap accessible	2	0	KEGG:C00062|ARG2	61.0	-0.22094361120551703	0.33799787234042555	RETAIN_FULL_POOL_NOT_FUNCTIONALLY_EXCLUDED
