relation_id	gene	metabolite	primary_er_n	primary_er_rho	primary_er_p	primary_er_q	original_q	n	n_er_positive	n_er_negative	n_excluded	status	origin	partial_rank_rho	p_value	seed	q_value	family_n_evaluable
KEGG:C00037|PEPD	PEPD	glycine	61.0	-0.037942943033566	0.7746	0.8601077922077922	0.9604164705882352	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.037942943033566066	0.7746	2540351141.0	0.8704235294117647	171
KEGG:C00037|SHMT1	SHMT1	glycine	61.0	-0.2980915361623387	0.0242	0.1532666666666666	0.1342090909090909	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.29809153616233874	0.0242	157405785.0	0.19705714285714288	171
KEGG:C00037|SHMT2	SHMT2	glycine	61.0	0.1671904953888215	0.2002	0.4279275	0.3290653846153846	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.16719049538882153	0.2002	2074808083.0	0.48046250000000007	171
KEGG:C00047|AASS	AASS	lysine	61.0	0.2256744623390937	0.0835	0.3074711538461538	0.0693	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.22567446233909372	0.0835	272144523.0	0.33799787234042555	171
KEGG:C00049|ASNS	ASNS	aspartate	61.0	0.0917335266277562	0.486	0.6660921259842519	0.6893023255813954	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.09173352662775623	0.486	1540379995.0	0.7008126050420168	171
KEGG:C00049|ASS1	ASS1	aspartate	61.0	-0.1876734742933613	0.1422	0.3916714285714286	0.3768035294117647	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.18767347429336137	0.1422	772106260.0	0.4201293103448276	171
KEGG:C00049|GOT1	GOT1	aspartate	61.0	0.1826195374881001	0.1628	0.3920957746478873	0.3675444444444444	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1826195374881001	0.1628	3365269842.0	0.43498125000000004	171
KEGG:C00049|GOT2	GOT2	aspartate	61.0	0.3359330402304327	0.0083	0.09918	0.0800590909090909	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.3359330402304327	0.0083	587665818.0	0.10917692307692309	171
KEGG:C00051|GSR	GSR	glutathione, reduced (GSH)	61.0	0.032598211106305	0.7971	0.8793812903225807	0.8839384615384615	43.0	22.0	21.0	18.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.024616674527690435	0.8743	3741630213.0	0.9286043478260869	171
KEGG:C00051|GSS	GSS	glutathione, reduced (GSH)	61.0	-0.1620301238121048	0.2127	0.4382132530120482	0.4087087912087912	43.0	22.0	21.0	18.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.12274628270650068	0.4399	2545160849.0	0.6776837837837838	171
KEGG:C00055|CEPT1	CEPT1	cytidine 5'-monophosphate (5'-CMP)	61.0	0.2406553832106704	0.0637	0.2793	0.20270625	42.0	22.0	20.0	19.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.10134306149924525	0.5304	4234854619.0	0.731196	171
KEGG:C00055|CHPT1	CHPT1	cytidine 5'-monophosphate (5'-CMP)	61.0	-0.0765121637320823	0.5544	0.7265541984732824	0.6208403225806451	42.0	22.0	20.0	19.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.05544096601058405	0.7288	3544754135.0	0.8594813793103449	171
KEGG:C00055|CMPK1	CMPK1	cytidine 5'-monophosphate (5'-CMP)	61.0	0.0445532008069918	0.7384	0.8589551020408163	0.7550211678832117	42.0	22.0	20.0	19.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.18834085251115976	0.2496	963256836.0	0.5021364705882353	171
KEGG:C00055|CMPK2	CMPK2	cytidine 5'-monophosphate (5'-CMP)	61.0	-0.000889343268277	0.9959	0.9959	0.899314024390244	42.0	22.0	20.0	19.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.040075080666768646	0.8104	2458445809.0	0.8795677215189873	171
KEGG:C00062|ARG1	ARG1	arginine	61.0	-0.1310992836131721	0.3134	0.5524886597938145	0.5552470588235294	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.1310992836131721	0.3134	3303327823.0	0.55824375	171
KEGG:C00062|ARG2	ARG2	arginine	61.0	-0.220943611205517	0.0903	0.3074711538461538	0.1853162790697674	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.22094361120551703	0.0903	1656889348.0	0.33799787234042555	171
KEGG:C00064|ASNS	ASNS	glutamine	61.0	-0.3948321624319598	0.0019	0.0534375	0.01995	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.3948321624319598	0.0019	4157975217.0	0.053437500000000006	171
KEGG:C00064|GLS	GLS	glutamine	61.0	-0.1845530081486582	0.1617	0.3920957746478873	0.2592260869565218	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.18455300814865822	0.1617	1459013810.0	0.43498125000000004	171
KEGG:C00064|GLS2	GLS2	glutamine	61.0	0.1273648034371768	0.331	0.56601	0.212735593220339	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1273648034371768	0.331	987630451.0	0.5835154639175257	171
KEGG:C00064|GLUL	GLUL	glutamine	61.0	-0.0731824557185625	0.5751	0.73834	0.8626775510204082	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.07318245571856251	0.5751	1500140887.0	0.7394142857142856	171
KEGG:C00065|SHMT1	SHMT1	serine	61.0	-0.1539941933155276	0.2408	0.4626606741573033	0.40451	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.1539941933155276	0.2408	139020030.0	0.49610602409638554	171
KEGG:C00065|SHMT2	SHMT2	serine	61.0	0.0385451023526968	0.7613	0.8601077922077922	0.5742516393442623	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.03854510235269686	0.7613	285319467.0	0.8704235294117647	171
KEGG:C00073|MAT1A	MAT1A	methionine	61.0	-0.085243018813091	0.5103	0.68172890625	0.7798821428571429	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.08524301881309108	0.5103	1331880864.0	0.7211677685950413	171
KEGG:C00073|MAT2A	MAT2A	methionine	61.0	-0.1755486077414084	0.174	0.4075890410958904	0.4857795918367346	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.17554860774140843	0.174	1302914688.0	0.4508181818181818	171
KEGG:C00077|ARG1	ARG1	ornithine	61.0	-0.2681057211758422	0.0414	0.22123125	0.15705	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.2681057211758422	0.0414	249591147.0	0.2528357142857143	171
KEGG:C00077|ARG2	ARG2	ornithine	61.0	0.1943168071183287	0.1292	0.3744610169491525	0.2667124999999999	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1943168071183287	0.1292	3385204668.0	0.4091333333333334	171
KEGG:C00077|OAT	OAT	ornithine	61.0	-0.0384201291188462	0.7708	0.8601077922077922	0.8638331125827815	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.03842012911884621	0.7708	3983853031.0	0.8704235294117647	171
