gene	stable_gene_id	current_pool	source_runs	history_only
HPRT1	ENSG00000165704	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
IDNK	ENSG00000148057	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
IMPA1	ENSG00000133731	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
IMPA2	ENSG00000141401	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
KHK	ENSG00000138030	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
KMO	ENSG00000117009	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
KYNU	ENSG00000115919	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LDHA	ENSG00000134333	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LDHB	ENSG00000111716	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LPCAT1	ENSG00000153395	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LPCAT2	ENSG00000087253	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LPCAT3	ENSG00000111684	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LPCAT4	ENSG00000176454	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LYPLA1	ENSG00000120992	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
LYPLA2	ENSG00000011009	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
MDH1	ENSG00000014641	True	20260925T151000Z_ccrcc3_v1	False
MDH2	ENSG00000146701	True	20260925T151000Z_ccrcc3_v1	False
MGAM	ENSG00000257335	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
MGLL	ENSG00000074416	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
MPI	ENSG00000178802	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
NAGK	ENSG00000124357	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
