cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Wu2021	high_vs_low_detected	prerank	Viral mRNA Translation R-HSA-192823	-0.6436948227119508	-1.9552017393064538	0.0	0.0	0.0	44/86	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;DNAJC3;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;RPL30;BLOC1S6;RPS10;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Eukaryotic Translation Termination R-HSA-72764	-0.6435036343042436	-1.9543848223790008	0.0	0.0	0.0	44/86	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;GSPT1;RPL30;RPS10;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;GSPT2;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Peptide Chain Elongation R-HSA-156902	-0.6452331563636067	-1.9482871295077075	0.0	0.0	0.0	43/82	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;RPL30;RPS10;RPL27A;RPL6;EEF2;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	-0.635003439965935	-1.9332240394794442	0.0	7.071417145053308e-05	0.001	47/93	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;EIF2AK4;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;RPL30;CEBPG;CEBPB;RPS10;EIF2S2;RPL27A;RPL6;ASNS;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Eukaryotic Translation Elongation R-HSA-156842	-0.6364597545169642	-1.930407388017909	0.0	0.00013199978670766174	0.002	44/86	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;EEF1B2;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;RPL30;RPS10;RPL27A;RPL6;EEF2;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Selenocysteine Synthesis R-HSA-2408557	-0.6339216916408215	-1.9253073816751956	0.0	0.00012374980003843287	0.002	43/86	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;RPL30;RPS10;SEPHS2;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	-0.6169722126956301	-1.9026195647175521	0.0	0.0002911760000904303	0.005	52/108	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;UPF3A;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;PABPC1;MAGOH;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;UPF2;RBM8A;GSPT1;RPL30;EIF4G1;PPP2R1A;UPF3B;RPS10;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;GSPT2;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678	-0.6595742974265995	-1.901757233088099	0.0	0.00027499955564096195	0.005	27/45	19.80%	RPS19;RPS3;RPS16;RPS27A;RPS7;RPS8;RPS21;RPS11;RPS5;RPS29;RPS25;RPS2;RPSA;RPS6;RPS9;RPS28;SNRPG;RPS17;RPS10;SNRPD2;RPS20;RPS12;SNRPB;SNRPF;GEMIN7;FAU;SNRPD3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	0.47486455966717717	1.8955797062242057	0.0	0.1304721428737314	0.084	6/23	3.66%	H2AJ;H3-3B;H2AC6;H2BC5;NCOA2;H2BC21	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Selenoamino Acid Metabolism R-HSA-2408522	-0.6115692956829879	-1.8882043840202056	0.0	0.00041684143170840545	0.008	54/107	18.35%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;RPL13A;KARS1;RPL21;RPLP2;RPLP1;RPL5;RPS17;EPRS1;RPL30;TXNRD1;QARS1;PAPSS2;RPS10;SEPHS2;AHCY;RPL27A;RPL6;AIMP2;RPL15;RPS20;RPS12;RPL36A;RPL22L1;IARS1;NNMT;PSTK;FAU	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
