cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_zero	prerank	Collagen Chain Trimerization R-HSA-8948216	-0.539771446161641	-2.6967482883874836	0.0	0.0	0.0	20/22	19.77%	COL17A1;COL6A2;COL27A1;COL4A2;COL11A2;COL4A1;COL7A1;COL6A1;COL1A1;COL1A2;COL6A3;COL8A1;COL16A1;COL2A1;COL3A1;COL4A5;COL9A2;COL5A2;COL9A3;COL5A1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	0.706257769554812	2.192802908447388	0.0	0.0	0.0	44/52	24.24%	HSPA8;UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;HSPA1A;PSMD2;PSMB6;PSMD3;PABPC1;PSMC5;PSMB3;PSMB7;HNRNPD;PSMC6;PSMA2;PSMD11;PSMC1;UBC;HSPB1;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;PSMF1;PSMB5;PSMA5;PSME2;PSME1;EIF4G1;PSMB2;PSMD10;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Hh Mutants Are Degraded By ERAD R-HSA-5362768	0.6965991506564537	2.1681877089508874	0.0	0.0	0.0	43/52	24.24%	UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;PSMC6;PSMA2;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;VCP;PSMF1;PSMB5;PSMA5;PSME2;PSME1;SEL1L;PSMB2;DERL2;PSMD10;ERLEC1;OS9;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114	0.6961488777457372	2.159156780955597	0.0	0.0	0.0	43/51	25.39%	SKP1;UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;PSMC6;PSMA2;RBX1;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;PSMF1;PSMB5;PSMA5;PSME2;PSME1;PSMB2;GSK3B;PSMD10;PSMB4;PSMD5;PSMD6;NFE2L2;PSMC4;PSME3;PSMC3;CUL1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Defective CFTR Causes Cystic Fibrosis R-HSA-5678895	0.6897012452401448	2.155776291064756	0.0	0.0	0.0	46/57	24.24%	UBB;ERLIN2;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;DERL1;PSMB7;PSMC6;PSMA2;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;VCP;PSMF1;PSMB5;PSMA5;PSME2;PSME1;SEL1L;PSMB2;DERL2;PSMD10;ERLEC1;OS9;PSMB4;RNF5;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Hh Mutants Abrogate Ligand Secretion R-HSA-5387390	0.6898700062877644	2.150742897663667	0.0	0.0	0.0	43/53	24.24%	UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;PSMC6;PSMA2;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;VCP;PSMF1;PSMB5;PSMA5;PSME2;PSME1;SEL1L;PSMB2;DERL2;PSMD10;ERLEC1;OS9;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Hedgehog Ligand Biogenesis R-HSA-5358346	0.6834039494289285	2.142505477854251	0.0	0.00016477526058221483	0.001	45/56	24.24%	UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;P4HB;PSMC6;PSMA2;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;VCP;PSMF1;PSMB5;PSMA5;PSME2;PSME1;SEL1L;PSMB2;DERL2;PSMD10;ERLEC1;OS9;PSMB4;PSMD5;PSMD6;PSMC4;SCUBE2;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562	0.6970977058466865	2.142349131919108	0.0	0.00014123593764189842	0.001	40/47	24.24%	PSMD8;PSMA7;PSMD7;PSMA4;AZIN1;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;OAZ1;PSMC6;PSMA2;PSMD11;PSMC1;PSMD13;PSMD4;NQO1;PSMA3;PSMC2;PSMD12;PSMF1;PSMB5;PSMA5;PSME2;PSME1;PSMB2;OAZ2;PSMD10;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Negative Regulation Of NOTCH4 Signaling R-HSA-9604323	0.6882765145204927	2.1420127147053827	0.0	0.00012358144543666113	0.001	43/52	25.39%	YWHAZ;SKP1;UBB;PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;PSMC6;PSMA2;RBX1;PSMD11;PSMC1;UBC;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;PSMF1;PSMB5;PSMA5;PSME2;PSME1;AKT1;PSMB2;PSMD10;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3;CUL1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_zero	prerank	Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978	0.6995602694451204	2.1350713311977447	0.0	0.00010985017372147656	0.001	36/43	24.24%	PSMD8;PSMA7;PSMD7;PSMA4;PSMA1;SEM1;PSMB1;PSMD14;PSMD2;PSMB6;PSMD3;PSMC5;PSMB3;PSMB7;PSMC6;PSMA2;PSMD11;PSMC1;PSMD13;PSMD4;PSMA3;PSMC2;PSMD12;PSMF1;PSMB5;PSMA5;PSME2;PSME1;PSMB2;PSMD10;PSMB4;PSMD5;PSMD6;PSMC4;PSME3;PSMC3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
