cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	13204	1491	21	2	0.7035729212	SDC1;SDC2	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	13204	1491	67	14	0.01608460826	ABCA12;APOA1;DERL1;ERLIN2;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;SEL1L	0.2575225994	0.2579292836
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ABC-family Proteins Mediated Transport R-HSA-382556	13204	1491	85	18	0.005990453752	ABCA12;ABCC11;ABCC5;ABCD3;APOA1;DERL1;ERLIN2;PEX3;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;SEL1L	0.143770623	0.1510918868
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	13204	1491	46	6	0.4200184834	CREB1;GNAI1;GNAI3;GNB1;GNB4;PRKAR2B	1	0.9867592468
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	13204	1491	26	4	0.3372153219	ANAPC7;BUB3;CDC16;UBE2C	0.9402123612	0.9185166056
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	13204	1491	84	14	0.08735588186	ANAPC7;AURKA;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.5465342352	0.5499369466
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048	13204	1491	24	3	0.5193945977	ANAPC7;CDC16;UBE2C	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154	13204	1491	65	12	0.05805028531	ANAPC7;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4647760014	0.4697189533
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409	13204	1491	72	13	0.05805890378	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4647760014	0.4697189533
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178	13204	1491	71	13	0.05279839571	ANAPC7;AURKA;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4468506483	0.4519186504
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419	13204	1491	70	13	0.04787263829	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4189714398	0.4305859182
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	13204	1491	26	3	0.5753735595	ATF6;EXOSC3;HERPUD1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	13204	1491	52	10	0.06302341568	HSPA8;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.4823624036	0.4875572256
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	AURKA Activation By TPX2 R-HSA-8854518	13204	1491	71	9	0.4098178091	AURKA;DYNC1H1;HSP90AA1;MAPRE1;PPP2R1A;PRKAR2B;TUBB;TUBB4B;YWHAG	0.9975961388	0.984661344
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	13204	1491	17	2	0.587486527	CDKN1B;TFDP1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	13204	1491	36	5	0.3844271559	ANAPC7;CDC16;CDKN1B;TFDP1;UBE2C	0.9837454801	0.9696127477
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136	13204	1491	20	3	0.3968971609	ANAPC7;CDC16;UBE2C	0.9857787792	0.9696127477
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242	13204	1491	23	1	0.9366013692	NELFCD	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	13204	1491	25	1	0.9501336044	MIB1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	13204	1491	21	4	0.2068290903	AREG;H2BC21;H3-3B;NCOA2	0.8124001613	0.7800342118
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814	13204	1491	73	13	0.06366103242	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4854153722	0.4888730935
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of ATR In Response To Replication Stress R-HSA-176187	13204	1491	33	3	0.7365533657	MCM4;ORC4;RRAD	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of BAD And Translocation To Mitochondria R-HSA-111447	13204	1491	15	6	0.004164178704	BID;YWHAB;YWHAG;YWHAH;YWHAQ;YWHAZ	0.1181464656	0.12251375
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of BH3-only Proteins R-HSA-114452	13204	1491	28	7	0.0324689199	BID;TFDP1;YWHAB;YWHAG;YWHAH;YWHAQ;YWHAZ	0.3681420286	0.3667146777
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of GABAB Receptors R-HSA-991365	13204	1491	19	4	0.1594812465	GNAI1;GNAI3;GNB1;GNB4	0.7059764902	0.7025349064
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of HOX Genes During Differentiation R-HSA-5619507	13204	1491	70	12	0.09161496282	ASH2L;H2BC21;H3-3B;KMT2C;MAFB;NCOA3;NCOR1;PBX1;RBBP7;RXRA;SUZ12;YY1	0.5566178327	0.5614996122
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of NF-kappaB In B Cells R-HSA-1169091	13204	1491	62	9	0.262493724	PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.9137552285	0.8511161221
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	13204	1491	50	12	0.008396707422	CALM1;CREB1;ERBB4;GIT1;HRAS;KPNA2;LIN7A;MAPK1;MAPK3;NRAS;PDPK1;PRKAR2B	0.1725224813	0.1828646472
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168	13204	1491	41	9	0.03632963477	DHCR7;GGPS1;HMGCR;LMBR1;MBD4;NCOA2;RXRA;SC5D;TBL1X	0.3926442001	0.3871458659
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326	13204	1491	15	4	0.08011425123	CALM1;GNB1;GNB4;PLCB1	0.5198903537	0.529369935
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	13204	1491	57	4	0.8983671026	EIF1AX;EIF3A;EIF4A1;EIF4EBP1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of Pre-Replicative Complex R-HSA-68962	13204	1491	30	2	0.8679160644	MCM4;ORC4	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Acyl Chain Remodelling Of PC R-HSA-1482788	13204	1491	15	4	0.08011425123	LPCAT1;MBOAT2;PLA2G12A;PLBD1	0.5198903537	0.529369935
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Acyl Chain Remodelling Of PE R-HSA-1482839	13204	1491	18	4	0.1374924598	MBOAT2;PLA2G12A;PLAAT5;PLBD1	0.6481483806	0.6668942347
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Adherens Junctions Interactions R-HSA-418990	13204	1491	17	3	0.2998715714	CTNNA1;JUP;NECTIN2	0.9201290671	0.8870317015
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042	13204	1491	16	4	0.09766933631	CACNA1D;GNAI1;GNB1;GNB4	0.5581563347	0.5747362538
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aggrephagy R-HSA-9646399	13204	1491	21	4	0.2068290903	DYNC1H1;DYNC1LI2;HSP90AA1;UBE2N	0.8124001613	0.7800342118
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Amino Acid Transport Across Plasma Membrane R-HSA-352230	13204	1491	17	2	0.587486527	SLC25A29;SLC38A1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Amino Acids Regulate mTORC1 R-HSA-9639288	13204	1491	50	8	0.1977028302	ATP6V0E2;ATP6V1A;ATP6V1C1;ATP6V1G1;ATP6V1H;RHEB;SESN1;WDR24	0.7970834529	0.7699488247
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	13204	1491	88	12	0.2880662618	BUB3;CENPF;CLIP1;DYNC1H1;DYNC1LI2;MAPRE1;PPP1CC;PPP2CA;PPP2R1A;PPP2R5A;PPP2R5E;TAOK1	0.9201290671	0.8789431943
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Amyloid Fiber Formation R-HSA-977225	13204	1491	50	7	0.3332186203	APOA1;H2BC21;H3-3B;ITM2B;TSPAN15;TSPAN5;USP9X	0.9402123612	0.9185166056
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	13204	1491	95	11	0.5128194544	DYNC1H1;HSP90AA1;MAPRE1;PPP2R1A;PRKAR2B;SEPTIN2;TCTN1;TMEM67;TUBB;TUBB4B;YWHAG	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851	13204	1491	69	10	0.2483123953	AHCYL1;CALM1;CREB1;GNAI1;GNAI3;GNB1;GNB4;ITPR1;PRKAR2B;YES1	0.8889117438	0.8312188706
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	13204	1491	26	4	0.3372153219	BECN1;CANX;HSPA5;SAR1B	0.9402123612	0.9185166056
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695	13204	1491	21	4	0.2068290903	AHCYL1;CALM1;GRB2;ITPR1	0.8124001613	0.7800342118
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	13204	1491	88	10	0.5416507362	CYBA;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	13204	1491	270	47	0.00163211496	ANAPC13;ANAPC7;BLMH;CDC16;CUL3;FBXL20;FBXL3;FBXL5;FBXO21;FBXO30;FBXW2;GAN;HECTD1;HUWE1;LMO7;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;RBBP6;RBCK1;RCHY1;RNF115;RNF144B;RNF6;TRIP12;UBA6;UBE2B;UBE2C;UBE2E2;UBE2E3;UBE2G1;UBE2H;UBE2K;UBE2N;UBE2Q2;UBE2R2;UBE2V2;UBE2W;UFL1;WWP1;ZNRF2	0.06507125006	0.07160761721
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antimicrobial Peptides R-HSA-6803157	13204	1491	25	2	0.7911148777	RO60;S100A7	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410	13204	1491	80	17	0.007177892892	ARIH1;EIF2AK2;EIF4A1;EIF4G2;EIF4G3;JAK1;KPNA2;KPNA3;KPNA4;KPNB1;MAPK3;NUP153;NUP54;NUP58;PPM1B;STAT1;UBE2N	0.1581616209	0.1675687442
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Apoptosis R-HSA-109581	13204	1491	161	27	0.02283494615	ARHGAP10;BID;C1QBP;CASP3;H1-0;KPNB1;MAPK1;MAPK3;OCLN;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;PTK2;ROCK1;STK24;TFDP1;YWHAB;YWHAG;YWHAH;YWHAQ;YWHAZ	0.3110378385	0.3078287843
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Apoptotic Cleavage Of Cellular Proteins R-HSA-111465	13204	1491	33	5	0.3142600995	CASP3;OCLN;PTK2;ROCK1;STK24	0.932386482	0.8994650421
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Apoptotic Execution Phase R-HSA-75153	13204	1491	47	7	0.2769723395	CASP3;H1-0;KPNB1;OCLN;PTK2;ROCK1;STK24	0.9192226718	0.8673443763
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Apoptotic Factor-Mediated Response R-HSA-111471	13204	1491	18	4	0.1374924598	C1QBP;CASP3;MAPK1;MAPK3	0.6481483806	0.6668942347
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aquaporin-mediated Transport R-HSA-445717	13204	1491	29	4	0.417613707	AQP3;GNB1;GNB4;PRKAR2B	1	0.9863009213
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Arachidonic Acid Metabolism R-HSA-2142753	13204	1491	32	5	0.291188776	CYP4F22;HPGD;PON2;PON3;PTGES3	0.9201290671	0.8789431943
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Asparagine N-linked Glycosylation R-HSA-446203	13204	1491	244	32	0.2075010454	ACTR10;ALG5;AREG;CANX;CAPZB;COG2;COPB2;CTSA;DCTN4;DERL1;DYNC1H1;DYNC1LI2;GOLGB1;MAGT1;MAN1A2;MAN1B1;PPP6C;PPP6R1;PPP6R3;RAD23B;RPN1;RPN2;SAR1B;SEC16A;SEC22C;SEL1L;SLC35A1;SRD5A3;TBC1D20;TFG;UAP1;USO1	0.8145150432	0.7802627847
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Assembly Of HIV Virion R-HSA-175474	13204	1491	16	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	13204	1491	39	1	0.990722444	CD151	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Assembly Of ORC Complex At Origin Of Replication R-HSA-68616	13204	1491	24	4	0.2838027984	H2BC21;H3-3B;KPNB1;ORC4	0.9201290671	0.8724211045
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Assembly Of Pre-Replicative Complex R-HSA-68867	13204	1491	96	17	0.03956027632	ANAPC7;CDC16;H2BC21;H3-3B;KPNB1;MCM4;ORC4;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.3926442001	0.4012471461
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471	13204	1491	36	10	0.005273304859	CCT2;CCT5;DCAF7;FBXL3;FBXL5;FBXW2;KIF13A;LONP2;TCP1;XRN2	0.135726412	0.1393120923
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Asymmetric Localization Of PCP Proteins R-HSA-4608870	13204	1491	59	9	0.2173728321	PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.8412140819	0.7962732467
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Attenuation Phase R-HSA-3371568	13204	1491	21	7	0.006419183155	DNAJB6;HSP90AA1;HSPA6;HSPA8;HSPH1;PTGES3;SERPINH1	0.148322035	0.1574739203
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084	13204	1491	63	12	0.04731112002	ANAPC7;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4158470204	0.4264798377
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425	13204	1491	49	9	0.09520025182	PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.5576655759	0.5695319263
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Autophagy R-HSA-9612973	13204	1491	119	13	0.5939674175	ATG5;BECN1;DYNC1H1;DYNC1LI2;HSP90AA1;HSPA8;RB1CC1;RHEB;TOMM20;UBE2N;VDAC1;WDR45B;WIPI1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Axon Guidance R-HSA-422475	13204	1491	400	60	0.01297654821	ACTG1;ACTR2;ACTR3;ALCAM;ARHGAP39;CACNA1D;CACNB4;CD24;CLTC;CLTCL1;CREB1;EFNB2;ENAH;ERBB2;ETF1;EVL;EZR;FLRT3;FRS2;GIT1;GRB2;GRB7;GSK3B;GSPT1;HRAS;HSP90AA1;HSPA8;MAPK1;MAPK13;MAPK3;MRPL13;NELL2;NRAS;PAK4;PFN2;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;PTK2;PTPN11;RANBP9;RHOB;RNPS1;ROCK1;ROCK2;RPL19;SDC2;SDCBP;SHTN1;SRGAP1;UPF3A;VAV3;WASL;YES1	0.228777295	0.22998549
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Azathioprine ADME R-HSA-9748787	13204	1491	16	4	0.09766933631	ABCC5;NUDT15;TPMT;VAV3	0.5581563347	0.5747362538
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924	13204	1491	44	5	0.5645364063	DEK;GSK3B;H2BC21;H3-3B;SMARCA5	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922	13204	1491	21	3	0.4285751727	CCT2;CCT5;TCP1	1	0.9896691836
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	13204	1491	23	5	0.1097270629	CLOCK;MBD4;NCOA2;RXRA;TBL1X	0.5861077789	0.6005911385
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Base Excision Repair R-HSA-73884	13204	1491	59	3	0.9694342547	H2BC21;MBD4;TERF1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Base-Excision Repair, AP Site Formation R-HSA-73929	13204	1491	31	3	0.6961653247	H2BC21;MBD4;TERF1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Basigin Interactions R-HSA-210991	13204	1491	18	1	0.8844723058	SLC16A3	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Beta-catenin Independent WNT Signaling R-HSA-3858494	13204	1491	119	19	0.07516859727	CALM1;CLTC;DAAM1;GNB1;GNB4;ITPR1;NCOA3;NLK;NRAS;PLCB1;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.5180580238	0.5225148634
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Beta-catenin Phosphorylation Cascade R-HSA-196299	13204	1491	16	6	0.006033652377	CSNK1A1;GSK3B;PPP2CA;PPP2R1A;PPP2R5A;PPP2R5E	0.143770623	0.1512468583
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Bile Acid And Bile Salt Metabolism R-HSA-194068	13204	1491	27	6	0.07638399626	HSD3B7;NCOA2;OSBPL1A;OSBPL2;RXRA;SYCP2	0.5198903537	0.5254805761
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	13204	1491	26	4	0.3372153219	APOA1;HSP90AA1;HSP90B1;HSPH1	0.9402123612	0.9185166056
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Biological Oxidations R-HSA-211859	13204	1491	114	21	0.01596824428	ACSS1;ALDH2;AOC1;BPNT2;CYP4F22;FDX1;GSTA4;GSTM3;GSTM4;MAOB;MAT2A;MTRR;NCOA2;PODXL2;PTGES3;RXRA;SLC35B3;SLC38A1;TPMT;UGDH;UGT2B11	0.2575225994	0.2573789714
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193	13204	1491	65	5	0.8717620088	ALG5;CTSA;SLC35A1;SRD5A3;UAP1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Branched-chain Amino Acid Catabolism R-HSA-70895	13204	1491	18	2	0.6193789187	ACADSB;BCKDK	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Budding And Maturation Of HIV Virion R-HSA-162588	13204	1491	26	1	0.9557752157	VTA1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385	13204	1491	17	3	0.2998715714	EXOSC3;YWHAB;ZFP36L1	0.9201290671	0.8870317015
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	C-type Lectin Receptors (CLRs) R-HSA-5621481	13204	1491	115	20	0.03239866102	AHCYL1;CALM1;HRAS;ITPR1;MUC16;MUC5B;MUC6;NRAS;PDPK1;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;TAB2;UBE2N	0.3681420286	0.3666864746
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CD209 (DC-SIGN) Signaling R-HSA-5621575	13204	1491	17	2	0.587486527	HRAS;NRAS	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CD28 Co-Stimulation R-HSA-389356	13204	1491	29	3	0.6512515781	GRB2;PDPK1;YES1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	13204	1491	20	1	0.9091225326	PDPK1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CDC42 GTPase Cycle R-HSA-9013148	13204	1491	130	18	0.2120169646	ARHGAP10;ARHGAP29;ARHGAP32;ARHGAP39;ARHGAP40;DAAM1;FNBP1L;GIT1;IQGAP2;JUP;MCF2L;PAK4;RAB7A;REPS1;SRGAP1;STOM;VAV3;WASL	0.8274494459	0.792018122
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017	13204	1491	69	12	0.08411627862	ANAPC7;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.539508799	0.5459783829
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CLEC7A (Dectin-1) Signaling R-HSA-5607764	13204	1491	93	15	0.09827336492	AHCYL1;CALM1;ITPR1;PDPK1;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;TAB2;UBE2N	0.5581563347	0.5747362538
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434	13204	1491	69	5	0.9023169608	COPB2;KIF16B;KIF21A;KIF22;KIF3A	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436	13204	1491	31	8	0.01901318494	ACTR10;CAPZB;DCTN4;DYNC1H1;DYNC1LI2;GALNT1;RAB3GAP2;RAB6A	0.282879093	0.2810099465
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	COPI-mediated Anterograde Transport R-HSA-6807878	13204	1491	71	9	0.4098178091	ACTR10;CAPZB;COG2;COPB2;DCTN4;DYNC1H1;DYNC1LI2;GOLGB1;USO1	0.9975961388	0.984661344
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	COPII-mediated Vesicle Transport R-HSA-204005	13204	1491	60	10	0.1340651008	AREG;PPP6C;PPP6R1;PPP6R3;SAR1B;SEC16A;SEC22C;TBC1D20;TFG;USO1	0.6449504059	0.656103309
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742	13204	1491	18	7	0.002379657124	CALM1;CREB1;HRAS;MAPK1;MAPK3;NRAS;PDPK1	0.08488835355	0.09173559936
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CTLA4 Inhibitory Signaling R-HSA-389513	13204	1491	18	6	0.01148021331	PPP2CA;PPP2R1A;PPP2R5A;PPP2R5E;PTPN11;YES1	0.2096685664	0.2154879829
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Ca-dependent Events R-HSA-111996	13204	1491	26	5	0.1629204044	CALM1;CREB1;KPNA2;MAPK1;PRKAR2B	0.7099063014	0.7090244415
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Ca2+ Pathway R-HSA-4086398	13204	1491	44	7	0.2235161888	CALM1;GNB1;GNB4;ITPR1;NLK;NRAS;PLCB1	0.8518531135	0.8023690851
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	CaM Pathway R-HSA-111997	13204	1491	25	4	0.3104007192	CALM1;CREB1;KPNA2;PRKAR2B	0.9272499449	0.8927133223
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Calnexin/calreticulin Cycle R-HSA-901042	13204	1491	26	3	0.5753735595	CANX;MAN1B1;SEL1L	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Cap-dependent Translation Initiation R-HSA-72737	13204	1491	113	6	0.991016301	EIF1AX;EIF3A;EIF4A1;EIF4EBP1;MRPL13;RPL19	1	1
