cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone H4-K5 Acetylation (GO:0043981)	13204	1491	15	1	0.8344232127	JADE3	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone H4-K8 Acetylation (GO:0043982)	13204	1491	15	1	0.8344232127	JADE3	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone Acetylation (GO:0016573)	13204	1491	56	5	0.7730444881	PHF20L1;SUPT20H;TAF2;TAF4;USP22	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone Deacetylation (GO:0016575)	13204	1491	33	5	0.3142600995	HDAC2;MBD2;MTA3;RBBP7;TBL1X	0.932386482	0.8994650421
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone Deubiquitination (GO:0016578)	13204	1491	32	4	0.4955569491	SUPT20H;TAF2;TAF4;USP22	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone Lysine Methylation (GO:0034968)	13204	1491	31	3	0.6961653247	BOD1L1;KMT2C;SMYD3	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone mRNA Metabolic Process (GO:0008334)	13204	1491	23	2	0.750635306	LSM1;SLBP	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Histone Modification (GO:0016570)	13204	1491	76	9	0.4930852314	HDAC2;JADE3;MBD2;MTA3;PHF20L1;RBBP7;TBL1X;UBE2B;UBE2N	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	13204	1491	33	7	0.07162937862	AMIGO2;CDH1;CEACAM5;CEACAM6;CELSR2;NECTIN2;PALLD	0.5063026763	0.5086584602
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	13204	1491	31	2	0.879760943	ACTG1;CEACAM5	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Icosanoid Metabolic Process (GO:0006690)	13204	1491	29	4	0.417613707	CYP4F22;CYP4Z1;HPGD;MGLL	1	0.9863009213
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Import Into Cell (GO:0098657)	13204	1491	24	3	0.5193945977	SLC38A1;SLC5A3;SLC5A6	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Import Into Nucleus (GO:0051170)	13204	1491	65	8	0.454802954	CSE1L;KPNA2;KPNA3;KPNA4;KPNB1;NUP153;STK3;TNPO1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	In Utero Embryonic Development (GO:0001701)	13204	1491	19	1	0.897535539	TGFBR1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	13204	1491	106	5	0.99462732	CXCL13;CYBA;MGLL;PTGER3;TAB2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220)	13204	1491	16	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inner Mitochondrial Membrane Organization (GO:0007007)	13204	1491	34	6	0.179169101	CHCHD3;GHITM;HSPA9;IMMT;MTX2;TMEM11	0.7485832302	0.7435673933
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inorganic Anion Transmembrane Transport (GO:0098661)	13204	1491	34	3	0.7550941773	SLC20A1;SLC5A6;SLC5A8	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inorganic Anion Transport (GO:0015698)	13204	1491	29	2	0.8550069545	CLIC3;SLC5A8	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	13204	1491	35	3	0.7725680475	CACNA1D;SCNN1B;SLC39A6	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	13204	1491	128	22	0.02907793239	ATP2A2;ATP2A3;ATP6AP2;ATP6V0E2;ATP6V1A;ATP6V1C1;ATP6V1H;CACNA1D;KCNF1;KCNG1;KCNK1;KCNK15;LRRC26;P2RX4;SCNN1B;SLC39A6;SLC39A9;SLC40A1;SLC6A4;TMCO1;TMEM165;UCP2	0.3484781681	0.3491767915
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inositol Lipid-Mediated Signaling (GO:0048017)	13204	1491	24	3	0.5193945977	EZR;PLCB1;RPS6KB1	1	1
