cohort	group	n_cells	positive_median_cut	median_LYPLA1	mean_LYPLA1	n_donors	largest_donor_fraction	effective_donor_number	donor_group_CramersV	median_counts	median_detected_genes	median_raw_LYPLA1_counts
Wu2021	high	7222	1.064761516	1.436035462	1.51687324	20	0.2219606757	8.116414997	0.3325211678	9274.5	2586.5	3
Wu2021	low_detected	7222	1.064761516	0.7574166802	0.7366290913	20	0.1602049294	11.03136913	0.3325211678	17516.5	3729	2
Wu2021	zero	10045	1.064761516	0	0	20	0.2912891986	7.291713564	0.3325211678	4583	1633	0
Pal2021_reprocessed	high	25622	1.21676196	1.647117688	1.796505909	33	0.121341035	16.71712336	0.3805499708	4449.5	1641	2
Pal2021_reprocessed	low_detected	25623	1.21676196	0.8707476164	0.8432906202	31	0.1367521368	15.37847386	0.3805499708	10333	2716	1
Pal2021_reprocessed	zero	78833	1.21676196	0	0	33	0.1269772811	18.12307651	0.3805499708	2274	947	0
