cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_zero	GANC	7222	10045	0.03578374205	0.03657624531	-0.0007925032641	0.06047469985	0.07125204531	-0.09377535606	0.06272500692	0.04121453459	-0.2797652968	16670.10681	0.7796610492	0.8151612722	0.8023780415
Wu2021	high_vs_zero	ZNF106	7222	10045	0.1887281264	0.2275803857	-0.0388522593	0.3133627872	0.4755332773	-0.4774908305	0.2956244808	0.2228969637	-6.13924859	17247.91992	8.472650854e-10	2.656004546e-09	1.711172218e-09
Wu2021	high_vs_zero	SNAP23	7222	10045	0.293630346	0.2504844626	0.04314588343	0.5210340949	0.5342701382	-0.03042494621	0.4065355857	0.2410154306	5.969808464	16563.07254	2.423806073e-09	7.369625901e-09	4.795959104e-09
Wu2021	high_vs_zero	LRRC57	7222	10045	0.07207268683	0.07905609171	-0.006983404876	0.1127756528	0.1551015042	-0.2617383284	0.1397119911	0.08830263813	-1.804592722	17177.84585	0.07115594431	0.09716614175	0.08639164375
Wu2021	high_vs_zero	HAUS2	7222	10045	0.08814183087	0.1127335053	-0.02459167438	0.1427808098	0.2290209642	-0.4385251204	0.1552201606	0.1196615231	-5.412338094	17260.83664	6.303687975e-08	1.729208395e-07	1.166492155e-07
Wu2021	high_vs_zero	CDAN1	7222	10045	0.009214776073	0.01318546588	-0.003970689811	0.01422703181	0.02536750624	-0.1342593626	0.01910828025	0.01513190642	-2.584256223	17233.2524	0.00976707362	0.01549744499	0.01296020925
Wu2021	high_vs_zero	TTBK2	7222	10045	0.04371080568	0.04529694301	-0.001586137332	0.07302271722	0.08532292226	-0.09907986617	0.07532539463	0.0518666003	-0.513153903	16619.33012	0.6078504893	0.659474872	0.6399736536
Wu2021	high_vs_zero	UBR1	7222	10045	0.09707268387	0.1016854143	-0.004612730444	0.1665129297	0.1991478907	-0.1666533644	0.1568817502	0.1074166252	-1.000200294	16741.44621	0.3172280431	0.3730074995	0.3516424409
Wu2021	high_vs_zero	TMEM62	7222	10045	0.106841912	0.08646726185	0.0203746501	0.1827864055	0.171113299	0.06081688276	0.1685128773	0.09158785465	4.462628187	15912.57069	8.151614301e-06	1.864726603e-05	1.351277004e-05
Wu2021	high_vs_zero	CCNDBP1	7222	10045	0.1879655558	0.1394378062	0.0485277496	0.3152586749	0.2836058035	0.1143857603	0.3004707837	0.1485316078	8.598324486	16108.16124	8.822729463e-18	4.397168624e-17	2.404994014e-17
Wu2021	high_vs_zero	LCMT2	7222	10045	0.02227442941	0.01759079642	0.004683632998	0.03768972116	0.03517521631	0.02659019808	0.04347826087	0.02020905923	2.205458322	15832.26373	0.02743626621	0.04039413061	0.03484699527
