cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_low_detected	USF1	7222	7222	0.08688791636	0.07324377064	0.01364414571	0.158372124	0.1040572218	0.3404766546	0.1170036001	0.1512046525	3.320802901	13043.89601	0.0009000528779	0.001505223411	0.001302098384
Wu2021	high_vs_low_detected	ARHGAP30	7222	7222	0.02525110012	0.04628139443	-0.02103029431	0.04239221147	0.06391548359	-0.2030819027	0.04278593187	0.1045416782	-8.365076925	14337.41057	6.557052278e-17	2.790341043e-16	1.738735234e-16
Wu2021	high_vs_low_detected	NECTIN4	7222	7222	0.3680995448	0.4120288612	-0.04392931642	0.720948017	0.7367572037	-0.02751819378	0.4289670451	0.5476322348	-5.229765461	14327.34792	1.721140128e-07	4.031594206e-07	3.118236189e-07
Wu2021	high_vs_low_detected	KLHDC9	7222	7222	0.2312323643	0.1853326624	0.04589970192	0.4143499657	0.303867258	0.3488691188	0.3073940737	0.2748546109	7.130499145	14029.69456	1.048964382e-12	3.477755289e-12	2.384169094e-12
Wu2021	high_vs_low_detected	PFDN2	7222	7222	0.9365957094	1.101776076	-0.1651803661	2.705305241	3.315734009	-0.2840378764	0.7484076433	0.8935198006	-13.36125264	14361.34342	1.776408724e-40	2.16409692e-39	8.603743717e-40
Wu2021	high_vs_low_detected	NIT1	7222	7222	0.1816371037	0.2220022637	-0.04036516	0.3159442018	0.3490946131	-0.1106294106	0.2772085295	0.3882581002	-6.787373078	14403.4725	1.186568547e-11	3.704496014e-11	2.589640031e-11
Wu2021	high_vs_low_detected	DEDD	7222	7222	0.1907723095	0.2478751552	-0.05710284565	0.3695585696	0.4273812389	-0.1675411281	0.2641927444	0.3922736084	-8.514438955	14440.56638	1.837453569e-17	8.052272445e-17	4.958097487e-17
Wu2021	high_vs_low_detected	UFC1	7222	7222	1.108050357	1.125817729	-0.01776737206	2.790723654	2.633880003	0.08048077609	0.8129327056	0.9149819994	-1.66649167	14071.89947	0.09563778137	0.1219172348	0.1142861607
Wu2021	high_vs_low_detected	USP21	7222	7222	0.07579775811	0.0881006111	-0.01230285299	0.1351882089	0.125177611	0.06275234239	0.1073109942	0.1752977015	-3.066903715	14051.47311	0.002166995693	0.003469004101	0.003043155163
Wu2021	high_vs_low_detected	PPOX	7222	7222	0.1078823863	0.1182992344	-0.01041684814	0.1802091118	0.1664029017	0.07289407325	0.179036278	0.2478537801	-2.358718281	14066.16461	0.01835176895	0.0260470949	0.02369352228
Wu2021	high_vs_low_detected	B4GALT3	7222	7222	0.3784074203	0.4028566219	-0.02444920157	0.700884076	0.655836768	0.08351873403	0.4736914982	0.5877873165	-3.159829061	14105.86091	0.001581952104	0.002576357393	0.002245763669
Wu2021	high_vs_low_detected	ADAMTS4	7222	7222	0.0303275792	0.02982357583	0.0005040033749	0.05822948001	0.04826100792	0.09387919154	0.03724729992	0.05483245638	0.1829171634	13949.14973	0.854865674	0.8753083754	0.8709117573
Wu2021	high_vs_low_detected	NDUFS2	7222	7222	0.5125717717	0.5604421871	-0.04787041535	1.01631971	1.015005651	0.001699247715	0.5566325118	0.6895596788	-5.329684954	14242.89426	9.988278884e-08	2.385324212e-07	1.830146179e-07
Wu2021	high_vs_low_detected	FCER1G	7222	7222	0.03121620373	0.02400350069	0.007212703037	0.07055299176	0.03718182058	0.3141307549	0.053032401	0.05400166159	2.687280398	12768.23356	0.007212978106	0.01082764851	0.009687559477
Wu2021	high_vs_low_detected	TOMM40L	7222	7222	0.02699030783	0.03367123695	-0.006680929121	0.04226963409	0.04410490916	-0.01849171691	0.05150927721	0.08972583772	-3.008817695	14199.9583	0.002627263309	0.004164601399	0.003665414542
Wu2021	high_vs_low_detected	PCP4L1	7222	7222	0.009292446101	0.01387592239	-0.00458347629	0.01463777448	0.02093100741	-0.07710170017	0.01924674605	0.02852395458	-3.035233296	14095.6895	0.00240788059	0.003835201235	0.003369673402
Wu2021	high_vs_low_detected	MPZ	7222	7222	0.01829666906	0.03946887719	-0.02117220813	0.07112540944	0.1617049875	-0.612887426	0.01398504569	0.03115480476	-5.344989272	12632.11622	9.199505733e-08	2.203461738e-07	1.688573079e-07
Wu2021	high_vs_low_detected	SDHC	7222	7222	0.9752025678	0.9909626804	-0.01576011261	2.343312099	2.108218512	0.1459552194	0.7773469953	0.9022431459	-1.546144059	13684.34417	0.1220929044	0.1528707751	0.1439816159
Wu2021	high_vs_low_detected	FCGR2A	7222	7222	0.02405968506	0.01615818573	0.00790149933	0.04573346376	0.02280001805	0.2470214187	0.03641650512	0.03350872335	3.668080502	12331.07031	0.0002454068809	0.0004362722398	0.0003697786006
Wu2021	high_vs_low_detected	HSPA6	7222	7222	0.3229336065	0.2176180672	0.1053155393	1.781853841	0.9373587536	0.8592396685	0.1959291055	0.1754361673	8.759420878	13522.41696	2.193485785e-18	1.015996375e-17	6.09229677e-18
Wu2021	high_vs_low_detected	FCGR3A	7222	7222	0.008595247768	0.006943095586	0.001652152182	0.01702479622	0.009653185066	0.09386653459	0.0128773193	0.01716975907	1.22035042	12418.12767	0.2223552369	0.2646160008	0.2526253232
Wu2021	high_vs_low_detected	FCRLB	7222	7222	0.05889519152	0.03645759797	0.02243759355	0.1099689624	0.056844652	0.4208397465	0.08404873996	0.07255607865	6.652040745	12586.02456	3.010157912e-11	9.210146885e-11	6.463859222e-11
Wu2021	high_vs_low_detected	DUSP12	7222	7222	0.1792674177	0.1778890343	0.001378383456	0.3141377456	0.2555721891	0.2199682108	0.260315702	0.3503184713	0.2487084035	13637.79934	0.803590093	0.8311071735	0.8241629969
Wu2021	high_vs_low_detected	ATF6	7222	7222	0.2874596614	0.2491366701	0.0383229913	0.5251990922	0.3789702486	0.3843796384	0.3888119634	0.4408751038	5.686840012	13535.32881	1.320873386e-08	3.386031828e-08	2.529320385e-08
Wu2021	high_vs_low_detected	OLFML2B	7222	7222	0.01091626216	0.03456988132	-0.02365361916	0.02392298871	0.07717570478	-0.515736944	0.01536970368	0.04403212407	-8.562279838	11274.31804	1.25001408e-17	5.526178249e-17	3.389947337e-17
Wu2021	high_vs_low_detected	NOS1AP	7222	7222	0.1060893939	0.09523059374	0.01085880019	0.1745284009	0.1417026411	0.1837221711	0.1703129327	0.1736361119	2.489122586	14116.86073	0.01281730773	0.01858139473	0.01679452966
Wu2021	high_vs_low_detected	C1orf226	7222	7222	0.02656975613	0.02211801852	0.00445173761	0.04180568104	0.02992283715	0.1262602888	0.04680144004	0.05012461922	2.118285188	13526.77568	0.03416910561	0.04666358719	0.04292611308
Wu2021	high_vs_low_detected	UHMK1	7222	7222	0.4451507489	0.3965549117	0.04859583726	0.8554035467	0.6267171662	0.394716247	0.526170036	0.6099418444	6.15710405	13414.88445	7.6200705e-10	2.124745956e-09	1.542178948e-09
Wu2021	high_vs_low_detected	UAP1	7222	7222	0.5411896747	0.5955399668	-0.05435029216	1.07478396	1.059923774	0.01836547313	0.5776793132	0.7283301025	-6.114021004	14069.19568	9.972037582e-10	2.759941504e-09	2.006768202e-09
Wu2021	high_vs_low_detected	DDR2	7222	7222	0.03431538711	0.07707777283	-0.04276238572	0.055339764	0.1126842838	-0.4532862508	0.05483245638	0.1470506785	-13.39467454	13519.12184	1.179678674e-40	1.439544186e-39	5.729573014e-40
