cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	same_cohort_postselection	normal_source_confounding	degrees_freedom	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	bootstrap_valid	seed	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC2A7	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	0.004196786087297469	0.0020464942106343665	0.006347077963960571	0.00021528970421715382	0.0005754859401189304	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:155184	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC2A8	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.09238361300177989	-0.34686958175121557	0.1621023557476558	0.4176054235169495	0.4681222086198063	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:29988	True	True	6.837766747751919	Welch_t	analytic_Welch_t95	-0.2697688514445779	0.11327980667712209	4000.0	2143172349.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC2A8	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.08800825084745886	-0.3000601302852851	0.12404362859036736	0.41104736587042845	0.46451694191861426	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:29988	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC45A1	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-1.039985345315816	-1.3487465847497888	-0.7312241058818435	0.00020043798704070436	0.0008706525062080595	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:50651	True	True	5.768034886878556	Welch_t	analytic_Welch_t95	-1.2658076645247736	-0.825074431187386	4000.0	3311589844.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC45A1	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-1.037753550145524	-1.3197665235136107	-0.7557405767774371	2.0962052854469002e-10	1.2668371072918223e-09	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:50651	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC45A2	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	0.010434143456018397	-0.11051784249949731	0.1313861294115341	0.8397209686396495	0.8710538406038155	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:51151	True	True	5.983802559860779	Welch_t	analytic_Welch_t95	-0.0826280710818138	0.09800824903614959	4000.0	2099869239.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC45A2	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	0.0120081779189933	-0.08905979894138683	0.11307615477937341	0.8135755444081243	0.8502782005468367	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:51151	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC5A1	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.011408007300055168	-0.024205627802676814	0.0013896132025664788	0.07134672686449231	0.11142915768724079	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:6523	True	True	5.545859655823067	Welch_t	analytic_Welch_t95	-0.019998986732904685	-0.0019484231749570416	4000.0	3517476041.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC5A1	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.011000729605685912	-0.021160605726605733	-0.0008408534847660926	0.03420675131294952	0.05728600521084318	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:6523	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC5A11	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.5212191404154112	-1.7321839509638803	0.689745670133058	0.3206935876309159	0.38099494598886585	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:115584	True	True	5.108825626628762	Welch_t	analytic_Welch_t95	-1.4883706920100634	0.046108770118347776	4000.0	4046580239.0	142.0
