module	moduleSize	Zsummary.pres	Zdensity.pres	Zconnectivity.pres	Z.propVarExplained.pres	Z.meanSignAwareKME.pres	Z.meanSignAwareCorDat.pres	Z.meanAdj.pres	Z.meanMAR.pres	Z.bicor.kIM	Z.bicor.kME	Z.bicor.kMEall	Z.bicor.bicor	Z.bicor.MAR
black	227	2.42798135608571	4.3069244361574	0.549038276014021	3.09249607562186	5.30411817818729	8.69930935157223	3.3097306941275	-0.167039014649876	0.549038276014021	0.185258666966576	18.111429928666	8.17114319111235	1.13438913502127
blue	603	15.0208276497119	23.8367099422846	6.20494535713926	18.1385241926691	17.2534508619458	29.5348956919	31.852064185857	7.98559424791816	5.05727842180428	6.20494535713926	70.8502292182112	13.190482826519	4.99558103494793
brown	454	16.01259227731	21.3476035476222	10.6775810069978	15.9532340800869	13.8198712473718	28.0948923095804	26.7419730151576	5.07752355829957	7.6017863647676	10.6775810069978	83.3808238342984	19.1619651761462	9.55202902143557
cyan	56	4.21308230192689	4.47699303115435	3.94917157269944	2.02539643892312	2.95524423747484	5.99874182483385	6.30089008770676	6.02296764087495	3.94917157269944	3.52810806229936	45.8942880743948	5.53397749536421	4.53204846744802
gold	1000	9.4049519614521	2.9269824353177	15.8829214875865	-0.381725789400038	4.86906012761867	37.3354002000541	0.984904743016725	0.887150547737953	7.35605882790505	15.8829214875865	41.5240545713776	75.2239529224218	6.31590959345497
green	292	14.8964537207952	21.1785035055002	8.61440393609029	14.788345272647	10.4712026637741	27.5686617383533	34.6268181653517	8.38598057787173	6.43867938600972	8.61440393609029	79.5466075967207	15.9084946041603	6.01167184711368
greenyellow	154	17.0204110138909	24.1251016210621	9.91572040671978	17.7259430102755	11.1062886594484	30.5242602318487	55.9036148691736	17.6975039902405	7.48546844409172	9.91572040671978	84.7186366116376	16.1711455350448	7.15371410137055
grey	1000	10.4771148149815	3.89274902950097	17.0614806004621	-0.905914887960461	7.2120668423507	26.4318552455165	0.573431216651232	-3.91725005683892	9.58261517644047	17.0614806004621	49.9458605954134	38.4054748922547	7.01764875834447
grey60	3	1.71788142217757	2.34712022963724	1.08864261471791	2.24544809022259	1.65222566366898	2.44879236905189	6.50600790147811	9.63460068732663	1.16716079062686	-1.11399340480967	91.944168558264	1.08864261471791	1.258486441888
lightcyan	32	6.77812401108375	11.822286396669	1.73396162549851	9.32629531766334	4.38473660747099	14.3182774756746	43.2658686184969	19.5989022984195	1.73396162549851	1.63802804938061	67.8635562387111	5.75770716607983	1.48311584113315
magenta	172	3.85165737112646	5.48767824722924	2.21563649502368	2.56080281662008	4.33187678754722	8.34779810430044	6.64347970691127	2.99682788791685	2.21563649502368	-0.482199804646888	71.9616488998857	7.26736970833599	1.3248515830613
midnightblue	44	7.22765324320334	11.4133334810414	3.04197300536527	9.07957061240839	5.63380768434889	13.7470963496745	27.5883929477918	11.7179276282251	3.04197300536527	2.75686588300965	45.318212440873	9.56653968822462	2.57573017221246
pink	212	1.32053024543213	0.997176730286902	1.64388376057737	-0.591507758912754	2.08630997031244	2.0775986231657	-0.083245162591898	0.0353308883311636	-0.554732566182874	1.64388376057737	21.1068817849558	6.09233578442336	-0.722402789353956
purple	170	6.93324018890306	4.69820784081985	9.16827253698627	3.88113678503487	2.81464509519995	5.51527889660483	6.79318564509808	5.72219231410331	5.77750619500918	9.16827253698627	17.2593570438108	15.3994232153763	5.97185831431488
red	246	5.83665762611191	6.14653490936653	5.52678034285728	2.8865823334886	5.0741380654844	9.76114096649344	7.21893175324867	5.08844653595521	4.70894257687357	5.52678034285728	52.5466749343519	13.9697236906496	2.87390900104541
salmon	132	13.624602946352	19.3533153953655	7.89589049733842	13.0286492380368	8.66293944970075	25.6779815526942	38.8112387254638	10.3374256475145	4.33738364143873	7.89589049733842	81.48389232542	17.1851592163083	3.68864327193369
tan	145	1.92450996785048	-0.308731010262475	4.15775094596344	-0.127776675889286	-3.65017037098973	0.885859661836823	-0.489685344635663	-0.255452873175974	1.08064576624884	4.15775094596344	14.5005077188209	6.61626064051754	1.33366545199696
turquoise	742	20.9501633620161	20.148502457964	21.7518242660681	13.5177179848705	14.6590857713351	31.12924642879	25.637919144593	7.23010667172897	13.8950777495869	21.7518242660681	94.2596999250428	31.1320691239171	11.8636492049446
yellow	301	10.8138353252652	18.6152907378043	3.01237991272615	11.2433246430664	10.3981177960889	25.9872568325421	27.9021511663242	7.46176865199018	3.01237991272615	2.82770831756463	57.434073353736	13.3333497863578	3.16921735163201
