module	GO	description	overlap	module_annotated_genes	term_universe_genes	universe_genes	p	genes	q_all_module_terms
pink	GO:1902807	negative regulation of cell cycle G1/S phase transition	0	199	35	5553	1		1
pink	GO:1902808	positive regulation of cell cycle G1/S phase transition	0	199	24	5553	1		1
pink	GO:1902850	microtubule cytoskeleton organization involved in mitosis	6	199	86	5553	0.0870668284141453	CHMP2A;CHMP5;MAPRE1;CHMP3;CHMP4A;DCTN6	1
pink	GO:1902893	regulation of miRNA transcription	0	199	33	5553	1		1
pink	GO:1902894	negative regulation of miRNA transcription	0	199	12	5553	1		1
pink	GO:1902895	positive regulation of miRNA transcription	0	199	24	5553	1		1
pink	GO:1902903	regulation of supramolecular fiber organization	6	199	161	5553	0.52082144391391	RHOC;ARF6;CTTN;MAPRE1;PFDN6;ARL2	1
pink	GO:1902904	negative regulation of supramolecular fiber organization	2	199	66	5553	0.691221657431968	MAPRE1;PFDN6	1
pink	GO:1902905	positive regulation of supramolecular fiber organization	5	199	77	5553	0.141183262483058	RHOC;ARF6;CTTN;MAPRE1;ARL2	1
pink	GO:1902914	regulation of protein polyubiquitination	0	199	18	5553	1		1
pink	GO:1902916	positive regulation of protein polyubiquitination	0	199	11	5553	1		1
pink	GO:1902930	regulation of alcohol biosynthetic process	0	199	11	5553	1		1
pink	GO:1902991	regulation of amyloid precursor protein catabolic process	0	199	20	5553	1		1
pink	GO:1902992	negative regulation of amyloid precursor protein catabolic process	0	199	12	5553	1		1
pink	GO:1903008	organelle disassembly	2	199	98	5553	0.872420891547498	CTTN;FUNDC1	1
pink	GO:1903018	regulation of glycoprotein metabolic process	1	199	19	5553	0.50069609178015	RAB1A	1
pink	GO:1903020	positive regulation of glycoprotein metabolic process	1	199	10	5553	0.305973632139476	RAB1A	1
pink	GO:1903034	regulation of response to wounding	3	199	50	5553	0.265829197196438	VKORC1;SRSF6;MAP2K1	1
pink	GO:1903035	negative regulation of response to wounding	0	199	20	5553	1		1
pink	GO:1903036	positive regulation of response to wounding	0	199	28	5553	1		1
pink	GO:1903037	regulation of leukocyte cell-cell adhesion	2	199	118	5553	0.929448037332212	HES1;CEBPB	1
pink	GO:1903038	negative regulation of leukocyte cell-cell adhesion	1	199	38	5553	0.751301381994663	CEBPB	1
pink	GO:1903039	positive regulation of leukocyte cell-cell adhesion	1	199	91	5553	0.9648701814286	HES1	1
pink	GO:1903046	meiotic cell cycle process	3	199	60	5553	0.364786988264978	ACTR2;SIRT7;TERF1	1
pink	GO:1903047	mitotic cell cycle process	12	199	359	5553	0.643035737448274	CHMP2A;CHMP5;RHOC;MAPRE1;CHMP3;CHMP4A;BOD1;BABAM1;DCTN6;SIRT7;RAD9A;BABAM2	1
pink	GO:1903050	regulation of proteolysis involved in protein catabolic process	4	199	127	5553	0.673922783494481	STUB1;RAD23B;SVIP;UBQLN2	1
pink	GO:1903051	negative regulation of proteolysis involved in protein catabolic process	1	199	39	5553	0.760275275917249	SVIP	1
pink	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	2	199	74	5553	0.750141422303621	STUB1;UBQLN2	1
pink	GO:1903053	regulation of extracellular matrix organization	1	199	16	5553	0.442735211515897	IER3IP1	1
pink	GO:1903055	positive regulation of extracellular matrix organization	1	199	11	5553	0.330889967554278	IER3IP1	1
pink	GO:1903076	regulation of protein localization to plasma membrane	2	199	51	5553	0.550877001376138	LYPLA1;ARF6	1
pink	GO:1903077	negative regulation of protein localization to plasma membrane	1	199	15	5553	0.421964338148537	LYPLA1	1
pink	GO:1903078	positive regulation of protein localization to plasma membrane	1	199	26	5553	0.613659421097603	ARF6	1
pink	GO:1903115	regulation of actin filament-based movement	0	199	17	5553	1		1
pink	GO:1903131	mononuclear cell differentiation	3	199	153	5553	0.917427570931863	TPD52;CEBPB;PPP2R3C	1
pink	GO:1903146	regulation of autophagy of mitochondrion	1	199	22	5553	0.552655617817712	CTTN	1
pink	GO:1903169	regulation of calcium ion transmembrane transport	0	199	33	5553	1		1
pink	GO:1903170	negative regulation of calcium ion transmembrane transport	0	199	13	5553	1		1
pink	GO:1903214	regulation of protein targeting to mitochondrion	0	199	27	5553	1		1
pink	GO:1903232	melanosome assembly	0	199	11	5553	1		1
pink	GO:1903241	U2-type prespliceosome assembly	1	199	22	5553	0.552655617817712	SNRPE	1
pink	GO:1903307	positive regulation of regulated secretory pathway	1	199	11	5553	0.330889967554278	RAB27A	1
pink	GO:1903311	regulation of mRNA metabolic process	5	199	165	5553	0.711892377222595	EIF4A3;SRSF6;ALKBH5;TARDBP;RBM7	1
pink	GO:1903312	negative regulation of mRNA metabolic process	2	199	48	5553	0.517968285533118	SRSF6;TARDBP	1
pink	GO:1903313	positive regulation of mRNA metabolic process	1	199	79	5553	0.94518976324629	TARDBP	1
pink	GO:1903317	regulation of protein maturation	0	199	32	5553	1		1
pink	GO:1903318	negative regulation of protein maturation	0	199	15	5553	1		1
pink	GO:1903319	positive regulation of protein maturation	0	199	11	5553	1		1
pink	GO:1903320	regulation of protein modification by small protein conjugation or removal	4	199	143	5553	0.760861637281748	STUB1;SIRT7;NDFIP2;ARRDC3	1
pink	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	1	199	53	5553	0.856796007816466	SIRT7	1
pink	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	3	199	72	5553	0.480176631189671	STUB1;NDFIP2;ARRDC3	1
pink	GO:1903350	response to dopamine	0	199	12	5553	1		1
pink	GO:1903351	cellular response to dopamine	0	199	12	5553	1		1
pink	GO:1903405	protein localization to nuclear body	0	199	10	5553	1		1
pink	GO:1903409	reactive oxygen species biosynthetic process	2	199	15	5553	0.0988488979562862	COA8;RAB27A	1
pink	GO:1903421	regulation of synaptic vesicle recycling	0	199	11	5553	1		1
pink	GO:1903432	regulation of TORC1 signaling	2	199	45	5553	0.483506499642339	MAPK3;UBE2W	1
pink	GO:1903504	regulation of mitotic spindle checkpoint	0	199	10	5553	1		1
pink	GO:1903509	liposaccharide metabolic process	2	199	37	5553	0.384771934816286	DPM1;HEXA	1
pink	GO:1903513	endoplasmic reticulum to cytosol transport	2	199	21	5553	0.172406519227862	SVIP;NPLOC4	1
pink	GO:1903522	regulation of blood circulation	1	199	48	5553	0.82783886475027	ATP1A1	1
pink	GO:1903531	negative regulation of secretion by cell	2	199	42	5553	0.447574183153538	RAP1A;STXBP3	1
