gene	module	kME	rank_in_module	Pal_kME
PDCD5	green	0.654440614333705	44	0.458904847662711
FAU	purple	0.781400954203476	36	0.550969726071266
HIGD2A	turquoise	0.335338447698343	673	0.139979095931195
CBX3	red	0.727004562596196	25	0.140404364191046
SNRPD1	blue	0.535941816750581	198	0.507067081896799
RPN2	black	0.788005231310156	5	0.615341288263446
CLTA	green	0.574729004369667	95	0.525693454686522
VPS28	turquoise	0.443993051415498	429	0.366485271736734
MRPL13	red	0.74131203515429	20	0.574624593577699
SDHC	blue	0.432932065661756	380	0.393419858500723
HNRNPU	grey	NA	NA	NA
RBM39	turquoise	0.486571159647883	345	0.316277431021578
RSL1D1	grey	NA	NA	NA
C19orf53	grey	NA	NA	NA
HNRNPDL	tan	0.590936135008489	36	0.40507080189167
RBX1	red	0.678806112302124	37	0.697926526840169
LTF	grey	NA	NA	NA
HDLBP	green	0.549525477562802	116	0.197942404165329
C4orf3	grey	NA	NA	NA
MRPL41	magenta	0.472052698362805	119	0.408902843101288
TUBA1C	green	0.551424565322981	114	0.592719178514742
LAMTOR5	blue	0.691679729276446	43	0.297325133003575
XIST	turquoise	0.736188702682909	38	0.186224332533875
DDT	purple	0.358764446332659	143	-0.0949488294917643
RAD21	greenyellow	0.397891481673265	145	0.586214007650109
CYC1	blue	0.630103256296503	93	0.347693350697472
VAPA	red	0.46127187128502	159	0.192040141738906
PSMB3	blue	0.681670682700426	46	0.411566629291888
FDPS	blue	0.568354850324377	156	0.470293767445829
LSM3	red	0.811072190414849	2	0.55632331938149
NPC2	grey	NA	NA	NA
COX7A2L	blue	0.496186063653549	268	0.352131896963424
NDUFC1	magenta	0.679831844438713	22	0.475701875414709
SNRPD3	blue	0.509789952536453	244	0.600617107899299
HNRNPC	grey	NA	NA	NA
NAXE	magenta	0.46799181728315	120	0.328615279934945
AURKAIP1	blue	0.698785432050774	38	0.343902705315711
CKB	green	0.405816777891262	266	0.466910077826187
PPP4C	red	0.71034888626391	28	0.400002325663796
CANX	turquoise	0.361500005093556	616	0.356054120995676
ARPC5	blue	0.668403455774791	59	0.580982603190754
SDC4	turquoise	0.575079135135131	218	0.245787025015991
CRYAB	lightcyan	0.570961790150122	6	0.899285900277647
DYNLRB1	grey	NA	NA	NA
ITGB1	salmon	0.586475810527048	42	0.309720444645742
TECR	grey	NA	NA	NA
RAB13	grey	NA	NA	NA
MTCH1	green	0.742710021619522	11	0.460358226975212
TMEM219	turquoise	0.518891970533263	287	0.391498942041012
TMED9	black	0.753521059060441	8	0.265034643184502
LAMTOR2	magenta	0.70374473902473	16	0.47628556191229
ENY2	red	0.701009557558841	30	0.517026883455194
RPL15	purple	0.672445375397249	63	0.719122786031824
SOD2	salmon	0.67528439597681	12	0.652927987030992
BUB3	red	0.334649114627351	237	0.419214681597417
PDCD6	red	0.575122727424242	89	0.58180768817124
RPL10	purple	0.711600804521729	53	0.674184026002716
CD46	turquoise	0.676701108928446	77	0.527038216017401
SRSF7	greenyellow	0.440443813365876	131	0.372842282129233
SET	greenyellow	0.498559907822532	98	0.225785941060614
EIF3I	green	0.702840497495936	23	0.440078345464384
KLF4	yellow	0.688774833743117	40	0.625038934730962
ENSA	magenta	0.571557250449335	61	0.428319892813633
BNIP3	grey	NA	NA	NA
PSMB6	blue	0.791035752109645	7	0.345643986649462
RPL32	purple	0.692631456340054	57	0.844985791316969
SERF2	red	0.522097096950283	111	0.417795881602865
YWHAE	grey	NA	NA	NA
NDUFS8	grey	NA	NA	NA
PSMB5	blue	0.724234269408177	25	0.507266377224805
LAMTOR4	turquoise	0.3586891146905	620	0.347110192109137
CALU	grey	NA	NA	NA
ATP6V1F	pink	0.464414657394732	143	-0.0180800139147182
CHMP2A	pink	0.498479409818273	125	0.133112054186105
MCL1	yellow	0.748520498843008	19	0.70541618209779
PTMA	greenyellow	0.502211287671047	96	0.481958050895381
PSMA4	blue	0.677712645549272	51	0.739029104713724
HDAC2	blue	0.763664723237337	14	0.509313215903245
BZW1	magenta	0.570092977676584	64	0.14057342828572
C1orf43	tan	0.34390826150117	129	0.27489292790855
GADD45GIP1	grey	NA	NA	NA
PAFAH1B3	brown	0.420288618280084	328	-0.108975652324223
NAMPT	yellow	0.407597279929691	267	0.352592584522047
NDUFA2	magenta	0.757897253052582	7	0.685597921831557
RNF7	grey	NA	NA	NA
RBIS	red	0.399462681739026	193	0.385771825389974
CXCL14	turquoise	0.329734275746837	681	0.178798678172677
MAL2	salmon	-0.19508531080817	130	0.165874809261499
DSP	brown	0.545509110739659	129	0.400497964472832
NPDC1	brown	0.701238913397721	15	0.430728016284799
MORF4L1	blue	0.629175961613959	94	0.328472954729886
EIF4B	purple	0.787703805076287	34	0.381000621915544
PGRMC1	grey	NA	NA	NA
ANP32B	green	0.629453395063154	55	0.651412645979849
MDH1	blue	0.845320975210264	1	0.670458866953446
PSMD3	blue	0.350645730773554	544	0.280713396898833
PRDX4	blue	0.319640913607261	580	0.536107540908714
ARMT1	turquoise	0.732382375388035	39	0.550771643803431
MRPL57	magenta	0.517264089801553	91	0.432271576338028
PCBD1	grey	NA	NA	NA
DRAP1	blue	0.382101018975133	492	-0.0601690733409563
AKAP9	brown	0.613475307692257	57	0.390376241252246
MRPS34	black	0.411282108190798	182	0.160596439495072
CCNL1	yellow	0.738136753999359	22	0.673480463624638
SLIRP	red	0.736245278479427	21	0.395889293870075
DEK	greenyellow	0.754781131382802	15	0.564720212800921
DNAJB6	magenta	0.55042449396518	71	-0.174759591021073
TMEM50A	magenta	0.335256026326898	170	-0.120639755753713
SEC62	black	0.811274541992907	2	0.265570583958427
STMP1	red	0.557708328607583	94	0.402059377969203
AKR1A1	cyan	0.559085474414241	22	0.380472960175288
CAPN2	grey	NA	NA	NA
LAMP1	black	0.482215853136023	126	0.55324966777987
SSU72	green	0.615056773645119	62	0.425603269540077
TMEM230	magenta	0.45725937898369	127	0.171895859657369
SMS	blue	0.31477385581165	589	0.298043748730388
CALM3	blue	0.648125163450112	73	0.0179852154815129
TMEM14C	grey	NA	NA	NA
MORF4L2	pink	0.459342103480471	148	0.448142988499147
ATP5PO	pink	0.951635686590054	1	0.290170651951124
NDUFA5	pink	0.672815030792573	52	0.169014650682688
SERPINH1	grey	NA	NA	NA
GHITM	blue	0.71728549355717	29	0.517743010549543
SYPL1	brown	0.4546462752675	263	0.443177220108837
CSNK1A1	turquoise	0.627099550082321	150	0.351966568604754
UBE2D3	grey	NA	NA	NA
OSTC	red	0.477475687150058	148	0.405958452001483
MRPL20	red	0.480704698498595	145	0.526393959838029
TYMP	midnightblue	0.515435043522482	30	0.509139807573248
SEC11A	purple	0.465498460888493	115	0.0295231890540468
TPD52	pink	0.71179295474371	36	0.417654642854717
SCAND1	brown	0.409915872751017	347	0.0566058949874673
RBM17	green	0.600838806676458	73	0.398385991508542
METTL26	turquoise	0.463913180686443	394	0.218829563242432
PSMD4	blue	0.7393738250236	21	0.399136750873915
CAPZB	green	0.624331991399983	58	0.435780922215892
HEBP2	grey	NA	NA	NA
C11orf58	black	0.655414994472212	30	0.26073996306878
TIMM13	grey	NA	NA	NA
PPP1CA	blue	0.815998765996755	4	0.488244162550558
CCT2	blue	0.587690194329829	130	0.458662219728871
ATP5PB	blue	0.566023498643146	159	0.60498522067751
TCEA1	grey	NA	NA	NA
NDUFA6	red	0.796994145519907	8	0.594154362810906
NENF	grey	NA	NA	NA
LAGE3	red	0.449187441647772	167	0.516598190173556
EIF2S2	blue	0.735335206659234	23	0.161428818468212
SERPINB3	lightcyan	0.26277079570971	28	0.0324215434593307
RTRAF	purple	0.318814216812452	164	0.0695320017291563
SUMO1	magenta	0.42384136350082	143	-0.0222220965588112
SF3B5	green	0.537046803765847	123	0.307438732217539
ECH1	pink	0.829481253345343	15	0.393026386118005
CCT4	blue	0.441934681973461	357	0.586575238725659
EIF4G2	grey	NA	NA	NA
PIM3	turquoise	0.510150322285562	297	-0.0162703619876277
ANAPC16	blue	0.466551016706777	309	0.0373147432704338
CITED2	grey	NA	NA	NA
LMAN2	black	0.813260525256117	1	0.469881323219706
CDC42	red	0.41451241456353	187	0.0902286582721747
NDUFB1	pink	0.597606712478062	79	-0.133728921929442
SLC40A1	turquoise	0.714084349576894	55	0.550038281289237
SCP2	pink	0.54099845883911	101	0.532346145692768
TTC3	brown	0.543209387910759	135	0.385166284493361
COPE	blue	0.447675794715029	350	0.524667216763155
IL6ST	turquoise	0.883184711428828	2	0.772385988170086
ARL6IP4	grey	NA	NA	NA
TFPI2	grey	NA	NA	NA
ID3	grey	NA	NA	NA
NDUFAF3	grey	NA	NA	NA
PRRC2C	grey	NA	NA	NA
RAB25	grey	NA	NA	NA
SRSF11	grey	NA	NA	NA
UBE2I	blue	0.565931794946353	160	0.353245129410925
CNN3	grey	NA	NA	NA
MRPS15	green	0.721722135792383	14	0.420969096869065
UBXN4	turquoise	0.48979736953395	337	0.123057112098858
HMGB3	red	0.515597127923414	120	0.431991844261296
RAD23A	grey	NA	NA	NA
GTF3A	blue	0.42162057344968	410	0.334280390750005
ZNHIT1	grey	NA	NA	NA
AREG	turquoise	0.472830666600575	379	0.375596963035388
RAB5IF	blue	0.697436275749452	40	0.308079704300867
TAX1BP1	pink	0.495503010152421	129	0.290275213356563
LRRFIP1	yellow	0.546717369541196	134	0.500373707761649
JUND	yellow	0.781441616711542	9	0.520402792757017
ATG5	green	0.497890633682032	178	0.550819262764682
DAZAP2	magenta	0.49133289912493	106	0.336646778406626
PGLS	greenyellow	-0.134070591654697	151	0.109333636117741
ACP1	blue	0.62651826120106	96	0.48776695464202
SQLE	blue	0.415482740858555	420	0.357594654152815
LRRC26	brown	0.667681788803255	30	0.490831313782396
LSM7	red	0.534970495463209	106	0.382563612600736
SRSF5	turquoise	0.587185886732886	206	0.374853627971591
RER1	black	0.549349214901143	73	0.312992676987219
EIF1AX	brown	0.414688778186927	338	0.183537315980147
PRR13	magenta	0.660848703598412	30	0.61850482920109
ZYX	tan	0.402824054108089	103	0.416922300915435
ELOVL5	turquoise	0.660808885640778	98	0.676333037302978
TCP1	blue	0.538499057759532	195	0.650128214671481
TMEM147	grey	NA	NA	NA
SLC25A39	green	0.470762915680672	214	0.0136093062914037
NME1	pink	0.862009685879316	10	0.343547161091664
SNRPF	red	0.304336432893245	245	0.56934502593544
LAMTOR1	grey	NA	NA	NA
POLR2F	blue	0.401013674857766	452	0.160055549322358
NDUFB3	red	0.654505267117371	51	0.545719875184704
SNRPC	blue	0.751759836915496	17	0.431191960491619
TIMM8B	red	0.670534652420111	40	0.445762677925678
BRD2	yellow	0.743775132631592	21	0.50505172642548
FKBP2	black	0.440905497714862	162	0.11501852232181
EIF3G	purple	0.444377649446483	120	0.324702188902434
SF3B2	blue	0.535798675326372	199	0.312734342754193
APH1A	grey	NA	NA	NA
MTHFD2	grey	NA	NA	NA
TMCO1	black	0.635431217123354	34	0.335499606818221
FAM162A	grey	NA	NA	NA
ADRM1	blue	0.828246869780105	3	0.4342966634065
ALKBH7	turquoise	0.448978535526541	421	0.312844325844882
CD55	yellow	0.605217136793671	82	0.371644455674255
TRIB1	yellow	0.71738294832507	29	0.598703355767258
EID1	grey	NA	NA	NA
PTP4A1	yellow	0.343718349562352	297	0.486502513207157
NECTIN2	turquoise	0.752627452015016	28	0.515189043943895
CDKN2A	salmon	0.558129887554945	52	0.57823173385964
HACD3	black	0.655135472955769	31	0.5520321036446
UQCRFS1	blue	0.701372874276847	36	0.613884397981409
CNIH4	red	0.529925568029937	108	0.412070638767706
CCN1	yellow	0.550726075927489	130	0.585575165609172
CSDE1	blue	0.355339042644374	537	0.288265166874931
PSMB9	midnightblue	0.822048366279013	3	0.687432118030467
LYPLA1	pink	0.497392237625962	127	0.498227272240242
YIF1A	black	0.568975883938562	61	0.2320518247162
NDUFA11	pink	0.825678166922756	17	-0.141614027251506
ATP6AP2	black	0.776100375792539	6	0.633675125795905
REXO2	grey	NA	NA	NA
ID2	grey	NA	NA	NA
PRMT1	blue	0.798365230040123	6	0.473516262756073
CRACR2B	brown	0.536754937454419	144	0.373600843814347
RPN1	tan	0.50911237200932	62	0.470482862141972
ATF4	purple	0.413869952229953	129	0.17010394574469
UBE2D2	grey	NA	NA	NA
ATRAID	red	0.626430778985405	65	0.413871703359884
TOMM22	purple	0.636349748466031	72	0.122502633945297
UCP2	cyan	0.507078998072841	35	0.545178810494126
NUTF2	green	0.685681171877306	31	0.270223004875918
HMGB2	greenyellow	0.664966485782282	33	0.577268381538696
CLNS1A	blue	0.373511086075351	512	0.307228463138352
FBL	purple	0.520501556084533	97	0.462948213079447
PDAP1	green	0.657254073730592	43	0.177959522375957
SMIM26	magenta	0.428796183314628	140	0.273564146813996
PARP1	grey	NA	NA	NA
H2AC6	brown	0.530706500065872	150	0.065859829023207
RALY	green	0.494043848474773	184	0.345649402671572
MRPL14	red	0.650885283738899	54	0.649893566851212
CAMTA1	blue	0.435885088306372	373	0.310874047001198
TXNL1	blue	0.426839669208462	395	0.579627567533029
RNASET2	grey	NA	NA	NA
SELENOK	magenta	0.619587795406879	47	0.189313900675905
CCDC85B	purple	0.581136983501191	81	0.137542793477963
RAB11A	grey	NA	NA	NA
COMT	grey	NA	NA	NA
CRYBG1	grey	NA	NA	NA
ECHS1	green	0.598518232421928	74	0.318022896513161
TCEAL4	turquoise	0.55705073768348	232	0.665520203314907
COX20	red	0.471256125598891	153	0.205713836551002
NET1	yellow	0.564639724473154	121	0.186983046068064
TAF1D	purple	0.467001778314342	113	0.105234112749603
MACROH2A1	blue	0.572334285374639	149	0.500249855559279
MTCH2	green	0.739272215080027	12	0.551648971409802
MRPL55	magenta	0.590528378292841	56	0.452364636238773
N4BP2L2	turquoise	0.459607881144985	403	0.315940474202067
ARL6IP5	black	0.519359525188049	98	0.547057241152172
TMEM205	turquoise	0.655360165581672	108	0.339372390270867
STUB1	pink	0.485758742683189	134	0.230541669181725
SSB	blue	0.779519604834385	8	0.667301396019977
SRRM2	grey	NA	NA	NA
NUDC	blue	0.587931704321116	129	0.509194425224935
POLR2I	blue	0.328522536777018	571	0.122952022743439
NDFIP1	turquoise	0.634876525070375	138	0.378968752789621
CEBPB	pink	0.380321392666054	193	0.117424662100645
MICOS13	turquoise	0.420857637911997	491	0.29247679194013
PAPOLA	grey	NA	NA	NA
ERP29	grey	NA	NA	NA
MAFF	yellow	0.689118560966012	39	0.691709570296244
SUMO3	grey	NA	NA	NA
OAT	grey	NA	NA	NA
MRPS16	blue	0.535593738714151	200	0.29080904886786
