cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE278688	author	ABHD16A	NK	13	13	13	3291	3.658268066676925	3.609943345491283	0.150273722805153	EVALUABLE	4.0
GSE278688	author	ABHD16A	Plasma	12	6	5	325	1.96677475464947	2.2748833283367125	0.09011284011284011	EVALUABLE	10.0
GSE278688	author	ABHD16A	Schwann	12	2	2	221	3.873627214705869	3.873627214705869	0.21989247311827959	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD16A	Stellate	13	13	13	2525	3.476577525711621	3.516408503790337	0.1935404678001567	EVALUABLE	8.0
GSE278688	author	ABHD16B	Acinar	7	2	0	284	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD16B	B	13	11	1	7396	0.02687585198762382	0.0	0.00010180189351521938	LOW_DETECTION	NA
GSE278688	author	ABHD16B	CAF	13	13	0	2423	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ABHD16B	CD4T	13	13	2	16271	0.02996432541104107	0.0	0.00011739565397886199	LOW_DETECTION	NA
GSE278688	author	ABHD16B	CD8T	13	13	2	22606	0.03023825979280219	0.0	0.00013250022196770916	LOW_DETECTION	NA
GSE278688	author	ABHD16B	Ductal	13	12	1	8370	0.006865310037234679	0.0	3.540073633531577e-05	LOW_DETECTION	NA
GSE278688	author	ABHD16B	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD16B	Endothelial	13	13	0	2011	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ABHD16B	Myeloid	13	13	1	5654	0.018052317336680872	0.0	0.0001371177841766077	LOW_DETECTION	NA
GSE278688	author	ABHD16B	NK	13	13	0	3291	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ABHD16B	Plasma	12	6	0	325	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ABHD16B	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD16B	Stellate	13	13	0	2525	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ABHD2	Acinar	7	2	2	284	3.1334637990452947	3.1334637990452947	0.200336071695295	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD2	B	13	11	11	7396	2.8796519742781386	2.8911684815516483	0.05749444089836327	EVALUABLE	9.0
GSE278688	author	ABHD2	CAF	13	13	13	2423	4.2749926767279245	4.299369399002721	0.31826148117139424	EVALUABLE	2.0
GSE278688	author	ABHD2	CD4T	13	13	13	16271	3.344029110764434	3.318723459409481	0.097535283562438	EVALUABLE	7.0
GSE278688	author	ABHD2	CD8T	13	13	13	22606	3.338579908372211	3.2873690292999673	0.0882754315212941	EVALUABLE	8.0
GSE278688	author	ABHD2	Ductal	13	12	12	8370	4.964491950715801	4.880883563645241	0.3610023004088956	EVALUABLE	1.0
GSE278688	author	ABHD2	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD2	Endothelial	13	13	13	2011	3.5251222062614747	3.5212426983115366	0.18016297610913384	EVALUABLE	6.0
GSE278688	author	ABHD2	Myeloid	13	13	13	5654	4.142966759299806	4.149826511901472	0.2806039880765263	EVALUABLE	3.0
GSE278688	author	ABHD2	NK	13	13	13	3291	4.026057728720771	4.044068891630321	0.1990642734538648	EVALUABLE	5.0
GSE278688	author	ABHD2	Plasma	12	6	4	325	0.9203068069719719	0.9322009944646485	0.030430430430430432	EVALUABLE	10.0
GSE278688	author	ABHD2	Schwann	12	2	2	221	4.216301229292303	4.216301229292303	0.2567204301075269	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD2	Stellate	13	13	13	2525	4.059762429811614	4.037228933386028	0.272617499689734	EVALUABLE	4.0
GSE278688	author	ABHD6	Acinar	7	2	2	284	1.0776708386331357	1.0776708386331357	0.020102066218571073	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD6	B	13	11	11	7396	3.029695257550983	3.073330850090097	0.06654768531399104	EVALUABLE	1.0
