cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE263733	author	AADAT	Acinar cell	8	4	4	294	1.122703406311627	0.9725767584463751	0.04014492963550526	EVALUABLE	2.0
GSE263733	author	AADAT	B cell	21	17	1	2440	0.025565525013934314	0.0	0.00048216007714561236	LOW_DETECTION	NA
GSE263733	author	AADAT	Ductal cell	21	18	18	8598	0.8217650072815994	0.813526429883384	0.043335631096597625	EVALUABLE	3.0
GSE263733	author	AADAT	Endothelial cell	13	4	3	494	0.6525461312852289	0.5299850295290907	0.016109760891240988	EVALUABLE	4.0
GSE263733	author	AADAT	Fibroblast	20	11	10	1151	1.4159779878408618	1.405106370427146	0.08399686060681986	EVALUABLE	1.0
GSE263733	author	AADAT	Myeloid	21	20	2	9381	0.021662773031589956	0.0	0.0002346301546854251	LOW_DETECTION	NA
GSE263733	author	AADAT	T cell	21	20	10	23790	0.20731244582256014	0.04675864391275005	0.003521887920881975	EVALUABLE	5.0
GSE263733	author	ABHD11	Acinar cell	8	4	3	294	1.3217251319081056	1.4488112532058568	0.04807868727397386	EVALUABLE	7.0
GSE263733	author	ABHD11	B cell	21	17	14	2440	1.4664253469993236	1.7281646516242133	0.03881616501139894	EVALUABLE	6.0
GSE263733	author	ABHD11	Ductal cell	21	18	18	8598	4.2122564322653195	4.2178371097271565	0.6575772718692808	EVALUABLE	1.0
GSE263733	author	ABHD11	Endothelial cell	13	4	4	494	1.8165744129393788	2.0175034720494613	0.08621852949071943	EVALUABLE	5.0
GSE263733	author	ABHD11	Fibroblast	20	11	11	1151	2.019574099465941	2.1519947149190894	0.13649726095859277	EVALUABLE	4.0
GSE263733	author	ABHD11	Myeloid	21	20	20	9381	2.090955549695708	2.102578072854085	0.08822619276670622	EVALUABLE	3.0
GSE263733	author	ABHD11	T cell	21	20	20	23790	2.130948792629419	1.9354263129159293	0.03635255207313805	EVALUABLE	2.0
GSE263733	author	ABHD12	Acinar cell	8	4	3	294	1.9528957736133297	2.3668648535134613	0.1317113769910821	EVALUABLE	7.0
GSE263733	author	ABHD12	B cell	21	17	17	2440	2.490609679209425	2.588862590026352	0.097506775153999	EVALUABLE	6.0
GSE263733	author	ABHD12	Ductal cell	21	18	18	8598	3.603116045478637	3.6721381107635236	0.5362879222673302	EVALUABLE	2.0
GSE263733	author	ABHD12	Endothelial cell	13	4	4	494	3.1199508333700265	3.2517806246637964	0.20881030449455437	EVALUABLE	3.0
GSE263733	author	ABHD12	Fibroblast	20	11	11	1151	2.984183963330088	2.9693574141952066	0.2833668575607184	EVALUABLE	4.0
GSE263733	author	ABHD12	Myeloid	21	20	20	9381	3.914132935068711	4.02108943635409	0.3410732747778219	EVALUABLE	1.0
GSE263733	author	ABHD12	T cell	21	20	20	23790	2.9338493184831145	2.9417515661209928	0.08358028947548349	EVALUABLE	5.0
GSE263733	author	ABHD16A	Acinar cell	8	4	3	294	0.7504534080260606	0.549138076274279	0.017374531153531828	EVALUABLE	4.0
GSE263733	author	ABHD16A	B cell	21	17	11	2440	0.658014931488295	0.6827774308081908	0.011267636464710547	EVALUABLE	7.0
GSE263733	author	ABHD16A	Ductal cell	21	18	18	8598	0.6701601028921127	0.6037287006128742	0.03843739123554472	EVALUABLE	6.0
GSE263733	author	ABHD16A	Endothelial cell	13	4	3	494	0.6713462064046702	0.7004916433194834	0.014030502185918087	EVALUABLE	5.0
GSE263733	author	ABHD16A	Fibroblast	20	11	9	1151	0.833604645644371	0.8747033460025033	0.03250879837267898	EVALUABLE	3.0
GSE263733	author	ABHD16A	Myeloid	21	20	19	9381	0.8620160148547631	0.9012470173081515	0.02024481829916938	EVALUABLE	2.0
GSE263733	author	ABHD16A	T cell	21	20	19	23790	0.9622789204309085	0.8874672811031333	0.009574062973867465	EVALUABLE	1.0
GSE263733	author	ABHD16B	Acinar cell	8	4	0	294	0.0	0.0	0.0	LOW_DETECTION	NA
GSE263733	author	ABHD16B	B cell	21	17	0	2440	0.0	0.0	0.0	LOW_DETECTION	NA
GSE263733	author	ABHD16B	Ductal cell	21	18	1	8598	0.004629809772033116	0.0	0.00026329647182727755	LOW_DETECTION	NA
GSE263733	author	ABHD16B	Endothelial cell	13	4	0	494	0.0	0.0	0.0	LOW_DETECTION	NA
GSE263733	author	ABHD16B	Fibroblast	20	11	1	1151	0.008155024923605998	0.0	0.00047348484848484844	LOW_DETECTION	NA
GSE263733	author	ABHD16B	Myeloid	21	20	5	9381	0.05287825352098187	0.0	0.0011058129300892479	EVALUABLE	1.0
GSE263733	author	ABHD16B	T cell	21	20	1	23790	0.008071271628089688	0.0	4.4014084507042256e-05	LOW_DETECTION	NA
GSE263733	author	ABHD2	Acinar cell	8	4	3	294	2.5365722491346734	3.1836215426213856	0.1968352719073347	EVALUABLE	6.0
GSE263733	author	ABHD2	B cell	21	17	15	2440	2.064040467996987	2.2611244415872287	0.07698480890733783	EVALUABLE	7.0
GSE263733	author	ABHD2	Ductal cell	21	18	18	8598	4.963413696245875	5.058374578705551	0.7930099025223155	EVALUABLE	1.0
GSE263733	author	ABHD2	Endothelial cell	13	4	4	494	3.3432987201205213	3.6637732387221384	0.29822322250345146	EVALUABLE	4.0
GSE263733	author	ABHD2	Fibroblast	20	11	11	1151	3.6846167607410507	3.7980279911501853	0.4209571203598148	EVALUABLE	3.0
GSE263733	author	ABHD2	Myeloid	21	20	20	9381	4.176174714372456	4.188308049177468	0.44574922900898617	EVALUABLE	2.0
