cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE242230	author	AADAT	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AADAT	B cell	21	14	0	1586	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AADAT	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AADAT	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AADAT	Fibroblast	18	7	6	647	1.2601611775803878	1.385430608238148	0.03444402586529532	EVALUABLE	1.0
GSE242230	author	AADAT	Malignant	25	24	20	11133	0.8656187383868209	0.8029697118725754	0.018671682210477346	EVALUABLE	2.0
GSE242230	author	AADAT	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AADAT	Monocyte/DC	25	20	1	6246	0.0142723021139723	0.0	7.849293563579278e-05	LOW_DETECTION	NA
GSE242230	author	AADAT	NK/T cell	25	21	0	9408	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AADAT	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AADAT	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AADAT	Stellate	18	2	1	264	0.3728485816897279	0.3728485816897279	0.003355704697986577	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD11	Acinar	17	1	1	91	2.997142697278509	2.997142697278509	0.05	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD11	B cell	21	14	13	1586	2.297465394352757	2.300286981734909	0.04037504742680428	EVALUABLE	4.0
GSE242230	author	ABHD11	Endothelial	18	3	3	274	2.786994064014744	2.7305577307705438	0.06225203001336211	EVALUABLE	2.0
GSE242230	author	ABHD11	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD11	Fibroblast	18	7	6	647	1.7663086621943158	2.093193302260238	0.07017916728780324	EVALUABLE	6.0
GSE242230	author	ABHD11	Malignant	25	24	24	11133	4.2696202444181806	4.230118072539013	0.3717011811768729	EVALUABLE	1.0
GSE242230	author	ABHD11	Mast	11	1	1	91	2.3195435371491993	2.3195435371491993	0.043478260869565216	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD11	Monocyte/DC	25	20	20	6246	2.5972812656767137	2.721018778402561	0.08004110555384689	EVALUABLE	3.0
GSE242230	author	ABHD11	NK/T cell	25	21	19	9408	2.0253392134797457	2.2171568761142773	0.029532715016974558	EVALUABLE	5.0
GSE242230	author	ABHD11	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD11	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD11	Stellate	18	2	2	264	2.77676558549945	2.77676558549945	0.09795461808884627	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD12	Acinar	17	1	1	91	2.3527185629430445	2.3527185629430445	0.05	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD12	B cell	21	14	12	1586	2.4236476402732587	2.6962683990773355	0.052520218520421325	EVALUABLE	7.0
GSE242230	author	ABHD12	Endothelial	18	3	3	274	3.204448534798708	3.3905705178971584	0.10031606537156952	EVALUABLE	3.0
GSE242230	author	ABHD12	Erythrocyte	12	3	1	1199	0.07673177321395945	0.0	0.0005979073243647235	LOW_DETECTION	NA
GSE242230	author	ABHD12	Fibroblast	18	7	7	647	2.8586292333877177	2.9017772397010657	0.15093661266609087	EVALUABLE	5.0
