cancer	cohort	stage_id	run_id	analysis_version	gene	comparison	n_paired_author_units	min_cells_per_group_unit	mean_delta_log1p10k	ci_lower	ci_upper	p_value	q_value	test_family	n_planned_tests	status	reason	n_evaluable_tests
PDAC	GSE263733	06_EXTERNAL	20260925T141744Z_myeloid_infercnv_v1	myeloid_infercnv_v1	SLC6A6	CNV_ABNORMAL_CANDIDATE_minus_REFERENCE_LIKE_myeloid	0	20	NA	NA	NA	NA	NA	THREE_COHORT_PRIMARY_SLC6A6	3	NOT_EVALUABLE	Fewer than5 author units with at least20 cells in both groups;no cell-level pseudoreplicated P	0
PDAC	GSE278688	06_EXTERNAL	20260925T141744Z_myeloid_infercnv_v1	myeloid_infercnv_v1	SLC6A6	CNV_ABNORMAL_CANDIDATE_minus_REFERENCE_LIKE_myeloid	1	20	NA	NA	NA	NA	NA	THREE_COHORT_PRIMARY_SLC6A6	3	NOT_EVALUABLE	Fewer than5 author units with at least20 cells in both groups;no cell-level pseudoreplicated P	0
PDAC	GSE242230	06_EXTERNAL	20260925T141744Z_myeloid_infercnv_v1	myeloid_infercnv_v1	SLC6A6	CNV_ABNORMAL_CANDIDATE_minus_REFERENCE_LIKE_myeloid	0	20	NA	NA	NA	NA	NA	THREE_COHORT_PRIMARY_SLC6A6	3	NOT_EVALUABLE	Fewer than5 author units with at least20 cells in both groups;no cell-level pseudoreplicated P	0
