cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	feature_id	relation_id	same_cohort_postselection	discovery_gate	seed	bootstrap_valid	p_method	ci_method	rho	model_formula	degrees_freedom	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C05345	fructose-6-phosphate	PFKL	unique_explicit_author_case	68.0	NA	Spearman_rho	-0.0662874811641364	-0.32316925677149977	0.18897054401885063	0.5973	0.8586666666666667	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P17858	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	57087766.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.0662874811641364	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C05345	fructose-6-phosphate	PFKL	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	-0.060128376223149864	NA	NA	0.6158566210001336	0.8276832632550055	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P17858	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	389720613.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	-0.060128376223149864	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKM	unique_explicit_author_case	74.0	NA	Spearman_rho	0.1612611812273281	-0.08071844961244631	0.3854184002568762	0.1658	0.6846	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P08237	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3890200461.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.1612611812273281	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C05345	fructose-6-phosphate	PFKM	unique_explicit_author_case	74.0	NA	Spearman_rho	0.1612611812273281	-0.060351807960277046	0.3901380519032228	0.1727	0.6913565217391303	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P08237	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1279078026.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.1612611812273281	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C05345	fructose-6-phosphate	PFKM	unique_explicit_author_case	68.0	NA	Spearman_rho	0.09997518754326129	-0.15327025800330735	0.33799726591326446	0.4179	0.7637142857142857	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P08237	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1230301064.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.09997518754326129	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C05345	fructose-6-phosphate	PFKM	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	0.16163019108065074	NA	NA	0.1749680087454191	0.7486145767667953	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P08237	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	304785037.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	0.16163019108065074	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKP	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.11520348321860457	-0.3563248065570713	0.13587029903505185	0.3289	0.7603726027397261	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:Q01813	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1714866429.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.11520348321860457	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C05345	fructose-6-phosphate	PFKP	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.11520348321860457	-0.3546357091991556	0.13724343130281325	0.3328	0.7919661971830986	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:Q01813	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2179298999.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.11520348321860457	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C05345	fructose-6-phosphate	PFKP	unique_explicit_author_case	68.0	NA	Spearman_rho	-0.16469757413341002	-0.41067623517771007	0.09572709433081605	0.1766	0.684868085106383	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:Q01813	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1725913744.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.16469757413341002	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C05345	fructose-6-phosphate	PFKP	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	-0.11211621811512407	NA	NA	0.34842505363479015	0.7950397510660618	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:Q01813	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3007146392.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	-0.11211621811512407	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
