cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	original_effect	original_q	family_n_planned	biochemical_disposition	n_unique_metabolite	n_unique_rna	bootstrap_valid	permutations	random_seed	loo_valid	loo_min	loo_max	loo_max_abs_delta	loo_any_sign_change	n_nonzero_differences	source_run_id	source_analysis_version	source_analysis_type	selection_status	evidence_label	all37_n	all37_rho	all37_p	all37_q	availability_n	availability_rho	availability_p	availability_q	availability_reuse_status	all37_nominal_same_direction	availability_nominal_same_direction	paired_RNA_effect	paired_RNA_p	paired_RNA_q	functional_review_status	external_review_status
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00147	adenine	AQP9	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.38870320855614976	-0.6791920797846636	-0.03946098251555568	0.0248	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:366	AQP9	1.00605822007937	0.000171933865206755	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	915443038	33	-0.5098973607038123	-0.3405425219941349	0.12119415214766255	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.39497392128971076	0.0151	0.44336000000000003	33	-0.38870320855614976	0.0248	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	1.3312382722248204	0.008854094604319108	0.014359731612822989	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C03794	adenylosuccinate	ADSS2	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.464276762713981	0.14891491505079804	0.7179050654142906	0.008	0.40624615384615387	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:159	ADSS2	0.723072982975468	0.00103594092695614	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	32	33	4000	9999	3070600287	33	0.41642228739002934	0.521858676923686	0.05758191420970504	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.40858431312423615	0.0129	0.44336000000000003	31	0.45161290322580644	0.0129	0.6007714285714286	REDUCED_SAMPLE_V1_REUSED	True	True	0.34829691001430163	0.00014650876914221265	0.00040839319398391775	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00152	asparagine	SLC38A3	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.4554190706967596	0.09432551572186498	0.7290670886450937	0.008	0.40624615384615387	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:10991	SLC38A3	0.690613414767693	0.0163500248519711	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	32	4000	9999	3459411297	33	0.4034460652999764	0.5185592543087839	0.06314018361202434	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.4266745732414835	0.0091	0.44336000000000003	33	0.4554190706967596	0.008	0.5015384615384616	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.79982561800478	0.009825767811056598	0.015877871172939283	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00386	carnosine	SLC15A3	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.3660215060776776	-0.032251679198952124	0.6808406665112144	0.0378	0.7267882352941177	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:51296	SLC15A3	-0.552013685316796	0.0303181418621276	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	27	33	4000	9999	344012200	33	0.3084049875790539	0.44915851834990045	0.08313701227222287	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.3369115321919088	0.0418	0.5788163265306122	26	0.4276923076923077	0.0296	0.6091542857142856	REDUCED_SAMPLE_V1_REUSED	True	True	-0.16673703809650142	0.2796954840975078	0.31501057047345576	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00475	cytidine	NT5C3A	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.4608957219251337	-0.7471929195905285	-0.08146161582299698	0.0078	0.40624615384615387	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:51251	NT5C3A	-0.484622433872367	0.0458478582879108	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	113476712	33	-0.5443548387096774	-0.40982404692082114	0.08345911678454371	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.4492650545282124	0.0074	0.44336000000000003	32	-0.4120234604105572	0.0186	0.6091542857142856	REDUCED_SAMPLE_V1_REUSED	True	True	-0.3742679363076	0.00840122377975667	0.013725076211617122	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00111	dihydroxyacetone phosphate (DHAP)	GNPAT	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.3622994652406417	-0.6366452309855422	-0.00435930586574222	0.0403	0.7335	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:8443	GNPAT	-0.920687204019363	0.00208970754081866	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	3163991186	33	-0.4560117302052786	-0.3024193548387097	0.09371226496463686	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.35997155387265845	0.0273	0.5311882352941176	33	-0.3622994652406417	0.0403	0.6440487804878049	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.5263156435505998	2.381551599557961e-05	9.156655287955609e-05	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00051	glutathione, reduced (GSH)	GSTA4	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.5324197860962567	-0.7494741697494872	-0.20771095346862894	0.0017	0.3423	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2941	GSTA4	0.723546364233653	0.00137962772378558	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	2458355873	33	-0.592741935483871	-0.4879032258064516	0.060322149387614266	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.4653864390706496	0.0044	0.44336000000000003	33	-0.5324197860962567	0.0017	0.3423	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.16588070278279865	0.1554643746373847	0.18689248271771852	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00051	glutathione, reduced (GSH)	GSTO2	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.38435828877005346	0.08792982508671063	0.6142362683491633	0.0326	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:119391	GSTO2	0.723546364233653	0.00137962772378558	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	282235051	33	0.34494134897360706	0.4714076246334311	0.08704933586337765	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.35490753911806544	0.0336	0.5470439024390243	33	0.38435828877005346	0.0326	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.6412879960361	0.02993561432435854	0.042792576886743296	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00051	glutathione, reduced (GSH)	GSTT2	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.4070855614973262	-0.6826263038222914	-0.044117951559083615	0.0228	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2953	GSTT2	0.723546364233653	0.00137962772378558	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	2034783832	33	-0.48497067448680353	-0.3563049853372434	0.07788511298947731	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.39260312944523473	0.0188	0.47144615384615385	33	-0.4070855614973262	0.0228	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.12993030404514005	0.24186304086187638	0.2780178253206105	NOT_RUN	NOT_RUN
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00051	glutathione, reduced (GSH)	GSTT2B	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.4642379679144385	-0.7233411997551107	-0.1192342847953551	0.0063	0.40624615384615387	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:653689	GSTT2B	0.723546364233653	0.00137962772378558	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	3966888706	33	-0.5377565982404692	-0.4178885630498534	0.07351863032603068	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.4566145092460882	0.0056	0.44336000000000003	33	-0.4642379679144385	0.0063	0.5015384615384616	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.2087346188221595	0.8232647776268311	0.8479817339989992	NOT_RUN	NOT_RUN
