gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
SLC13A3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.019284455546087674	0.631
SLC13A5	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0034660399984147833	0.987
SLC14A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.02448731085649806	0.999
SLC14A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.009952852912744196	0.541
SLC15A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.03759325470521804	1.0
SLC15A2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.016083897984257602	0.706
SLC15A3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.33042185844828437	1.0
SLC15A4	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11102449049548428	1.0
SLC16A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29637635693413056	0.592
SLC16A10	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3247900718938678	1.0
SLC16A6	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.05658875283012945	1.0
SLC16A7	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.10391812271802137	1.0
SLC16A9	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.039162307349045335	1.0
SLC17A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC17A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC17A3	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.0007144446433090242	0.954
SLC17A4	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.021698384732219165	1.0
SLC17A5	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2214952824818236	0.881
SLC17A6	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC17A7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00444878270399531	0.982
SLC17A8	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC18A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.007061291044225621	0.899
SLC18A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0017147689170303887	0.503
SLC18A3	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0004288164665523156	0.718400000000003
SLC18B1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.07866033257681634	0.712
SLC1A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.07921200217098907	1.0
SLC1A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.005746486085906071	0.969
SLC1A3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.13290150129934594	1.0
SLC1A4	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.1201060629957063	0.969
SLC1A5	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.566032544029455	1.0
SLC1A6	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0006235846693710187	0.7173999999999999
SLC1A7	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.021229539448626863	0.983
SLC22A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.004843025453264439	0.995
SLC22A11	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.012185947294162735	1.0
SLC22A12	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC22A15	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.012777077638269789	0.736
SLC22A16	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.004373153779175328	1.0
SLC22A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0014938786081761311	0.824
SLC22A24	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC22A3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1136901057988199	0.998
SLC22A4	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.017931426068615773	0.523
SLC22A5	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1077650286494122	1.0
SLC22A7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.00018760341573332667	0.7530000000000001
SLC22A8	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC23A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.005747176583875019	0.512
SLC25A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4931992695772951	1.0
SLC25A10	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.31163798654444946	1.0
SLC25A11	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4091708740387833	1.0
SLC25A12	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.10308809854922964	1.0
SLC25A13	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.23347298478764558	1.0
SLC25A14	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08887513026651377	0.801
SLC25A18	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0013111717103598312	0.42
SLC25A21	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.011048189980420385	0.891
SLC25A22	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14633511224574092	0.744
SLC25A26	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.16005868701023782	1.0
SLC25A30	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.037411985662502964	0.717
SLC25A33	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.47272062430296696	0.999
SLC25A35	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.02411720071928619	0.792
SLC25A36	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.2841194640787215	0.963
SLC25A39	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7239759343584251	1.0
SLC25A40	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.07317272201105805	0.979
SLC25A44	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16613968431035853	0.996
SLC26A7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0009474091382375713	0.534
SLC28A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.002652836101344163	0.91
SLC28A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.009590026374637307	0.765
SLC28A3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.06017176857894082	1.0
SLC29A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16881382949670676	0.999
SLC29A2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.15256360010917266	1.0
SLC29A3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.04666726173768317	0.921
SLC29A4	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.01150314308012867	0.568
SLC2A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5162566182209405	1.0
SLC2A10	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.14045777651841845	1.0
SLC2A11	Lee	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.06028986950445397	0.601
SLC2A12	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.040867479878828356	1.0
SLC2A14	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.019546137928829668	0.693
SLC2A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0016860599196017697	0.9648000000000007
SLC2A3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.6004844836336634	1.0
SLC2A4	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.013084315940391987	0.97
SLC2A7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00014072614691809738	0.7272000000000017
SLC2A8	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3563758992428185	1.0
SLC32A1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.010795312569771696	1.0
SLC35A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.14089038214410687	0.825
SLC35A2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3394816420374037	1.0
SLC35A3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.46791431132673167	1.0
SLC35A5	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12955110285557403	1.0
SLC35B1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4911485036786562	1.0
SLC35B4	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12114291468631701	1.0
SLC35D1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14932649638186188	0.57
SLC35D2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.35095994804534764	1.0
SLC35D3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.03753278831576304	1.0
SLC35D4	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC36A1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.07390339102303548	1.0
SLC36A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.0001252975817566721	0.5498
SLC36A4	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.10990349811167889	1.0
SLC38A1	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.2438599862704778	0.998
SLC38A10	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3128352494276541	1.0
SLC38A2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.6422262971790773	1.0
SLC38A3	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.004953370900892368	0.952
SLC38A4	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.007951081761856731	0.912
SLC38A6	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11017264499864549	1.0
SLC38A7	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.06366864236266215	0.811
SLC38A8	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00033311125916055963	0.517
SLC38A9	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.04215589025774687	0.706
SLC43A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1343638125481064	0.607
SLC43A2	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.389375199278159	1.0
SLC43A3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.2769894601806483	1.0
SLC45A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.032294301992985976	1.0
SLC45A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0016917009041020018	0.755
SLC45A4	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13356559103165913	0.981
SLC47A1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.016352856817549465	1.0
SLC47A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.001976629138841199	0.898
SLC5A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22901746702102388	1.0
SLC5A11	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.001379524419060462	0.692
SLC5A2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.004156715005811828	0.657
SLC5A6	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29480924856642665	1.0
SLC5A8	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0025042346918989584	0.9967999999999999
SLC60A2	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC6A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.015040479167982526	1.0
SLC6A11	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.001370692224201983	0.807
SLC6A12	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.012490065491829681	1.0
SLC6A13	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0015118576437468357	0.649
SLC6A14	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.0972019954016541	1.0
SLC6A15	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
SLC6A17	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0027102483765664423	0.9972000000000001
SLC6A19	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0016288503404645938	0.993
SLC6A20	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.15879606128075863	1.0
SLC6A4	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.02520713310170034	1.0
SLC6A6	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.23937275809909464	0.762
SLC6A7	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.025623659722236458	0.947
SLC6A8	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3317995019908309	1.0
SLC7A10	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.000898091175025082	0.999
SLC7A11	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11648551703599573	1.0
SLC7A13	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0002518257365902795	0.6880000000000024
SLC7A5	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.35836883489796667	0.601
SLC7A6	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12902930088012807	0.649
SLC7A7	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3877293772732983	1.0
SLC7A8	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11073482219300833	1.0
SLC7A9	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.009995307886391573	0.903
SLCO3A1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.21828356335743768	1.0
SLCO4A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40409096307297115	1.0
SMOX	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.20103388166392636	0.549
SMS	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7371767626222231	0.997
SMYD1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0004442812620505046	1.0
SMYD2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.31941373373983795	0.975
SMYD3	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.17881940912359093	0.998
SPTLC1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.15232912657054354	0.601
SPTLC2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29961598776679466	0.997
SPTLC3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.01914420424344733	0.54
SQOR	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SRM	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5291629586479916	0.986
SRR	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.0708545523764061	1.0
ST6GALNAC3	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.03798627080106152	1.0
ST6GALNAC4	Lee	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.2571876454496399	1.0
SUCLA2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.34654917167364685	0.983
SUCLG1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6723121212810161	1.0
SUCLG2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5667825769786651	1.0
SUGCT	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.07828317994357413	1.0
SUV39H1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.04747308904792711	0.851
SUV39H2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.09405185575310032	0.959
TARS1	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
TARS2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16058361658148892	1.0
TARS3	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
TAT	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.00039725934119134933	0.705
TET1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.056209136833698346	1.0
TH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.033620745123829045	1.0
TKFC	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22361661847165334	1.0
TKT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.780300175206233	1.0
TKTL1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.0033433969445833467	0.989
TKTL2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.00016728802217761207	0.6362000000000001
TMEM86A	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.04424599557400586	1.0
TMEM86B	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.0354836788472009	1.0
TMLHE	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14711138181249203	0.997
TOMT	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
TPI1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.9185691948801192	0.996
TPMT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5276008127178324	1.0
TPO	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.008692141895251039	1.0
TREH	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.005416321506947143	1.0
TRMT5	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.10038706476340761	0.91
TTYH1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.011272985972696898	0.632
TTYH2	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.0937583103309089	1.0
TTYH3	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3182043290399931	1.0
TXNDC12	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.49533843938015937	0.972
TYMP	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.87723324120321	1.0
TYR	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
UAP1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.49435618290316014	0.852
UAP1L1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.05866054662826104	0.957
UCK1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.18343555802448516	1.0
UCK2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.19554405567321345	0.657
UCKL1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.38015041397480576	1.0
UCP2	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.5441375126088164	1.0
UGCG	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.46805670807569283	1.0
UGDH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4731924533003539	0.565
UGP2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4771626262523431	0.673
UGT1A1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0029550424658188177	0.814
UGT1A10	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0007258186101584398	0.8302
UGT1A3	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
UGT1A4	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	2.389828888251601e-05	0.7256000000000027
UGT1A5	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
UGT1A6	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0008421075553952744	0.968
UGT1A7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0030721898999184387	0.997
