gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
NSD3	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
NT5C	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6139762432884007	1.0
NT5C1A	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
NT5C1B	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
NT5C1B-RDH14	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	4.158695832986776e-05	0.7312000000000028
NT5C2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.24228503146121547	0.926
NT5C3A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6205740304678403	1.0
NT5C3B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3701146681467282	1.0
NT5DC4	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.021676947077176698	0.645
NT5E	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.20648096074528371	1.0
NT5M	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.011268191249610303	0.692
NUDT16	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.32428438526544034	0.777
NUDT2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.41220770320134625	0.578
OAT	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4675914553093551	1.0
OGT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.34337723859655217	0.995
OPLAH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13010785343134143	1.0
OXCT1	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.06346129307070149	1.0
OXCT2	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.02560871977674228	0.747
P4HA1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3583388843512482	0.973
P4HA2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3460822167804581	1.0
P4HA3	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12100365079103123	1.0
PAH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.0337125242488912	1.0
PANK1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13056548490189182	1.0
PANK2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.23538236245425895	0.999
PANK3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.27777429454518515	0.876
PANX1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.1704202143896331	1.0
PANX2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.005025803644687527	0.702
PAOX	Lee	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.08566966809291002	1.0
PARS2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.02811367961222078	0.962
