gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
 [hsa:102724197]	hsa:102724197	False	True	True	True	NEEDS_REVIEW	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
AADAT	hsa:51166	True	True	False	True	DONE	1.1175085363728539	0.001700340151651311	0.0034072964128421214	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.06083703229117669	0.957	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.050047369950595756	0.946
AANAT	hsa:15	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0031443799690488512	0.853	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Plasma	11	0.005416681870173118	0.998
AASS	hsa:10157	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.09205098229094147	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.14535082310545133	0.619
ABAT	hsa:18	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08960870352639141	0.709	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.047171240659439256	0.556
ABCC1	hsa:4363	True	False	False	True	DONE	1.3651875430158649	6.591873045122917e-09	5.066887489907913e-08	DONE	Epithelial cells	Mast	Epithelial	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16212314492884936	0.993	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.1360633998289381	0.975
ABCC4	hsa:10257	True	False	False	True	DONE	0.05956491226573652	0.8058023708196562	0.8299764419442459	DONE	Stromal cells	Mast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.13545345192246724	1.0	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.19257448552110554	0.841
ABCC5	hsa:10057	True	False	False	True	DONE	-0.0007380661772739431	0.9955035033809236	0.9955035033809237	DONE	Myeloids	Monocyte	Myeloid	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08614597971011954	0.613	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.11674127905825209	0.66
ABCG2	hsa:9429	True	False	False	True	DONE	-2.60010137817878	1.459939757889612e-12	8.354099725701668e-11	DONE	Stromal cells	Endothelial	Stromal	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.024627615816461678	0.688	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.1678375503102551	1.0
ABHD3	hsa:171586	True	True	False	False	DONE	-2.2206971080042504	1.3329370931940458e-11	3.12028455906788e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3683944440818149	0.847	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.20026794659079825	0.999
ACHE	hsa:43	True	False	False	True	DONE	-0.3929465586892317	0.00040427110909394996	0.000933630588266297	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.18641769129057198	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.07661726242371404	0.769
ACLY	hsa:47	True	False	False	True	DONE	0.8346034636629339	1.904870464992705e-09	1.7354117342936226e-08	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.395186073850765	0.507	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.463826392747632	1.0
ACO1	hsa:48	True	True	True	True	DONE	0.3229016620181968	0.006093948397701947	0.010426523006034891	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.1973318535366669	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.3470600610354605	1.0
ACO2	hsa:50	True	True	True	True	DONE	-0.9658685023907999	3.2026115883761266e-13	4.123362420034263e-11	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5161410275470483	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.31698909109112455	0.935
ACOD1	hsa:730249	True	False	False	True	DONE	-0.04860800279189879	0.7773847047992566	0.8102140786288381	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.07632268983834857	1.0
ACOT8	hsa:10005	True	True	False	False	DONE	-0.42401262788466365	0.0030340440539112267	0.00568193704641557	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.384805132561228	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.13703594144230155	0.906
ACSF3	hsa:197322	True	False	False	False	DONE	-0.1819518723915944	0.022946693597778702	0.03425376000827835	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22052694509559423	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.17050805462937282	0.998
ACYP1	hsa:97	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29399912635832526	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.2012109851787271	0.846
ACYP2	hsa:98	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16845115943836675	0.598	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.197153443766347	0.503
ADA	hsa:100	True	False	False	True	DONE	1.0079503918325579	5.008718970357108e-06	1.7312015233113497e-05	DONE	T cells	Endothelial	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.12975116657364635	0.995	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.2257162439713834	0.613
ADA2	hsa:51816	True	False	False	True	DONE	-1.346197010958427	6.768294924291729e-06	2.220173175802701e-05	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.6193755219436533	1.0
ADHFE1	hsa:137872	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.007170740530662974	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Tcells	12	0.002000766813386029	0.639
ADK	hsa:132	True	False	False	True	DONE	0.8471459552545461	1.4682925169209742e-06	5.601264046031865e-06	DONE	Epithelial cells	Bcells	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40075089131059516	1.0	DONE	DESCRIPTIVE_ONLY	Bcells	Bcells	11	0.1235833906755898	0.813
ADO	hsa:84890	True	False	False	True	DONE	0.4494201576402886	1.6747303187575224e-06	6.29551908146076e-06	DONE	Stromal cells	Endothelial	Stromal	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08926264388400709	0.705	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.14053122574940274	0.452
ADPGK	hsa:83440	True	False	False	True	DONE	-0.3358698464874487	0.05837387863720241	0.07932070579989246	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3143589935411301	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.4129923762640397	1.0
ADPRM	hsa:56985	True	False	False	False	DONE	-0.7151106293542521	5.493980085776564e-07	2.397796393368585e-06	DONE	Stromal cells	Bcells	Stromal	Tcells	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08086203768068723	0.987	DONE	DESCRIPTIVE_ONLY	Bcells	Bcells	11	0.03777127283881035	0.498
ADSL	hsa:158	True	False	False	True	DONE	0.5935027382009846	0.00017016322452918244	0.00042748322259770225	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.29366506934933173	0.801	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Pericytes	5	0.004	0.557
ADSS1	hsa:122622	True	False	False	True	DONE	-1.0857598181051455	3.3703375211422844e-06	1.1970509126815699e-05	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
ADSS2	hsa:159	True	False	False	True	DONE	0.3184567294790425	8.333692588231354e-05	0.00022009495809944347	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	ADSS1、ADSL及其他癌种结果不能替代；未命中不等于无功能	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4421692361123208	0.742	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.31785125541680553	0.942
AFMID	hsa:125061	True	False	False	True	DONE	0.3699361315435083	0.022203488849798822	0.033240688248972076	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2836997674598675	0.996	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.18466972187607675	0.618
AGMAT	hsa:79814	True	False	False	True	DONE	0.7008241684993027	0.0005802236946511412	0.0012769880459202467	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2282152299492025	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.10108834355245017	1.0
AGXT	hsa:189	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.016877272991594024	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.01204470770976071	0.998
AGXT2	hsa:64902	True	True	False	True	DONE	-0.5258507161057603	0.008169549666468814	0.013571993800746578	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	2.998320940273447e-05	0.6984000000000025	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
AHCY	hsa:191	True	False	False	True	DONE	1.7685134055464777	9.617670726045971e-11	1.4151715496896216e-09	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6950938078633736	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.3461394124052289	0.999
AHCYL1	hsa:10768	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.452918229297605	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.6695993342487975	0.987
AHCYL2	hsa:23382	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14377909911708683	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.21939713335113664	1.0
AK3	hsa:50808	True	False	True	True	DONE	-0.35956352317788476	0.0001685730469956809	0.0004255643098175278	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5604228729073948	0.628	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.5096425979543803	0.586
AK4	hsa:205	True	False	False	False	DONE	0.3312956172160192	0.2044430185075286	0.24773683419147582	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3117533194254776	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.09606418024938994	0.758
AK9	hsa:221264	True	False	False	True	DONE	0.7398540321315381	0.00019929260161788236	0.0004910798556612891	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08105785671416793	0.761	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.10363319223038357	0.427
AKR1A1	hsa:10327	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.4631748265443954	0.796	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.4911548861533735	0.987
ALDH18A1	hsa:5832	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40323920015722015	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.25674744985084014	0.912
ALDH1B1	hsa:219	True	False	True	True	DONE	0.9472631774997254	6.715363318063219e-05	0.00018202168993697676	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3148769054927291	0.998	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.16181911363678847	0.673
ALDH2	hsa:217	True	False	True	True	DONE	-0.2599015661866819	0.02992912640117825	0.043070625189626	DONE	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6826173097999163	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.6166768639133782	0.993
ALDH3A1	hsa:218	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08090824050880772	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.04259605739975295	1.0
ALDH3A2	hsa:224	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.35719963825426987	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.22714741554198734	0.999
ALDH3B1	hsa:221	True	False	True	True	DONE	0.26669579093293194	0.010615149436111998	0.01730000620125848	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08803160182879324	0.998	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.1840743835842411	1.0
ALDH3B2	hsa:222	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.008838382161104342	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.003966474296799507	1.0
ALDH4A1	hsa:8659	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	暂不可定位	Epithelial	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.11041957326595608	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.002188299896819291	0.366
ALDH5A1	hsa:7915	True	False	False	False	DONE	0.3953914076303057	0.06243829298486346	0.08439821755171832	DONE	Epithelial cells	Mast	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.11878136409575323	1.0	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.061031148326068055	0.657
ALDH7A1	hsa:501	True	False	True	True	DONE	0.4313601777639726	0.0028108090459138943	0.005321936245020792	DONE	Epithelial cells	Fibroblast	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29057642268484096	0.927	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.12990583432322733	0.511
ALDH9A1	hsa:223	True	False	True	True	DONE	-0.18170089001615145	0.024456439743678792	0.03616114450828556	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.404861460604671	0.926	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.4813309061849277	0.997
ALDOA	hsa:226	True	True	False	True	DONE	-0.14069100080492436	0.2851123904680342	0.32996153054165756	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.9368398737420054	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.04436558981811265	0.765
ALDOB	hsa:229	True	True	False	True	DONE	0.6410611745900987	0.3423094794776478	0.38915978351211616	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13233106121691376	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.1587975351667779	1.0
ALDOC	hsa:230	True	True	False	True	DONE	-0.06400858917556182	0.8303488716575615	0.850158387482394	DONE	Epithelial cells	暂不可定位	Epithelial	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.24767530860334014	0.92	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.0026601680732748927	0.79
ALG5	hsa:29880	True	False	False	True	DONE	0.7891421580259151	3.62909868443564e-09	3.167772580481957e-08	DONE	Epithelial cells	Plasma	Epithelial	B_lineage	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5871312202887565	0.99	DONE	DESCRIPTIVE_ONLY	Plasma	Plasma	11	0.5740361573984116	0.871
ALLC	hsa:55821	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00149430179221639	0.8782000000000001	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
AMD1	hsa:262	True	False	False	True	DONE	0.1490055775432366	0.094009148935839	0.12195141486639065	DONE	T cells	Tcells	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.3430645855606684	1.0	DONE	DESCRIPTIVE_ONLY	Tcells	Tcells	12	0.47268711836849486	0.707
AMDHD2	hsa:51005	True	False	False	True	DONE	-0.06588867780186375	0.6701894934711443	0.7175625553797076	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.16124589991714033	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.0763473406644454	0.712
AMPD1	hsa:270	True	False	False	True	DONE	-3.5266125907601418	1.1787282477798816e-10	1.640662290828754e-09	DONE	B cells	Plasma	B_lineage	B_lineage	True	NA	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.028148668403503187	1.0	DONE	DESCRIPTIVE_ONLY	Plasma	Plasma	11	0.10973550817596595	1.0
AMPD2	hsa:271	True	False	False	True	DONE	1.242645279583471	2.0391225910531917e-12	9.826015681989232e-11	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11993410205856705	0.988	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.2725273279107039	1.0
AMPD3	hsa:272	True	False	False	True	DONE	0.26429139887951325	0.13608649961403987	0.17052201289837113	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.15484845423360605	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.23385943606571633	1.0
ANKH	hsa:56172	True	False	False	True	DONE	0.4848351139631685	0.005169253327938222	0.00899481548091141	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4375216571377232	0.905	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.2857322263442672	0.596
AOC1	hsa:26	True	False	False	True	DONE	-1.8583801028755935	1.5675892971464097e-07	7.993153346835653e-07	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3192562850658329	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.46827407249724645	1.0
AOX1	hsa:316	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.01272974811479505	0.948	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.016028744796832882	1.0
APRT	hsa:353	True	False	False	True	DONE	0.6595148231158245	3.7053843222720493e-09	3.1804548766168426e-08	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.8486049774197336	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.26863103989845966	0.896
AQP10	hsa:89872	True	False	False	True	DONE	-0.3044461409378309	0.10784200462607701	0.13815580194634244	DONE	暂不可定位	Mast	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0007024414010097722	0.807	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.01702228277730242	0.988
AQP3	hsa:360	True	False	False	True	DONE	-0.32037094663669174	0.31945873957816845	0.3656027797394595	DONE	T cells	Tcells	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.15496531662911522	0.941	DONE	DESCRIPTIVE_ONLY	Tcells	Tcells	12	0.1724910774475109	0.976
AQP7	hsa:364	True	False	False	True	DONE	-1.2929214445908268	9.084144490318064e-06	2.887860748465311e-05	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.020209478062968553	0.993	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.04072241310951992	0.56
AQP9	hsa:366	True	False	False	True	DONE	0.8927933206094316	0.024505319288139146	0.03616114450828556	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	不能据同一基因标签确定统一抑制方向	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.33311568462422325	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.32590155495347817	1.0
ARF1	hsa:375	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.8152920526963094	0.972	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.8417062360494748	0.988
ARF6	hsa:382	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	T cells	Tcells	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.4851605466261736	1.0	DONE	DESCRIPTIVE_ONLY	Tcells	Tcells	12	0.46458807361769466	1.0
