gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
SLC25A26	hsa:115286	True	False	False	True	DONE	0.5323970958656199	0.0057231192015560605	0.009890625465776412	DONE	T cells	Fibroblast	Tcells	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.16005868701023782	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.21787683381564427	0.823
SLC25A30	hsa:253512	True	False	False	False	DONE	0.08264249902319475	0.6088113638424457	0.6614722624026573	DONE	Stromal cells	Endothelial	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.037411985662502964	0.717	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.08687379037158038	0.851
SLC25A33	hsa:84275	True	False	False	True	DONE	0.14457059472083444	0.2527166725471961	0.29850707881148164	DONE	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.47272062430296696	0.999	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.21886495838574402	0.547
SLC25A35	hsa:399512	True	False	False	True	DONE	-0.432394503780041	0.01534933431811547	0.023526509445921034	DONE	Stromal cells	Endothelial	Stromal	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.02411720071928619	0.792	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.042408540559296694	0.99
SLC25A36	hsa:55186	True	False	False	True	DONE	0.4145026246539716	0.0004697992412771983	0.0010753182633678094	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.2841194640787215	0.963	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.5064748619587329	0.742
SLC25A39	hsa:51629	True	False	False	True	DONE	0.5691701219185457	4.886997354645305e-07	2.1511142202071215e-06	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7239759343584251	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.366215063254661	0.959
SLC25A40	hsa:55972	True	False	False	True	DONE	0.09990124424437508	0.39864681521181866	0.44341924370213087	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.07317272201105805	0.979	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.1585807879285918	1.0
SLC25A44	hsa:9673	True	False	False	True	DONE	-0.38685101143873946	5.118708181890804e-06	1.745784578591897e-05	DONE	Stromal cells	Mast	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16613968431035853	0.996	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.1398461768564041	0.641
SLC26A7	hsa:115111	True	False	False	False	DONE	-0.6728151013725712	0.0029857105398576568	0.005611828204476982	DONE	暂不可定位	Pericytes	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0009474091382375713	0.534	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.017405405405405406	0.868
SLC28A1	hsa:9154	True	False	False	True	DONE	-0.6530869412746887	0.0246635946039971	0.0361873254161211	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.002652836101344163	0.91	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC28A2	hsa:9153	True	False	False	True	DONE	-2.8266246481075403	5.208045888885781e-06	1.764568179458011e-05	DONE	暂不可定位	Epithelial	暂不可定位	Epithelial	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.009590026374637307	0.765	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.03058901384861888	1.0
SLC28A3	hsa:64078	True	False	False	True	DONE	0.9292748351964496	0.005788644209384284	0.009970407250277279	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.06017176857894082	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.056701256292900605	1.0
SLC29A1	hsa:2030	True	False	False	True	DONE	1.9405586967489004	8.628274205108599e-10	1.0099002762797564e-08	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	抑制转运可能降低特定药物疗效，不宜直接建议抑制	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16881382949670676	0.999	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.4707674461131851	1.0
SLC29A2	hsa:3177	True	False	False	True	DONE	0.8340404251992869	5.411687400708266e-08	3.0626582542469856e-07	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.15256360010917266	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.10683243172410228	1.0
SLC29A3	hsa:55315	True	False	False	True	DONE	0.5708589549735935	6.411055009679052e-07	2.751411108320593e-06	DONE	Myeloids	Monocyte	Myeloid	暂不可定位	False	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.04666726173768317	0.921	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.011807295764466078	0.578
SLC29A4	hsa:222962	True	False	False	True	DONE	-0.5700615190617133	0.024974267639932282	0.03653905634819638	DONE	Stromal cells	Fibroblast	Stromal	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.01150314308012867	0.568	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.04592222136352312	0.931
