gene	source_symbol	mapping_status	source_feature_index_0based
NT5C1A	NT5C1A	EXACT_SOURCE_SYMBOL	16782.0
NT5C1B	NT5C1B	EXACT_SOURCE_SYMBOL	16783.0
NT5C1B-RDH14	NT5C1B-RDH14	EXACT_SOURCE_SYMBOL	16784.0
NT5C2	NT5C2	EXACT_SOURCE_SYMBOL	16785.0
NT5C3A	NT5C3A	EXACT_SOURCE_SYMBOL	16786.0
NT5C3B	NT5C3B	EXACT_SOURCE_SYMBOL	16787.0
NT5DC4	NT5DC4	EXACT_SOURCE_SYMBOL	16791.0
NT5E	NT5E	EXACT_SOURCE_SYMBOL	16792.0
NT5M	NT5M	EXACT_SOURCE_SYMBOL	16793.0
NUDT16	NUDT16	EXACT_SOURCE_SYMBOL	16836.0
NUDT2	NUDT2	EXACT_SOURCE_SYMBOL	16841.0
OAT	OAT	EXACT_SOURCE_SYMBOL	16927.0
OGT	OGT	EXACT_SOURCE_SYMBOL	16972.0
OPLAH	OPLAH	EXACT_SOURCE_SYMBOL	17006.0
OXCT1	OXCT1	EXACT_SOURCE_SYMBOL	17491.0
OXCT2	OXCT2	EXACT_SOURCE_SYMBOL	17492.0
P4HA1	P4HA1	EXACT_SOURCE_SYMBOL	17525.0
P4HA2	P4HA2	EXACT_SOURCE_SYMBOL	17526.0
P4HA3	P4HA3	EXACT_SOURCE_SYMBOL	17528.0
PAH	PAH	EXACT_SOURCE_SYMBOL	17576.0
PANK1	PANK1	EXACT_SOURCE_SYMBOL	17603.0
PANK2	PANK2	EXACT_SOURCE_SYMBOL	17604.0
PANK3	PANK3	EXACT_SOURCE_SYMBOL	17605.0
PANX1	PANX1	EXACT_SOURCE_SYMBOL	17608.0
PANX2	PANX2	EXACT_SOURCE_SYMBOL	17609.0
PAOX	PAOX	EXACT_SOURCE_SYMBOL	17611.0
PARS2	PARS2	EXACT_SOURCE_SYMBOL	17660.0
PCK1	PCK1	EXACT_SOURCE_SYMBOL	17803.0
PCK2	PCK2	EXACT_SOURCE_SYMBOL	17804.0
PCYT1A	PCYT1A	EXACT_SOURCE_SYMBOL	17835.0
PCYT1B	PCYT1B	EXACT_SOURCE_SYMBOL	17836.0
PEMT	PEMT	EXACT_SOURCE_SYMBOL	17955.0
PFAS	PFAS	EXACT_SOURCE_SYMBOL	17987.0
PFKL	PFKL	EXACT_SOURCE_SYMBOL	17997.0
PFKM	PFKM	EXACT_SOURCE_SYMBOL	17998.0
PFKP	PFKP	EXACT_SOURCE_SYMBOL	17999.0
PGAM1	PGAM1	EXACT_SOURCE_SYMBOL	18007.0
PGAM2	PGAM2	EXACT_SOURCE_SYMBOL	18008.0
PGAM4	PGAM4	EXACT_SOURCE_SYMBOL	18009.0
PGD	PGD	EXACT_SOURCE_SYMBOL	18020.0
PGK1	PGK1	EXACT_SOURCE_SYMBOL	18023.0
PGK2	PGK2	EXACT_SOURCE_SYMBOL	18024.0
PGLS	PGLS	EXACT_SOURCE_SYMBOL	18025.0
PGM2L1	PGM2L1	EXACT_SOURCE_SYMBOL	18032.0
PGM3	PGM3	EXACT_SOURCE_SYMBOL	18033.0
PGS1	PGS1	EXACT_SOURCE_SYMBOL	18046.0
PHGDH	PHGDH	EXACT_SOURCE_SYMBOL	18079.0
PKLR	PKLR	EXACT_SOURCE_SYMBOL	18236.0
PKM	PKM	EXACT_SOURCE_SYMBOL	18237.0
PLA2G15	PLA2G15	EXACT_SOURCE_SYMBOL	18254.0
PLB1	PLB1	EXACT_SOURCE_SYMBOL	18286.0
PLOD1	PLOD1	EXACT_SOURCE_SYMBOL	18374.0
PLOD2	PLOD2	EXACT_SOURCE_SYMBOL	18375.0
PLOD3	PLOD3	EXACT_SOURCE_SYMBOL	18376.0
PNMT	PNMT	EXACT_SOURCE_SYMBOL	18448.0
PNP	PNP	EXACT_SOURCE_SYMBOL	18452.0
PNPLA6	PNPLA6	EXACT_SOURCE_SYMBOL	18458.0
PNPLA7	PNPLA7	EXACT_SOURCE_SYMBOL	18459.0
POMGNT2	POMGNT2	EXACT_SOURCE_SYMBOL	18539.0
PPAT	PPAT	EXACT_SOURCE_SYMBOL	18603.0
PRDM16	PRDM16	EXACT_SOURCE_SYMBOL	18789.0
PRDM2	PRDM2	EXACT_SOURCE_SYMBOL	18790.0
PRDM6	PRDM6	EXACT_SOURCE_SYMBOL	18793.0
PRDM7	PRDM7	EXACT_SOURCE_SYMBOL	18794.0
PRDM9	PRDM9	EXACT_SOURCE_SYMBOL	18796.0
PRDX6	PRDX6	EXACT_SOURCE_SYMBOL	18802.0
PRMT1	PRMT1	EXACT_SOURCE_SYMBOL	18880.0
PRMT2	PRMT2	EXACT_SOURCE_SYMBOL	18881.0
PRMT3	PRMT3	EXACT_SOURCE_SYMBOL	18882.0
PRMT5	PRMT5	EXACT_SOURCE_SYMBOL	18883.0
PRMT6	PRMT6	EXACT_SOURCE_SYMBOL	18885.0
PRMT7	PRMT7	EXACT_SOURCE_SYMBOL	18886.0
PRMT8	PRMT8	EXACT_SOURCE_SYMBOL	18887.0
PRMT9	PRMT9	EXACT_SOURCE_SYMBOL	18888.0
PRODH	PRODH	EXACT_SOURCE_SYMBOL	18897.0
PSAT1	PSAT1	EXACT_SOURCE_SYMBOL	19034.0
PSPH	PSPH	EXACT_SOURCE_SYMBOL	19113.0
PTDSS1	PTDSS1	EXACT_SOURCE_SYMBOL	19137.0
PTDSS2	PTDSS2	EXACT_SOURCE_SYMBOL	19138.0
PYCR1	PYCR1	EXACT_SOURCE_SYMBOL	19279.0
PYCR2	PYCR2	EXACT_SOURCE_SYMBOL	19280.0
PYCR3	NA	SOURCE_GENE_NOT_FOUND	NA
QARS1	NA	SOURCE_GENE_NOT_FOUND	NA
QRSL1	QRSL1	EXACT_SOURCE_SYMBOL	19306.0
QTRT1	QTRT1	EXACT_SOURCE_SYMBOL	19310.0
RAB10	RAB10	EXACT_SOURCE_SYMBOL	19318.0
RAB11A	RAB11A	EXACT_SOURCE_SYMBOL	19319.0
RAB11B	RAB11B	EXACT_SOURCE_SYMBOL	19320.0
RAB12	RAB12	EXACT_SOURCE_SYMBOL	19327.0
RAB13	RAB13	EXACT_SOURCE_SYMBOL	19328.0
RAB14	RAB14	EXACT_SOURCE_SYMBOL	19329.0
RAB15	RAB15	EXACT_SOURCE_SYMBOL	19330.0
RAB17	RAB17	EXACT_SOURCE_SYMBOL	19331.0
RAB18	RAB18	EXACT_SOURCE_SYMBOL	19332.0
RAB1A	RAB1A	EXACT_SOURCE_SYMBOL	19334.0
RAB1B	RAB1B	EXACT_SOURCE_SYMBOL	19335.0
RAB20	RAB20	EXACT_SOURCE_SYMBOL	19336.0
RAB21	RAB21	EXACT_SOURCE_SYMBOL	19337.0
RAB22A	RAB22A	EXACT_SOURCE_SYMBOL	19338.0
RAB23	RAB23	EXACT_SOURCE_SYMBOL	19339.0
RAB24	RAB24	EXACT_SOURCE_SYMBOL	19340.0
RAB25	RAB25	EXACT_SOURCE_SYMBOL	19341.0
RAB26	RAB26	EXACT_SOURCE_SYMBOL	19342.0
RAB29	RAB29	EXACT_SOURCE_SYMBOL	19346.0
RAB2A	RAB2A	EXACT_SOURCE_SYMBOL	19347.0
RAB2B	RAB2B	EXACT_SOURCE_SYMBOL	19348.0
RAB33B	RAB33B	EXACT_SOURCE_SYMBOL	19354.0
RAB34	RAB34	EXACT_SOURCE_SYMBOL	19355.0
RAB35	RAB35	EXACT_SOURCE_SYMBOL	19356.0
RAB36	RAB36	EXACT_SOURCE_SYMBOL	19357.0
RAB37	RAB37	EXACT_SOURCE_SYMBOL	19358.0
RAB38	RAB38	EXACT_SOURCE_SYMBOL	19359.0
RAB39A	RAB39A	EXACT_SOURCE_SYMBOL	19360.0
RAB39B	RAB39B	EXACT_SOURCE_SYMBOL	19361.0
RAB3A	RAB3A	EXACT_SOURCE_SYMBOL	19362.0
RAB3B	RAB3B	EXACT_SOURCE_SYMBOL	19363.0
RAB3C	RAB3C	EXACT_SOURCE_SYMBOL	19364.0
RAB3D	RAB3D	EXACT_SOURCE_SYMBOL	19365.0
RAB4A	RAB4A	EXACT_SOURCE_SYMBOL	19378.0
RAB4B	RAB4B	EXACT_SOURCE_SYMBOL	19379.0
RAB5A	RAB5A	EXACT_SOURCE_SYMBOL	19381.0
RAB5B	RAB5B	EXACT_SOURCE_SYMBOL	19382.0
RAB5C	RAB5C	EXACT_SOURCE_SYMBOL	19383.0
RAB6A	RAB6A	EXACT_SOURCE_SYMBOL	19384.0
RAB6B	RAB6B	EXACT_SOURCE_SYMBOL	19385.0
RAB7A	RAB7A	EXACT_SOURCE_SYMBOL	19387.0
RAB8A	RAB8A	EXACT_SOURCE_SYMBOL	19389.0
RAB8B	RAB8B	EXACT_SOURCE_SYMBOL	19390.0
RAB9A	RAB9A	EXACT_SOURCE_SYMBOL	19391.0
RAB9B	RAB9B	EXACT_SOURCE_SYMBOL	19392.0
RAN	RAN	EXACT_SOURCE_SYMBOL	19464.0
RGN	RGN	EXACT_SOURCE_SYMBOL	19762.0
RHOB	RHOB	EXACT_SOURCE_SYMBOL	19816.0
RIMKLA	RIMKLA	EXACT_SOURCE_SYMBOL	19854.0
RIMKLB	RIMKLB	EXACT_SOURCE_SYMBOL	19855.0
RNMT	RNMT	EXACT_SOURCE_SYMBOL	20016.0
RPE	RPE	EXACT_SOURCE_SYMBOL	27789.0
RPEL1	RPEL1	EXACT_SOURCE_SYMBOL	27791.0
RPIA	RPIA	EXACT_SOURCE_SYMBOL	27799.0
RRM1	RRM1	EXACT_SOURCE_SYMBOL	27935.0
RRM2	RRM2	EXACT_SOURCE_SYMBOL	27937.0
RRM2B	RRM2B	EXACT_SOURCE_SYMBOL	27938.0
SAR1A	SAR1A	EXACT_SOURCE_SYMBOL	28117.0
SAR1B	SAR1B	EXACT_SOURCE_SYMBOL	28118.0
SARS1	NA	SOURCE_GENE_NOT_FOUND	NA
SARS2	SARS2	EXACT_SOURCE_SYMBOL	28124.0
SDHA	SDHA	EXACT_SOURCE_SYMBOL	28265.0
SDHB	SDHB	EXACT_SOURCE_SYMBOL	28270.0
SDHC	SDHC	EXACT_SOURCE_SYMBOL	28271.0
SDHD	SDHD	EXACT_SOURCE_SYMBOL	28272.0
SDS	SDS	EXACT_SOURCE_SYMBOL	28281.0
SDSL	SDSL	EXACT_SOURCE_SYMBOL	28282.0
SELENOI	NA	SOURCE_GENE_NOT_FOUND	NA
SETD1A	SETD1A	EXACT_SOURCE_SYMBOL	28451.0
SETD1B	SETD1B	EXACT_SOURCE_SYMBOL	28452.0
SETD2	SETD2	EXACT_SOURCE_SYMBOL	28453.0
SETD7	SETD7	EXACT_SOURCE_SYMBOL	28458.0
SETDB1	SETDB1	EXACT_SOURCE_SYMBOL	28460.0
SETDB2	SETDB2	EXACT_SOURCE_SYMBOL	28461.0
SETDB2-PHF11	NA	SOURCE_GENE_NOT_FOUND	NA
SETMAR	SETMAR	EXACT_SOURCE_SYMBOL	28462.0
SFXN1	SFXN1	EXACT_SOURCE_SYMBOL	28501.0
SFXN2	SFXN2	EXACT_SOURCE_SYMBOL	28502.0
SFXN3	SFXN3	EXACT_SOURCE_SYMBOL	28503.0
SFXN5	SFXN5	EXACT_SOURCE_SYMBOL	28505.0
SHMT1	SHMT1	EXACT_SOURCE_SYMBOL	28603.0
SHMT2	SHMT2	EXACT_SOURCE_SYMBOL	28604.0
SI	SI	EXACT_SOURCE_SYMBOL	28616.0
SLC13A2	SLC13A2	EXACT_SOURCE_SYMBOL	28718.0
SLC13A3	SLC13A3	EXACT_SOURCE_SYMBOL	28719.0
SLC13A5	SLC13A5	EXACT_SOURCE_SYMBOL	28721.0
SLC14A1	SLC14A1	EXACT_SOURCE_SYMBOL	28722.0
SLC14A2	SLC14A2	EXACT_SOURCE_SYMBOL	28723.0
SLC15A1	SLC15A1	EXACT_SOURCE_SYMBOL	28725.0
SLC15A2	SLC15A2	EXACT_SOURCE_SYMBOL	28726.0
SLC15A3	SLC15A3	EXACT_SOURCE_SYMBOL	28727.0
SLC15A4	SLC15A4	EXACT_SOURCE_SYMBOL	28728.0
SLC16A1	SLC16A1	EXACT_SOURCE_SYMBOL	28730.0
SLC16A10	SLC16A10	EXACT_SOURCE_SYMBOL	28732.0
SLC16A6	SLC16A6	EXACT_SOURCE_SYMBOL	28742.0
SLC16A7	SLC16A7	EXACT_SOURCE_SYMBOL	28743.0
SLC16A9	SLC16A9	EXACT_SOURCE_SYMBOL	28745.0
SLC17A1	SLC17A1	EXACT_SOURCE_SYMBOL	28746.0
SLC17A2	SLC17A2	EXACT_SOURCE_SYMBOL	28747.0
SLC17A3	SLC17A3	EXACT_SOURCE_SYMBOL	28748.0
SLC17A4	SLC17A4	EXACT_SOURCE_SYMBOL	28749.0
SLC17A5	SLC17A5	EXACT_SOURCE_SYMBOL	28750.0
SLC17A6	SLC17A6	EXACT_SOURCE_SYMBOL	28751.0
SLC17A7	SLC17A7	EXACT_SOURCE_SYMBOL	28752.0
SLC17A8	SLC17A8	EXACT_SOURCE_SYMBOL	28753.0
SLC18A1	SLC18A1	EXACT_SOURCE_SYMBOL	28755.0
SLC18A2	SLC18A2	EXACT_SOURCE_SYMBOL	28756.0
SLC18A3	SLC18A3	EXACT_SOURCE_SYMBOL	28757.0
SLC18B1	SLC18B1	EXACT_SOURCE_SYMBOL	28758.0
SLC1A1	SLC1A1	EXACT_SOURCE_SYMBOL	28762.0
SLC1A2	SLC1A2	EXACT_SOURCE_SYMBOL	28763.0
SLC1A3	SLC1A3	EXACT_SOURCE_SYMBOL	28764.0
SLC1A4	SLC1A4	EXACT_SOURCE_SYMBOL	28765.0
SLC1A5	SLC1A5	EXACT_SOURCE_SYMBOL	28766.0
SLC1A6	SLC1A6	EXACT_SOURCE_SYMBOL	28767.0
SLC1A7	SLC1A7	EXACT_SOURCE_SYMBOL	28768.0
SLC22A1	SLC22A1	EXACT_SOURCE_SYMBOL	28771.0
SLC22A11	SLC22A11	EXACT_SOURCE_SYMBOL	28773.0
SLC22A12	SLC22A12	EXACT_SOURCE_SYMBOL	28774.0
SLC22A15	SLC22A15	EXACT_SOURCE_SYMBOL	28777.0
SLC22A16	SLC22A16	EXACT_SOURCE_SYMBOL	28778.0
SLC22A2	SLC22A2	EXACT_SOURCE_SYMBOL	28782.0
SLC22A24	SLC22A24	EXACT_SOURCE_SYMBOL	28784.0
SLC22A3	SLC22A3	EXACT_SOURCE_SYMBOL	28786.0
SLC22A4	SLC22A4	EXACT_SOURCE_SYMBOL	28788.0
SLC22A5	SLC22A5	EXACT_SOURCE_SYMBOL	28789.0
SLC22A7	SLC22A7	EXACT_SOURCE_SYMBOL	28791.0
SLC22A8	SLC22A8	EXACT_SOURCE_SYMBOL	28792.0
