gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn
GSTT2	hsa:2953	True	False	False	True	DONE	-0.18160444321752223	0.3782055483748604	0.42434827323105256	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	与GSTT2B高度相似，探针特异性及基因归属需核查
GSTT2B	hsa:653689	True	False	False	True	DONE	0.014217130343209348	0.9443303989519812	0.9480119989478955	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	高度同源/近名基因可能导致文献和测量归属问题
GSTT4	hsa:25774	True	False	False	True	DONE	-0.5898397731726406	0.029745495893429542	0.04303070332897813	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
GUK1	hsa:2987	True	False	False	False	DONE	0.25231850031320613	0.00048073687912553593	0.001095484481193146	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA
GUSB	hsa:2990	True	False	False	False	DONE	-0.14514109745679693	0.12533490051166213	0.15859330163023586	DONE	Stromal cells	Monocyte	Stromal	Myeloid	False	NA
GYG1	hsa:2992	True	False	False	True	DONE	0.5581284829991517	0.00026240052294966364	0.0006285407875305896	DONE	T cells	Monocyte	Tcells	Myeloid	False	NA
GYG2	hsa:8908	True	False	False	True	DONE	0.40946913348839914	0.08499595718488008	0.11138147061122962	DONE	Epithelial cells	Fibroblast	Epithelial	Epithelial	True	NA
GYS1	hsa:2997	True	False	False	True	DONE	-0.034827821799528896	0.6845470512335613	0.7264415282526081	DONE	Stromal cells	Pericytes	Stromal	Epithelial	False	NA
GYS2	hsa:2998	True	False	False	True	DONE	-0.15270934096124242	0.5696205244959993	0.6228334821983856	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
H6PD	hsa:9563	True	True	False	True	DONE	0.317472365164496	0.0897259015168271	0.11698440324345812	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA
HAGH	hsa:3029	True	False	False	True	DONE	-0.483792777939391	1.0415306029124523e-05	3.250837942423715e-05	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	GLO1不是HAGH；前列腺模型不当作CRC复现
HDC	hsa:3067	True	False	False	True	DONE	-1.218287232603699	1.0362973938679582e-07	5.390839978202006e-07	DONE	暂不可定位	Mast	暂不可定位	暂不可定位	False	不能由正相关推出抑制HDC；bulk数据不能定位癌细胞来源
HDDC3	hsa:374659	True	False	False	False	DONE	0.3098379889430606	0.001341577088442199	0.0027636488021909296	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
HEMK1	hsa:51409	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
HIF1AN	hsa:55662	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Stromal	False	NA
HK1	hsa:3098	True	False	False	True	DONE	0.1253049340189727	0.359818448169141	0.40548468447944774	DONE	Stromal cells	Monocyte	Stromal	Myeloid	False	NA
HK2	hsa:3099	True	False	False	True	DONE	-0.8987433536681416	0.0019622471234162888	0.0038718669293463168	DONE	Myeloids	Epithelial	Myeloid	Epithelial	False	NA
