cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	original_effect	original_q	family_n_planned	up_pairs	down_pairs	equal_pairs	up_percent	down_percent	both_observed_pairs	tumor_only_missing_pairs	normal_only_missing_pairs	both_missing_pairs	n_nonzero_differences	bootstrap_valid	random_seed	historical_run_id	historical_effect	historical_effect_type	historical_ci_lower	historical_ci_upper	historical_test_family	mean_difference	rank_biserial	mean_ci_lower	mean_ci_upper	mean_bootstrap_seed	mean_majority_conflict	pairs_higher	pairs_lower	pairs_equal
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C02712	N-acetylmethionine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.2552184254525018	0.8177045241906534	1.7124384585977457	4.967669864299499e-05	0.0002632865028078734	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.760384400279365	0.0035199914001332	159	21	3	9	63.63636363636363	9.090909090909092	12	0	12	9	24	4000	3495099528	20260921T123200Z_paired_metabolites33_v1	1.072719548390575	median_paired_T_minus_N_author_normalized_log_scale	0.0	1.761275694325468	COAD_paired_metabolites33_v1_primary33	1.2552184254525018	0.9466666666666667	0.8177045241906534	1.7124384585977457	2419392633	False	21	3	9
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00262	hypoxanthine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.81484741843026	0.5461900774557996	1.0834484548537697	1.5954458124186302e-05	0.00012079804008312487	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.13415428000986	7.85844714558742e-05	159	27	6	0	81.81818181818183	18.181818181818183	33	0	0	0	33	4000	730822456	20260921T123200Z_paired_metabolites33_v1	0.6793937776349299	median_paired_T_minus_N_author_normalized_log_scale	0.4742296367879302	1.1250457438569104	COAD_paired_metabolites33_v1_primary33	0.81484741843026	0.8609625668449198	0.5461900774557996	1.0834484548537697	2288728477	False	27	6	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00043	UDP-N-acetylglucosamine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.0156294161830353	0.7141317129674059	1.327336639283097	1.0606732958025696e-05	8.876160738558345e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.939007643120185	0.000290785192477196	159	27	6	0	81.81818181818183	18.181818181818183	33	0	0	0	33	4000	2565775700	20260921T123200Z_paired_metabolites33_v1	1.1185403457901995	median_paired_T_minus_N_author_normalized_log_scale	0.67696682643414	1.4772411874641298	COAD_paired_metabolites33_v1_primary33	1.0156294161830353	0.8787878787878788	0.7141317129674059	1.327336639283097	1442002180	False	27	6	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C02918	1-methylnicotinamide	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.7836860324815821	0.5132542007579773	1.04439835796391	1.7295905123417605e-05	0.0001250022233919727	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.736754320620112	0.0104274039204103	159	29	4	0	87.87878787878788	12.121212121212121	33	0	0	0	33	4000	633988617	20260921T123200Z_paired_metabolites33_v1	0.6229930426523302	median_paired_T_minus_N_author_normalized_log_scale	0.44263753293181995	1.1110106878427202	COAD_paired_metabolites33_v1_primary33	0.7836860324815821	0.857397504456328	0.5132542007579773	1.04439835796391	3049957827	False	29	4	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00148	proline	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.8539214156521179	0.6587706820455289	1.0245188547910353	1.4692006662221896e-06	1.9466908827444013e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.83185674666479	3.7774906946348e-08	159	30	3	0	90.9090909090909	9.090909090909092	33	0	0	0	33	4000	3919204027	20260921T123200Z_paired_metabolites33_v1	0.9440649544719797	median_paired_T_minus_N_author_normalized_log_scale	0.7572884789952603	1.09875811891445	COAD_paired_metabolites33_v1_primary33	0.8539214156521179	0.9607843137254902	0.6587706820455289	1.0245188547910353	4205245146	False	30	3	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00328	kynurenine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.9116000719601225	0.5839477027214537	1.2254624045892768	8.782118560905848e-05	0.00035804021825231537	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.03558795953485	0.000218307827746403	159	28	5	0	84.84848484848484	15.151515151515152	30	0	3	0	33	4000	774970550	20260921T123200Z_paired_metabolites33_v1	1.0857933848103203	median_paired_T_minus_N_author_normalized_log_scale	0.6840176929179997	1.1366192725404298	COAD_paired_metabolites33_v1_primary33	0.9116000719601225	0.7825311942959001	0.5839477027214537	1.2254624045892768	2811359029	False	28	5	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00170	5-methylthioadenosine (MTA)	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.2631965262727578	0.8000348461917264	1.7383863967912105	3.7242647279456434e-05	0.000219317811756799	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.794416000324265	0.00110684292910678	159	24	6	3	72.72727272727273	18.181818181818183	20	0	10	3	30	4000	1213749175	20260921T123200Z_paired_metabolites33_v1	0.88923113762611	median_paired_T_minus_N_author_normalized_log_scale	0.47544719885780906	1.62298223145417	COAD_paired_metabolites33_v1_primary33	1.2631965262727578	0.8623655913978494	0.8000348461917264	1.7383863967912105	885627102	False	24	6	3
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C03761	3-hydroxy-3-methylglutarate	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.964580745028427	0.7478356987548043	1.1792754110481443	1.404771606093229e-06	1.9466908827444013e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.28253291327222	4.64513926849744e-06	159	30	2	1	90.9090909090909	6.0606060606060606	26	1	5	1	32	4000	527758388	20260921T123200Z_paired_metabolites33_v1	0.923078048558363	median_paired_T_minus_N_author_normalized_log_scale	0.744758104817146	1.1878695142220195	COAD_paired_metabolites33_v1_primary33	0.964580745028427	0.9772727272727273	0.7478356987548043	1.1792754110481443	114004910	False	30	2	1
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C02037	glycylglycine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.6730380979867735	0.4337572263794166	0.8897913318963404	7.02044012817468e-05	0.0003283088177587571	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.09439254708472	5.32472647854001e-06	159	29	4	0	87.87878787878788	12.121212121212121	30	1	2	0	33	4000	1115082139	20260921T123200Z_paired_metabolites33_v1	0.8108573073226599	median_paired_T_minus_N_author_normalized_log_scale	0.60539430725848	0.95617158702198	COAD_paired_metabolites33_v1_primary33	0.6730380979867735	0.7932263814616756	0.4337572263794166	0.8897913318963404	396913253	False	29	4	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00385	xanthine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.3860877340812491	0.03279763806818742	0.7199633212217205	0.01034635631729135	0.0203095142524608	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.38387480653592	0.12185706354843	159	24	9	0	72.72727272727273	27.27272727272727	28	1	4	0	33	4000	2681830856	20260921T123200Z_paired_metabolites33_v1	0.48655113364594005	median_paired_T_minus_N_author_normalized_log_scale	0.2801621901929998	0.7172169853652495	COAD_paired_metabolites33_v1_primary33	0.3860877340812491	0.5115864527629234	0.03279763806818742	0.7199633212217205	3357376632	False	24	9	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00245	taurine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.8235000287686108	0.6368929214286101	1.03075745622291	1.0246143586016148e-06	1.8101520335295194e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.76824722222295	3.7774906946348e-08	159	30	3	0	90.9090909090909	9.090909090909092	33	0	0	0	33	4000	2743522800	20260921T123200Z_paired_metabolites33_v1	0.7869469417343993	median_paired_T_minus_N_author_normalized_log_scale	0.6504893729445005	1.0452938402491991	COAD_paired_metabolites33_v1_primary33	0.8235000287686108	0.9750445632798574	0.6368929214286101	1.03075745622291	3391593339	False	30	3	0
