cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	n_pairs_total	chemical_key_collision	n_both_available	mask_semantics	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	seed	zero_method	tie_method	continuity_correction	B	bootstrap_valid	ci_estimand	ci_method	p_method	family_n_planned	evidence_label	majority_direction_fraction	direction_discordant
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	HMDB:HMDB13622	10-nonadecenoate (19:1n9)	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.6635019849917526	0.2850146012017629	1.0436556458719277	0.0015260952184033884	0.05054	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:be4024f63ac5b05f	43	False	40	finite author data values; unchanged observed values verified against data_imputed	43	43	31	12	0	0.7209302325581395	0.27906976744186046	0.6635019849917526	0.38191836976761	0.5560253699788583	552166546	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00294	inosine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.2100397471758023	-0.3449868216071407	-0.07217639477029604	0.002488176750391284	0.05613948793070335	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:2f7803a1556e67dc	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	12	31	0	0.27906976744186046	0.7209302325581395	-0.2100397471758023	-0.22330804828432993	-0.5306553911205074	1502679948	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	NAME:2-arachidonoylglycerophosphoethanolamine	2-arachidonoylglycerophosphoethanolamine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.5513712718512672	-0.9836437146014116	-0.09485516987603475	0.007216671941530971	0.08684061902975602	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:956273422c581a70	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	12	31	0	0.27906976744186046	0.7209302325581395	-0.5513712718512672	-0.7195754961617908	-0.4714587737843552	3288948909	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C01468	p-cresol sulfate	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.3798090807341577	-0.6541478607631889	-0.07281056428109928	0.008038413472810754	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:115a78bdb213719c	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	12	31	0	0.27906976744186046	0.7209302325581395	-0.3798090807341577	-0.3853894018726931	-0.46511627906976744	3067161640	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C06153	scyllo-inositol	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.29271972380989253	-0.5060551284017646	-0.09371657206393409	0.009595438378931596	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:e83d2e057331a6b3	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	12	31	0	0.27906976744186046	0.7209302325581395	-0.29271972380989253	-0.364209815048863	-0.45454545454545453	3434414907	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00989	4-hydroxybutyrate (GHB)	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.3608715747059876	0.040103006780108634	0.6922203202934585	0.018242781555282875	0.14012008811610888	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:e168add6a0b25bd8	43	False	40	finite author data values; unchanged observed values verified against data_imputed	43	43	31	12	0	0.7209302325581395	0.27906976744186046	0.3608715747059876	0.348095173776685	0.4143763213530655	1175928866	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.7209302325581395	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00140	N-acetylglucosamine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.7667782006207892	0.361745451505304	1.1863498205269842	0.001089725091342409	0.04371008421940107	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:1982b9b3bdf60163	43	False	41	finite author data values; unchanged observed values verified against data_imputed	43	43	30	13	0	0.6976744186046512	0.3023255813953488	0.7667782006207892	0.490353762500334	0.572938689217759	1425663613	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	FDR_SUPPORTED	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00791	creatinine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.44016636308145	-0.730545373113072	-0.13366426905690434	0.002694255436577211	0.05721330662378665	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:d11a2e5ffb2b2041	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	13	30	0	0.3023255813953488	0.6976744186046512	-0.44016636308145	-0.47499673943529575	-0.5264270613107822	4036329977	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00077	ornithine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.38939257148400097	0.17370100570406824	0.6176938843890266	0.003683974951690523	0.06637018546486835	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:35a78a078fb58365	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	30	13	0	0.6976744186046512	0.3023255813953488	0.38939257148400097	0.17964763514004	0.5095137420718816	991721781	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00387	guanosine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.20949304738942598	-0.35597357145661035	-0.07173475436936955	0.006238468692923311	0.08652139816296259	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:905abcaaddb66484	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	13	30	0	0.3023255813953488	0.6976744186046512	-0.20949304738942598	-0.17578819869288204	-0.4799154334038055	2653385674	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
