source_type	path	sha256
archive	user_supplied_BRCA_fb5924b_review_zip	09520c8528b4f863455ec72815e2dd9377ea99d03aa3ac4fde1c70fe4952467d
script	code/brca_receive_fb5924b_review.py	c64d6fdb4db3009d8aabedfecda760752da4cb00c507b179044e16d9ec0d39c6
